qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,469942,121105,591047
fc_b_001,5.55%,5.36%,7.68%,7.35%,4009,1731,5740
fc_b_002,ACD,,,,5995,945,6940
fc_b_003,ABCD,,,,5312,1157,6469
fc_b_004,ABC,,,,5292,1157,6449
fc_b_005,1468.47%,740.58%,,,3376,1717,5093
fc_b_006,B,,,,5054,735,5789
fc_b_007,BC,,,,5062,735,5797
fc_b_008,ABC,,,,5103,735,5838
fc_b_009,ABD,,,,5089,735,5824
fc_b_010,BCD,,,,5735,240,5975
fc_b_011,ABC,,,,5323,1157,6480
fc_b_012,BCD,,,,5956,945,6901
fc_b_013,A,,,,5676,240,5916
fc_b_014,14.41,,,,3894,1658,5552
fc_b_015,CD,,,,5742,240,5982
fc_b_016,C,,,,5680,240,5920
fc_b_017,BC,,,,5948,945,6893
fc_b_018,ABD,,,,5981,945,6926
fc_b_019,ABCD,,,,5264,1153,6417
fc_b_020,2.30,,,,3240,1661,4901
fin_b_001,ACD,,,,5807,1066,6873
fin_b_002,BCD,,,,5792,1066,6858
fin_b_003,ABCD,,,,6369,1037,7406
fin_b_004,AB,,,,5795,1110,6905
fin_b_005,AC,,,,6450,989,7439
fin_b_006,BC,,,,6409,1004,7413
fin_b_007,ABD,,,,6413,1006,7419
fin_b_008,AC,,,,6466,967,7433
fin_b_009,BCD,,,,6458,989,7447
fin_b_010,AD,,,,5809,1088,6897
fin_b_011,ABC,,,,6477,991,7468
fin_b_012,AB,,,,6352,1004,7356
fin_b_013,40.05,10.10,,,4116,2271,6387
fin_b_014,1.12,9.82,8.69,,7324,9455,16779
fin_b_015,宁德时代>美的集团,19.75,,,3955,1979,5934
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,6610,4272,10882
fin_b_017,1049321.98,0.08,,,6856,3747,10603
fin_b_018,2.58,7.65,,,3732,1782,5514
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,3514,1930,5444
fin_b_020,112.32,112.31,0.01,,3850,2091,5941
ins_b_001,333.20,,,,3631,2770,6401
ins_b_002,BC,,,,5714,938,6652
ins_b_003,366.00,,,,3867,1843,5710
ins_b_004,BCD,,,,5628,942,6570
ins_b_005,BD,,,,4751,807,5558
ins_b_006,BCD,,,,5601,939,6540
ins_b_007,BC,,,,5649,694,6343
ins_b_008,ABCD,,,,5621,943,6564
ins_b_009,BCD,,,,6106,869,6975
ins_b_010,AB,,,,5643,694,6337
ins_b_011,16.00,,,,3685,1918,5603
ins_b_012,BCD,,,,5661,689,6350
ins_b_013,BD,,,,5663,695,6358
ins_b_014,ACD,,,,4794,799,5593
ins_b_015,AC,,,,4724,808,5532
ins_b_016,ABD,,,,4768,808,5576
ins_b_017,ABCD,,,,6018,869,6887
ins_b_018,60.00,,,,3643,1821,5464
ins_b_019,211.50,,,,3556,3435,6991
ins_b_020,ACD,,,,6103,869,6972
reg_b_001,ACD,,,,3391,432,3823
reg_b_003,2026年3月30日,,,,3484,1832,5316
reg_b_004,2026年6月30日,,,,3747,1712,5459
reg_b_005,BCD,,,,3628,413,4041
reg_b_007,30.00,,,,3500,1628,5128
reg_b_008,BC,,,,3670,424,4094
reg_b_009,BC,,,,3411,402,3813
reg_b_013,B,,,,3371,402,3773
reg_b_014,99.25,,,,3608,1753,5361
reg_b_015,AC,,,,3335,374,3709
reg_b_016,2.00,,,,4092,1757,5849
reg_b_017,AC,,,,3520,402,3922
reg_b_018,2026年4月1日,,,,3893,2811,6704
reg_b_020,B,,,,3522,371,3893
reg_b_021,B,,,,3656,434,4090
reg_b_023,AB,,,,4208,444,4652
reg_b_024,B,,,,3824,381,4205
reg_b_025,AC,,,,4285,432,4717
reg_b_026,B,,,,3450,401,3851
reg_b_027,BD,,,,3725,389,4114
res_b_001,AB,,,,3921,505,4426
res_b_002,AC,,,,3828,518,4346
res_b_003,AB,,,,3768,518,4286
res_b_004,BCD,,,,3808,1248,5056
res_b_005,6.06,,,,4473,1858,6331
res_b_006,AB,,,,4227,1994,6221
res_b_007,61.98,,,,4084,1793,5877
res_b_008,AC,,,,3877,498,4375
res_b_009,ABC,,,,3773,1255,5028
res_b_010,AC,,,,3834,1255,5089
res_b_011,BC,,,,4007,996,5003
res_b_012,67.1,,,,3794,2119,5913
res_b_013,AB,,,,3796,1255,5051
res_b_014,CD,,,,3883,498,4381
res_b_015,BD,,,,3996,996,4992
res_b_016,BD,,,,3997,996,4993
res_b_017,AC,,,,3826,525,4351
res_b_018,CD,,,,3778,525,4303
res_b_019,AB,,,,3896,498,4394
res_b_020,BD,,,,3945,996,4941
