qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,2219026,585999,2805025
fc_b_001,5.55%,5.36%,7.68%,7.35%,23241,5392,28633
fc_b_002,ACD,,,,18771,4800,23571
fc_b_003,ABCD,,,,18538,5034,23572
fc_b_004,ABC,,,,21752,4543,26295
fc_b_005,1468.47%,740.58%,,,21429,7235,28664
fc_b_006,B,,,,23100,4204,27304
fc_b_007,BC,,,,26841,5325,32166
fc_b_008,ABC,,,,27568,7948,35516
fc_b_009,ABD,,,,26900,5009,31909
fc_b_010,BCD,,,,20497,4797,25294
fc_b_011,ABC,,,,18726,4559,23285
fc_b_012,BCD,,,,18889,3727,22616
fc_b_013,B,,,,13826,2815,16641
fc_b_014,14.41,,,,26358,6959,33317
fc_b_015,CD,,,,21645,5202,26847
fc_b_016,A,,,,27827,9844,37671
fc_b_017,BC,,,,20591,4949,25540
fc_b_018,ABD,,,,19700,4769,24469
fc_b_019,ABCD,,,,44704,9698,54402
fc_b_020,2.30,,,,32613,8316,40929
fin_b_001,ACD,,,,22476,6238,28714
fin_b_002,BCD,,,,23461,5698,29159
fin_b_003,ABCD,,,,29222,5727,34949
fin_b_004,A,,,,46327,15078,61405
fin_b_005,ACD,,,,29139,5586,34725
fin_b_006,BC,,,,25098,8316,33414
fin_b_007,ABD,,,,21993,5447,27440
fin_b_008,AC,,,,22145,6020,28165
fin_b_009,BCD,,,,26598,5630,32228
fin_b_010,AD,,,,26871,6490,33361
fin_b_011,BC,,,,26575,5859,32434
fin_b_012,ABCD,,,,27600,8480,36080
fin_b_013,40.05,10.10,,,27384,7187,34571
fin_b_014,1.12,9.82,8.69,,26934,9435,36369
fin_b_015,宁德时代>美的集团,19.75,,,25713,5729,31442
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,31556,8781,40337
fin_b_017,1049321.98,0.08,,,23724,7594,31318
fin_b_018,2.73,7.22,,,27723,14187,41910
fin_b_019,宁德时代>美的集团>比亚迪,1.56,,,38689,19869,58558
fin_b_020,112.32,112.31,0.01,,24410,8677,33087
ins_b_001,333.20,,,,30717,7064,37781
ins_b_002,BC,,,,19573,5531,25104
ins_b_003,366.00,,,,30726,7071,37797
ins_b_004,BCD,,,,25171,5410,30581
ins_b_005,BD,,,,25686,4551,30237
ins_b_006,BCD,,,,24631,5242,29873
ins_b_007,C,,,,23105,4964,28069
ins_b_008,ABCD,,,,23227,5394,28621
ins_b_009,BCD,,,,25920,4944,30864
ins_b_010,AB,,,,23782,5241,29023
ins_b_011,16.00,,,,23237,4894,28131
ins_b_012,BC,,,,22543,4196,26739
ins_b_013,BD,,,,21985,4515,26500
ins_b_014,ACD,,,,16091,3736,19827
ins_b_015,AC,,,,25359,4327,29686
ins_b_016,ABD,,,,25000,4891,29891
ins_b_017,ABCD,,,,24450,5142,29592
ins_b_018,60.00,,,,23338,4875,28213
ins_b_019,211.50,,,,30748,7113,37861
ins_b_020,ACD,,,,24945,5351,30296
reg_b_001,ACD,,,,12643,1333,13976
reg_b_003,2026年3月30日,,,,16223,10675,26898
reg_b_004,20260630.00,,,,10903,7806,18709
reg_b_005,CD,,,,20393,5097,25490
reg_b_007,30.00,,,,11682,4692,16374
reg_b_008,BC,,,,14722,1064,15786
reg_b_009,BC,,,,12953,1160,14113
reg_b_013,B,,,,12263,976,13239
reg_b_014,99.25,,,,13622,6271,19893
reg_b_015,AC,,,,11492,1334,12826
reg_b_016,2.00,,,,10793,5827,16620
reg_b_017,AC,,,,12714,1110,13824
reg_b_018,20260401.00,,,,10927,7140,18067
reg_b_020,B,,,,12054,845,12899
reg_b_021,B,,,,12123,994,13117
reg_b_023,AB,,,,10637,1138,11775
reg_b_024,B,,,,15103,1169,16272
reg_b_025,AC,,,,15511,4258,19769
reg_b_026,B,,,,12565,1268,13833
reg_b_027,BD,,,,12451,1112,13563
res_b_001,AB,,,,21811,5247,27058
res_b_002,AC,,,,24204,8156,32360
res_b_003,AB,,,,19686,5176,24862
res_b_004,BCD,,,,20108,5292,25400
res_b_005,22.19,,,,23929,8500,32429
res_b_006,AB,,,,25626,8135,33761
res_b_007,61.98,,,,22067,6915,28982
res_b_008,AC,,,,20972,5318,26290
res_b_009,ABC,,,,19643,5515,25158
res_b_010,AC,,,,21697,5375,27072
res_b_011,BC,,,,20496,5325,25821
res_b_012,67.10,,,,18896,13189,32085
res_b_013,A,,,,26782,8500,35282
res_b_014,CD,,,,20144,5383,25527
res_b_015,BD,,,,21142,5037,26179
res_b_016,BD,,,,21982,5301,27283
res_b_017,AC,,,,19691,5159,24850
res_b_018,AD,,,,27252,11043,38295
res_b_019,AB,,,,19821,5265,25086
res_b_020,BD,,,,23915,7294,31209
