qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,1227003,258508,1485511
fc_b_001,5.55%,5.36%,7.68%,7.35%,10901,2950,13851
fc_b_002,ACD,,,,10431,2603,13034
fc_b_003,ABCD,,,,9849,2525,12374
fc_b_004,ABC,,,,13525,2672,16197
fc_b_005,1468.47%,740.58%,,,10478,3142,13620
fc_b_006,B,,,,14389,2739,17128
fc_b_007,BC,,,,29744,5347,35091
fc_b_008,ABC,,,,29814,5347,35161
fc_b_009,ABD,,,,13970,2605,16575
fc_b_010,BCD,,,,15353,3522,18875
fc_b_011,ABC,,,,13374,3319,16693
fc_b_012,BCD,,,,10603,2269,12872
fc_b_013,A,,,,13441,2672,16113
fc_b_014,14.41,,,,11548,2982,14530
fc_b_015,CD,,,,15352,3522,18874
fc_b_016,C,,,,13454,2672,16126
fc_b_017,BC,,,,10317,2701,13018
fc_b_018,ABD,,,,10021,2542,12563
fc_b_019,ABCD,,,,13315,3319,16634
fc_b_020,2.30,,,,10686,2899,13585
fin_b_001,ACD,,,,17318,3715,21033
fin_b_002,BCD,,,,17303,3715,21018
fin_b_003,ABCD,,,,20418,3720,24138
fin_b_004,AB,,,,35451,6866,42317
fin_b_005,AC,,,,14992,2932,17924
fin_b_006,BC,,,,10991,3000,13991
fin_b_007,ABD,,,,11166,3073,14239
fin_b_008,AC,,,,10817,3169,13986
fin_b_009,BCD,,,,20451,3720,24171
fin_b_010,AD,,,,19708,4237,23945
fin_b_011,ABC,,,,14553,3222,17775
fin_b_012,AB,,,,11050,3098,14148
fin_b_013,40.05,10.10,,,11921,3360,15281
fin_b_014,1.12,9.82,8.69,,11906,3554,15460
fin_b_015,宁德时代>美的集团,19.75,,,10837,3023,13860
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,14344,3348,17692
fin_b_017,1049321.98,0.08,,,11055,3220,14275
fin_b_018,2.58,7.65,,,10666,3072,13738
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,12637,6973,19610
fin_b_020,112.32,112.31,0.01,,10466,3272,13738
ins_b_001,333.20,,,,14029,3383,17412
ins_b_002,BC,,,,11983,2969,14952
ins_b_003,366.00,,,,14760,3607,18367
ins_b_004,BCD,,,,13926,3036,16962
ins_b_005,BD,,,,13078,2812,15890
ins_b_006,BCD,,,,13385,2797,16182
ins_b_007,BC,,,,11312,2918,14230
ins_b_008,ABCD,,,,12810,3019,15829
ins_b_009,BCD,,,,13460,2907,16367
ins_b_010,AB,,,,12795,2657,15452
ins_b_011,16.00,,,,10077,3194,13271
ins_b_012,BCD,,,,13107,2728,15835
ins_b_013,BD,,,,12831,2106,14937
ins_b_014,ACD,,,,9157,2815,11972
ins_b_015,AC,,,,12917,2816,15733
ins_b_016,ABD,,,,12669,2811,15480
ins_b_017,ABCD,,,,13384,2761,16145
ins_b_018,60.00,,,,4197,337,4534
ins_b_019,211.50,,,,4235,348,4583
ins_b_020,ACD,,,,13647,2862,16509
reg_b_001,ACD,,,,9133,796,9929
reg_b_003,2026年3月30日,,,,3888,345,4233
reg_b_004,20260630.00,,,,4150,366,4516
reg_b_005,BCD,,,,10427,655,11082
reg_b_007,30.00,,,,3942,345,4287
reg_b_008,BC,,,,10469,729,11198
reg_b_009,BC,,,,7473,990,8463
reg_b_013,B,,,,7789,779,8568
reg_b_014,99.25,,,,3892,345,4237
reg_b_015,AC,,,,8402,1082,9484
reg_b_016,2.00,,,,4218,378,4596
reg_b_017,AC,,,,7567,990,8557
reg_b_018,20260401.00,,,,4088,364,4452
reg_b_020,B,,,,7812,779,8591
reg_b_021,B,,,,9128,734,9862
reg_b_023,AB,,,,7382,990,8372
reg_b_024,B,,,,10736,813,11549
reg_b_025,AC,,,,8384,743,9127
reg_b_026,B,,,,8765,1151,9916
reg_b_027,BD,,,,9725,826,10551
res_b_001,AB,,,,13352,2595,15947
res_b_002,AC,,,,11980,2976,14956
res_b_003,AB,,,,12675,2680,15355
res_b_004,BCD,,,,12704,2670,15374
res_b_005,22.19,,,,4631,341,4972
res_b_006,AB,,,,15442,3410,18852
res_b_007,61.98,,,,4649,341,4990
res_b_008,AC,,,,12188,2672,14860
res_b_009,ABC,,,,12508,2564,15072
res_b_010,AC,,,,12786,2749,15535
res_b_011,BC,,,,15427,3410,18837
res_b_012,62.8,,,,4700,335,5035
res_b_013,AB,,,,27986,6093,34079
res_b_014,CD,,,,12128,2836,14964
res_b_015,BD,,,,13621,2697,16318
res_b_016,BD,,,,13200,2690,15890
res_b_017,AC,,,,12704,2657,15361
res_b_018,D,,,,21010,4869,25879
res_b_019,AB,,,,16444,3481,19925
res_b_020,BD,,,,13124,2721,15845
