qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,591857,188833,780690
fc_b_001,5.55%,5.36%,7.68%,7.35%,5546,2300,7846
fc_b_002,ACD,,,,5095,1942,7037
fc_b_003,ABCD,,,,4198,1897,6095
fc_b_004,ABC,,,,6067,1296,7363
fc_b_005,1468.47%,740.58%,,,5323,2574,7897
fc_b_006,B,,,,6591,1214,7805
fc_b_007,BC,,,,6605,1214,7819
fc_b_008,ABC,,,,6639,1214,7853
fc_b_009,ABD,,,,5694,2069,7763
fc_b_010,BCD,,,,6972,1523,8495
fc_b_011,ABC,,,,6000,1508,7508
fc_b_012,BCD,,,,4777,1814,6591
fc_b_013,A,,,,5982,1295,7277
fc_b_014,14.41,,,,5942,2067,8009
fc_b_015,CD,,,,6971,1523,8494
fc_b_016,C,,,,5995,1295,7290
fc_b_017,BC,,,,4733,2066,6799
fc_b_018,ABD,,,,4783,1890,6673
fc_b_019,ABCD,,,,5941,1508,7449
fc_b_020,2.30,,,,5460,2184,7644
fin_b_001,ACD,,,,7913,1929,9842
fin_b_002,BCD,,,,7898,1929,9827
fin_b_003,ABCD,,,,9487,1818,11305
fin_b_004,AB,,,,9082,2894,11976
fin_b_005,AC,,,,6558,2023,8581
fin_b_006,BC,,,,5544,2098,7642
fin_b_007,ABD,,,,9784,3854,13638
fin_b_008,AC,,,,5354,2274,7628
fin_b_009,BCD,,,,9520,1818,11338
fin_b_010,AD,,,,9096,2872,11968
fin_b_011,ABC,,,,6440,2091,8531
fin_b_012,AB,,,,9477,3968,13445
fin_b_013,40.05,10.10,,,6287,2739,9026
fin_b_014,1.12,9.82,8.69,,6267,2786,9053
fin_b_015,宁德时代>美的集团,19.75,,,6021,2647,8668
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,5345,2515,7860
fin_b_017,1049321.98,0.08,,,5652,2173,7825
fin_b_018,2.58,7.65,,,5533,2339,7872
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,5180,3204,8384
fin_b_020,112.32,112.31,0.01,,5322,2476,7798
ins_b_001,333.20,,,,4988,2421,7409
ins_b_002,BC,,,,6038,2017,8055
ins_b_003,366.00,,,,5447,2570,8017
ins_b_004,BCD,,,,6709,2292,9001
ins_b_005,BD,,,,6420,1976,8396
ins_b_006,BCD,,,,6483,1888,8371
ins_b_007,BC,,,,6494,4895,11389
ins_b_008,ABCD,,,,6377,1897,8274
ins_b_009,BCD,,,,6548,1995,8543
ins_b_010,AB,,,,5771,1845,7616
ins_b_011,16.00,,,,5169,2414,7583
ins_b_012,BCD,,,,5844,2279,8123
ins_b_013,BD,,,,6448,1845,8293
ins_b_014,ACD,,,,4794,1888,6682
ins_b_015,AC,,,,5782,1879,7661
ins_b_016,ABD,,,,6092,1942,8034
ins_b_017,ABCD,,,,6305,1820,8125
ins_b_018,60.00,,,,5258,2174,7432
ins_b_019,211.50,,,,4962,2359,7321
ins_b_020,ACD,,,,6385,2024,8409
reg_b_001,ACD,,,,5524,490,6014
reg_b_003,2026年3月30日,,,,4426,2205,6631
reg_b_004,20260630.00,,,,4153,2264,6417
reg_b_005,BCD,,,,5232,348,5580
reg_b_007,30.00,,,,4438,2209,6647
reg_b_008,BC,,,,5638,366,6004
reg_b_009,BC,,,,3195,372,3567
reg_b_013,B,,,,3208,218,3426
reg_b_014,99.25,,,,5008,2330,7338
reg_b_015,AC,,,,4593,615,5208
reg_b_016,2.00,,,,4269,2232,6501
reg_b_017,AC,,,,3289,372,3661
reg_b_018,20260401.00,,,,4351,2416,6767
reg_b_020,B,,,,3231,218,3449
reg_b_021,B,,,,5047,383,5430
reg_b_023,AB,,,,3104,372,3476
reg_b_024,B,,,,5995,516,6511
reg_b_025,AC,,,,5084,443,5527
reg_b_026,B,,,,4930,418,5348
reg_b_027,BD,,,,5353,500,5853
res_b_001,AB,,,,5862,2128,7990
res_b_002,AC,,,,5512,2154,7666
res_b_003,AB,,,,5563,2025,7588
res_b_004,BCD,,,,6105,2092,8197
res_b_005,22.27,,,,7215,2422,9637
res_b_006,AB,,,,6324,1168,7492
res_b_007,61.98,,,,6348,2374,8722
res_b_008,AC,,,,6008,2027,8035
res_b_009,ABC,,,,6441,2138,8579
res_b_010,AC,,,,6656,2110,8766
res_b_011,BC,,,,6309,1168,7477
res_b_012,62.8,,,,6231,2457,8688
res_b_013,AB,,,,6100,2033,8133
res_b_014,CD,,,,6504,2166,8670
res_b_015,BD,,,,6680,2050,8730
res_b_016,BD,,,,6329,2192,8521
res_b_017,AC,,,,6539,1981,8520
res_b_018,D,,,,7322,2443,9765
res_b_019,AB,,,,6298,1168,7466
res_b_020,BD,,,,6055,1990,8045
