qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,1950047,487905,2437952
fc_b_001,5.55%,5.36%,7.68%,7.35%,22174,5610,27784
fc_b_002,ACD,,,,17906,4068,21974
fc_b_003,ABCD,,,,18231,4294,22525
fc_b_004,ABC,,,,14300,2660,16960
fc_b_005,1468.47%,740.58%,,,20564,5823,26387
fc_b_006,B,,,,15088,2837,17925
fc_b_007,BC,,,,15102,2837,17939
fc_b_008,ABC,,,,30299,5426,35725
fc_b_009,ABD,,,,25833,4624,30457
fc_b_010,BCD,,,,15898,3471,19369
fc_b_011,ABC,,,,17622,4489,22111
fc_b_012,BCD,,,,17809,3905,21714
fc_b_013,B,,,,14216,2660,16876
fc_b_014,14.41,,,,25254,4851,30105
fc_b_015,CD,,,,15897,3471,19368
fc_b_016,C,,,,14229,2660,16889
fc_b_017,BC,,,,15286,3249,18535
fc_b_018,ABD,,,,18250,4257,22507
fc_b_019,ABCD,,,,15288,3249,18537
fc_b_020,2.30,,,,20587,6066,26653
fin_b_001,ACD,,,,17891,3663,21554
fin_b_002,BCD,,,,17876,3663,21539
fin_b_003,ABCD,,,,21261,3748,25009
fin_b_004,AB,,,,35731,6800,42531
fin_b_005,ACD,,,,27803,4903,32706
fin_b_006,BC,,,,23776,7708,31484
fin_b_007,ABD,,,,21580,4982,26562
fin_b_008,AC,,,,21657,5230,26887
fin_b_009,BCD,,,,21293,3748,25041
fin_b_010,AD,,,,20256,4170,24426
fin_b_011,ABC,,,,25842,5108,30950
fin_b_012,AB,,,,26826,10668,37494
fin_b_013,40.05,10.10,,,26937,7516,34453
fin_b_014,1.12,9.82,8.69,,26487,7685,34172
fin_b_015,宁德时代>美的集团,19.75,,,24908,6438,31346
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,30513,7017,37530
fin_b_017,1049321.98,0.08,,,23311,6790,30101
fin_b_018,2.58,7.65,,,19995,6993,26988
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,37487,11321,48808
fin_b_020,112.32,112.31,0.01,,23899,7157,31056
ins_b_001,333.20,,,,29053,6772,35825
ins_b_002,BC,,,,20936,4807,25743
ins_b_003,366.00,,,,29062,7418,36480
ins_b_004,BCD,,,,26678,7479,34157
ins_b_005,BD,,,,26992,6934,33926
ins_b_006,BCD,,,,22803,3965,26768
ins_b_007,C,,,,23346,4668,28014
ins_b_008,ABCD,,,,20618,4892,25510
ins_b_009,BCD,,,,24978,4659,29637
ins_b_010,AB,,,,22338,4160,26498
ins_b_011,16.00,,,,21557,5825,27382
ins_b_012,BCD,,,,21077,4142,25219
ins_b_013,BD,,,,21869,4092,25961
ins_b_014,ACD,,,,15041,4082,19123
ins_b_015,AC,,,,24327,4096,28423
ins_b_016,ABD,,,,23806,4184,27990
ins_b_017,ABCD,,,,23160,4607,27767
ins_b_018,60.00,,,,21658,5100,26758
ins_b_019,211.50,,,,29084,6589,35673
ins_b_020,ACD,,,,24459,4780,29239
reg_b_001,ACD,,,,11915,1451,13366
reg_b_003,2026年3月30日,,,,14172,9907,24079
reg_b_004,20260630.00,,,,12872,9398,22270
reg_b_005,BCD,,,,14905,927,15832
reg_b_007,30.00,,,,10940,4761,15701
reg_b_008,BC,,,,13967,1048,15015
reg_b_009,BC,,,,8099,1114,9213
reg_b_013,B,,,,8310,968,9278
reg_b_014,99.25,,,,12863,6367,19230
reg_b_015,AC,,,,10700,1558,12258
reg_b_016,2.00,,,,10228,6198,16426
reg_b_017,AC,,,,8115,1114,9229
reg_b_018,20260401.00,,,,13059,13260,26319
reg_b_020,B,,,,8372,968,9340
reg_b_021,B,,,,11424,1008,12432
reg_b_023,AB,,,,7957,1114,9071
reg_b_024,B,,,,14918,1140,16058
reg_b_025,AC,,,,14819,5548,20367
reg_b_026,B,,,,11781,1264,13045
reg_b_027,BD,,,,11754,1025,12779
res_b_001,AB,,,,12002,2705,14707
res_b_002,AC,,,,20090,4716,24806
res_b_003,AB,,,,18919,4543,23462
res_b_004,BCD,,,,17810,4730,22540
res_b_005,22.19,,,,31121,14453,45574
res_b_006,AB,,,,12003,2705,14708
res_b_007,61.98,,,,20760,6272,27032
res_b_008,AC,,,,18420,4498,22918
res_b_009,ABC,,,,18038,4772,22810
res_b_010,AC,,,,19701,4647,24348
res_b_011,BC,,,,11988,2705,14693
res_b_012,67.10,,,,17589,10647,28236
res_b_013,AB,,,,19859,4715,24574
res_b_014,CD,,,,19634,4671,24305
res_b_015,BD,,,,20550,4665,25215
res_b_016,BD,,,,20675,4517,25192
res_b_017,AC,,,,17987,4526,22513
res_b_018,D,,,,26810,9087,35897
res_b_019,AB,,,,17058,4718,21776
res_b_020,BD,,,,19859,4409,24268
