qid	answer	prompt_tokens	completion_tokens	total_tokens
summary		1893266	423197	2316463
ins_a_001	B	19936	5494	25430
ins_a_002	A	16674	5454	22128
ins_a_003	A	22026	8729	30755
ins_a_004	A	22352	5040	27392
ins_a_005	ABCD	20910	4961	25871
ins_a_006	A	13444	5836	19280
ins_a_007	BC	14322	4795	19117
ins_a_008	ABC	21210	5056	26266
ins_a_009	C	15948	5350	21298
ins_a_010	AB	21310	4934	26244
ins_a_011	BC	21400	5210	26610
ins_a_012	A	19688	4000	23688
ins_a_013	A	16036	4945	20981
ins_a_014	AB	25710	8113	33823
ins_a_015	AB	21048	5144	26192
ins_a_016	CD	20692	4045	24737
ins_a_017	ABCD	20166	4162	24328
ins_a_018	BCD	21654	5016	26670
ins_a_019	ABCD	20056	3963	24019
ins_a_020	D	22988	9581	32569
fc_a_001	ABD	17794	4378	22172
fc_a_002	ABD	18130	3714	21844
fc_a_003	A	5765	1613	7378
fc_a_004	A	18444	4727	23171
fc_a_005	ABD	22336	6787	29123
fc_a_006	A	8408	2358	10766
fc_a_007	BD	18514	4378	22892
fc_a_008	B	19058	4427	23485
fc_a_009	ABD	19122	3753	22875
fc_a_010	A	7583	1720	9303
fc_a_011	AB	17830	3595	21425
fc_a_012	AC	25109	7815	32924
fc_a_013	B	6348	2567	8915
fc_a_014	B	22313	7749	30062
fc_a_015	A	22735	7474	30209
fc_a_016	ABC	17712	4206	21918
fc_a_017	ABD	18182	4661	22843
fc_a_018	A	6861	2406	9267
fc_a_019	AB	19248	4312	23560
fc_a_020	AB	17666	4554	22220
fin_a_001	AB	19498	5197	24695
fin_a_002	AB	22635	8351	30986
fin_a_003	A	8390	2706	11096
fin_a_004	ABD	18128	5035	23163
fin_a_005	ABD	18614	5097	23711
fin_a_006	A	8712	3127	11839
fin_a_007	ABD	18040	4825	22865
fin_a_008	B	24622	7405	32027
fin_a_009	ABC	19298	4905	24203
fin_a_010	A	8592	2324	10916
fin_a_011	ACD	18066	4793	22859
fin_a_012	ABD	18354	4914	23268
fin_a_013	A	8039	1924	9963
fin_a_014	AB	18034	5121	23155
fin_a_015	A	18662	5617	24279
fin_a_016	ABD	17962	5072	23034
fin_a_017	AC	18462	4320	22782
fin_a_018	A	8408	2335	10743
fin_a_019	AB	18096	5041	23137
fin_a_020	AB	18574	4932	23506
reg_a_001	ACD	11540	928	12468
reg_a_002	ABC	9010	693	9703
reg_a_003	A	3718	277	3995
reg_a_004	ABC	13008	566	13574
reg_a_005	ABC	12872	891	13763
reg_a_006	A	3918	229	4147
reg_a_007	ACD	9528	847	10375
reg_a_008	A	13284	1382	14666
reg_a_009	ABD	10952	828	11780
reg_a_010	B	4138	426	4564
reg_a_011	ACD	17358	3754	21112
reg_a_012	ABD	11572	1768	13340
reg_a_013	A	3654	179	3833
reg_a_014	ABD	10138	511	10649
reg_a_015	C	11992	549	12541
reg_a_016	ABD	13188	1748	14936
reg_a_017	AB	12776	1076	13852
reg_a_018	A	5023	317	5340
reg_a_019	ABD	13346	665	14011
reg_a_020	ABD	12484	1255	13739
res_a_001	ABC	15762	4124	19886
res_a_002	ABC	21420	6212	27632
res_a_003	A	7454	2514	9968
res_a_004	ABC	20203	6485	26688
res_a_005	ABC	13840	4379	18219
res_a_006	A	7693	1933	9626
res_a_007	ABC	14948	4443	19391
res_a_008	A	14038	3786	17824
res_a_009	ABC	15618	3757	19375
res_a_010	A	4808	1262	6070
res_a_011	BC	17300	4538	21838
res_a_012	ABC	15456	3796	19252
res_a_013	B	7441	1620	9061
res_a_014	ABC	15168	3919	19087
res_a_015	A	16184	3916	20100
res_a_016	ACD	15878	4582	20460
res_a_017	AB	19844	7577	27421
res_a_018	A	7165	2158	9323
res_a_019	AB	17764	4178	21942
res_a_020	BD	18128	4586	22714
