qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,254637,39887,294524,
fc_b_001,,,,,502,29,531,
fc_b_002,,,,,502,29,531,
fc_b_003,,,,,502,29,531,
fc_b_004,,,,,502,29,531,
fc_b_005,,,,,502,29,531,
fc_b_006,,,,,502,29,531,
fc_b_007,,,,,502,29,531,
fc_b_008,,,,,502,29,531,
fc_b_009,,,,,502,29,531,
fc_b_010,,,,,502,29,531,
fc_b_011,,,,,502,29,531,
fc_b_012,,,,,502,29,531,
fc_b_013,,,,,502,29,531,
fc_b_014,,,,,502,29,531,
fc_b_015,,,,,502,29,531,
fc_b_016,,,,,502,29,531,
fc_b_017,,,,,502,29,531,
fc_b_018,,,,,502,29,531,
fc_b_019,,,,,502,29,531,
fc_b_020,,,,,502,28,530,
fin_b_001,,,,,502,28,530,
fin_b_002,,,,,502,28,530,
fin_b_003,,,,,502,28,530,
fin_b_004,AB,,,,56816,7669,64485,
fin_b_005,ACD,,,,59511,7787,67298,
fin_b_006,,,,,502,28,530,
fin_b_007,,,,,501,28,529,
fin_b_008,,,,,501,28,529,
fin_b_009,,,,,501,28,529,
fin_b_010,,,,,501,28,529,
fin_b_011,,,,,501,28,529,
fin_b_012,,,,,501,28,529,
fin_b_013,,,,,501,28,529,
fin_b_014,,,,,501,28,529,
fin_b_015,,,,,501,28,529,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,44332,7393,51725,
fin_b_017,,,,,501,28,529,
fin_b_018,,,,,501,28,529,
fin_b_019,,,,,501,28,529,
fin_b_020,,,,,501,28,529,
ins_b_001,,,,,501,28,529,
ins_b_002,,,,,501,28,529,
ins_b_003,,,,,501,28,529,
ins_b_004,,,,,501,28,529,
ins_b_005,,,,,501,28,529,
ins_b_006,,,,,501,28,529,
ins_b_007,,,,,501,28,529,
ins_b_008,,,,,501,28,529,
ins_b_009,,,,,501,28,529,
ins_b_010,AD,,,,45858,14331,60189,
ins_b_011,,,,,501,28,529,
ins_b_012,,,,,501,28,529,
ins_b_013,,,,,501,28,529,
ins_b_014,,,,,501,28,529,
ins_b_015,,,,,501,28,529,
ins_b_016,,,,,501,28,529,
ins_b_017,,,,,501,28,529,
ins_b_018,,,,,501,28,529,
ins_b_019,,,,,501,28,529,
ins_b_020,,,,,501,28,529,
reg_b_001,,,,,501,28,529,
reg_b_003,,,,,501,28,529,
reg_b_004,,,,,501,28,529,
reg_b_005,,,,,501,28,529,
reg_b_007,,,,,501,28,529,
reg_b_008,,,,,501,28,529,
reg_b_009,,,,,501,28,529,
reg_b_013,,,,,501,28,529,
reg_b_014,,,,,501,28,529,
reg_b_015,,,,,501,28,529,
reg_b_016,,,,,501,28,529,
reg_b_017,,,,,501,28,529,
reg_b_018,,,,,501,28,529,
reg_b_020,,,,,501,28,529,
reg_b_021,,,,,501,28,529,
reg_b_023,,,,,501,28,529,
reg_b_024,,,,,501,28,529,
reg_b_025,,,,,501,28,529,
reg_b_026,,,,,501,28,529,
reg_b_027,,,,,501,28,529,
res_b_001,,,,,501,28,529,
res_b_002,,,,,501,28,529,
res_b_003,,,,,501,28,529,
res_b_004,,,,,501,28,529,
res_b_005,,,,,501,28,529,
res_b_006,,,,,501,28,529,
res_b_007,,,,,501,28,529,
res_b_008,,,,,501,28,529,
res_b_009,,,,,501,28,529,
res_b_010,,,,,501,28,529,
res_b_011,,,,,501,28,529,
res_b_012,,,,,501,28,529,
res_b_013,,,,,501,28,529,
res_b_014,,,,,501,28,529,
res_b_015,,,,,501,28,529,
res_b_016,,,,,501,28,529,
res_b_017,,,,,501,28,529,
res_b_018,,,,,501,28,529,
res_b_019,,,,,501,28,529,
res_b_020,,,,,501,28,529,
