qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,322689,88741,411430,
fc_b_001,5.55%,5.36%,7.68%,7.35%,8917,2333,11250,
fc_b_002,,,,,1209,164,1373,
fc_b_003,,,,,1209,164,1373,
fc_b_004,,,,,1209,164,1373,
fc_b_005,1468.47%,740.58%,,,8683,2735,11418,
fc_b_006,,,,,1209,164,1373,
fc_b_007,,,,,1209,164,1373,
fc_b_008,,,,,1209,164,1373,
fc_b_009,,,,,1209,164,1373,
fc_b_010,,,,,1209,164,1373,
fc_b_011,,,,,1209,164,1373,
fc_b_012,,,,,1209,164,1373,
fc_b_013,,,,,1209,164,1373,
fc_b_014,14.41,,,,7475,2187,9662,
fc_b_015,,,,,1209,164,1373,
fc_b_016,,,,,1209,164,1373,
fc_b_017,,,,,1209,164,1373,
fc_b_018,,,,,1209,164,1373,
fc_b_019,,,,,1209,164,1373,
fc_b_020,2.30,,,,7044,2714,9758,
fin_b_001,,,,,1209,164,1373,
fin_b_002,,,,,1209,164,1373,
fin_b_003,,,,,1209,164,1373,
fin_b_004,,,,,1209,164,1373,
fin_b_005,,,,,1209,164,1373,
fin_b_006,,,,,1209,164,1373,
fin_b_007,,,,,1209,164,1373,
fin_b_008,,,,,1209,164,1373,
fin_b_009,,,,,1209,164,1373,
fin_b_010,,,,,1209,164,1373,
fin_b_011,,,,,1209,164,1373,
fin_b_012,,,,,1209,164,1373,
fin_b_013,40.05,10.10,,,18614,6030,24644,
fin_b_014,1.12,9.82,8.69,,12190,3209,15399,
fin_b_015,宁德时代>美的集团,19.75,,,10983,2617,13600,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,16817,2732,19549,
fin_b_017,1049321.98,0.08,,,7427,2564,9991,
fin_b_018,2.58,7.65,,,9196,2506,11702,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,22649,6704,29353,
fin_b_020,112.32,112.31,0.01,,8941,3024,11965,
ins_b_001,333.20,,,,9269,2690,11959,
ins_b_002,,,,,1209,164,1373,
ins_b_003,348.00,,,,7783,2801,10584,
ins_b_004,,,,,1209,164,1373,
ins_b_005,,,,,1209,164,1373,
ins_b_006,,,,,1209,164,1373,
ins_b_007,,,,,1209,164,1373,
ins_b_008,,,,,1209,164,1373,
ins_b_009,,,,,1209,164,1373,
ins_b_010,,,,,1209,164,1373,
ins_b_011,16.00,,,,6714,2621,9335,
ins_b_012,,,,,1209,164,1373,
ins_b_013,,,,,1209,164,1373,
ins_b_014,,,,,1209,164,1373,
ins_b_015,,,,,1209,164,1373,
ins_b_016,,,,,1209,164,1373,
ins_b_017,,,,,1209,164,1373,
ins_b_018,60.00,,,,6786,2460,9246,
ins_b_019,211.50,,,,9243,2639,11882,
ins_b_020,,,,,1209,164,1373,
reg_b_001,,,,,1209,164,1373,
reg_b_003,2026年3月30日,,,,4948,2437,7385,
reg_b_004,2026年6月30日,,,,5419,2488,7907,
reg_b_005,,,,,1208,164,1372,
reg_b_007,30.00,,,,5053,2374,7427,
reg_b_008,,,,,1208,164,1372,
reg_b_009,,,,,1208,164,1372,
reg_b_013,,,,,1208,164,1372,
reg_b_014,99.25,,,,4833,3370,8203,
reg_b_015,,,,,1208,164,1372,
reg_b_016,2.00,,,,5524,2496,8020,
reg_b_017,,,,,1208,164,1372,
reg_b_018,2026年4月1日,,,,5330,2535,7865,
reg_b_020,,,,,1208,164,1372,
reg_b_021,,,,,1208,164,1372,
reg_b_023,,,,,1208,164,1372,
reg_b_024,,,,,1208,164,1372,
reg_b_025,,,,,1208,164,1372,
reg_b_026,,,,,1208,164,1372,
reg_b_027,,,,,1208,164,1372,
res_b_001,,,,,1208,164,1372,
res_b_002,,,,,1208,164,1372,
res_b_003,,,,,1208,164,1372,
res_b_004,,,,,1208,164,1372,
res_b_005,-87.78%,,,,11276,3419,14695,
res_b_006,,,,,1208,164,1372,
res_b_007,61.98,,,,6096,2245,8341,
res_b_008,,,,,1208,164,1372,
res_b_009,,,,,1208,164,1372,
res_b_010,,,,,1208,164,1372,
res_b_011,,,,,1208,164,1372,
res_b_012,67.10,,,,6043,2682,8725,
res_b_013,,,,,1208,164,1372,
res_b_014,,,,,1208,163,1371,
res_b_015,,,,,1208,163,1371,
res_b_016,,,,,1208,163,1371,
res_b_017,,,,,1208,163,1371,
res_b_018,,,,,1208,163,1371,
res_b_019,,,,,1208,163,1371,
res_b_020,,,,,1208,163,1371,
