qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,420816,166110,586926
fc_b_001,5.55%,5.36%,7.68%,7.35%,5960,2427,8387
fc_b_002,CD,,,,1518,611,2129
fc_b_003,ABCD,,,,9071,3861,12932
fc_b_004,AC,,,,8660,3778,12438
fc_b_005,1468.47%,740.58%,,,6048,2508,8556
fc_b_006,B,,,,1518,611,2129
fc_b_007,C,,,,1518,611,2129
fc_b_008,ABC,,,,1518,611,2129
fc_b_009,BD,,,,1518,611,2129
fc_b_010,A,,,,1518,611,2129
fc_b_011,ABC,,,,1518,611,2129
fc_b_012,D,,,,4986,2437,7423
fc_b_013,A,,,,1518,611,2129
fc_b_014,14.41,,,,6656,2459,9115
fc_b_015,CD,,,,1518,611,2129
fc_b_016,C,,,,1518,611,2129
fc_b_017,BC,,,,8124,3030,11154
fc_b_018,AD,,,,1518,611,2129
fc_b_019,A,,,,1518,611,2129
fc_b_020,2.30,,,,6515,2471,8986
fin_b_001,BD,,,,11751,5328,17079
fin_b_002,BCD,,,,1518,611,2129
fin_b_003,A,,,,1518,611,2129
fin_b_004,AB,,,,1518,611,2129
fin_b_005,AC,,,,1518,611,2129
fin_b_006,B,,,,12749,4126,16875
fin_b_007,AB,,,,1518,611,2129
fin_b_008,AC,,,,1518,611,2129
fin_b_009,BCD,,,,1518,611,2129
fin_b_010,AD,,,,1518,611,2129
fin_b_011,ABC,,,,1518,611,2129
fin_b_012,D,,,,7818,4982,12800
fin_b_013,-30.00,-9.23,,,7195,2872,10067
fin_b_014,1.12,9.82,8.69,,9156,3068,12224
fin_b_015,宁德时代>美的集团,15.82,,,7573,4339,11912
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,9890,2697,12587
fin_b_017,1049321.98,0.08,,,6546,2701,9247
fin_b_018,2.58,7.65,,,6429,2692,9121
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,8490,2688,11178
fin_b_020,112.32,112.31,0.01,,6855,2934,9789
ins_b_001,333.20,,,,7632,2696,10328
ins_b_002,C,,,,11539,4697,16236
ins_b_003,,,,,6292,4277,10569
ins_b_004,D,,,,1517,610,2127
ins_b_005,B,,,,1517,610,2127
ins_b_006,BC,,,,1517,610,2127
ins_b_007,BC,,,,1517,610,2127
ins_b_008,ABD,,,,1517,610,2127
ins_b_009,D,,,,1517,610,2127
ins_b_010,B,,,,1517,610,2127
ins_b_011,16.00,,,,5611,2673,8284
ins_b_012,BD,,,,1517,610,2127
ins_b_013,BD,,,,1517,610,2127
ins_b_014,ACD,,,,1517,610,2127
ins_b_015,AC,,,,1517,610,2127
ins_b_016,AB,,,,9360,3223,12583
ins_b_017,AC,,,,13474,3396,16870
ins_b_018,60.00,,,,5698,2531,8229
ins_b_019,211.50,,,,7619,2593,10212
ins_b_020,AC,,,,1517,610,2127
reg_b_001,ACD,,,,1517,610,2127
reg_b_003,2026年3月30日,,,,4813,2515,7328
reg_b_004,2026年6月30日,,,,4521,2523,7044
reg_b_005,BCD,,,,9448,2365,11813
reg_b_007,30.00,,,,5046,2432,7478
reg_b_008,BC,,,,1517,610,2127
reg_b_009,BC,,,,6249,1924,8173
reg_b_013,B,,,,1517,610,2127
reg_b_014,99.25,,,,5623,2492,8115
reg_b_015,AC,,,,1517,610,2127
reg_b_016,2.00,,,,4795,2440,7235
reg_b_017,AC,,,,1517,610,2127
reg_b_018,2026年4月1日,,,,5231,2458,7689
reg_b_020,B,,,,1517,610,2127
reg_b_021,B,,,,1517,610,2127
reg_b_023,AB,,,,1517,610,2127
reg_b_024,B,,,,1517,610,2127
reg_b_025,AC,,,,1517,610,2127
reg_b_026,B,,,,9352,1720,11072
reg_b_027,BD,,,,1517,610,2127
res_b_001,AB,,,,10006,3565,13571
res_b_002,AC,,,,1517,610,2127
res_b_003,AB,,,,1517,610,2127
res_b_004,BCD,,,,8605,2849,11454
res_b_005,22.19,,,,6261,2800,9061
res_b_006,AB,,,,1517,610,2127
res_b_007,61.98,,,,6310,2562,8872
res_b_008,AC,,,,10940,4351,15291
res_b_009,ABC,,,,1517,610,2127
res_b_010,AC,,,,1517,610,2127
res_b_011,BC,,,,1517,610,2127
res_b_012,67.10,,,,6328,2885,9213
res_b_013,AB,,,,1517,610,2127
res_b_014,CD,,,,1517,610,2127
res_b_015,BC,,,,1517,610,2127
res_b_016,BD,,,,1517,610,2127
res_b_017,AC,,,,1517,610,2127
res_b_018,ACD,,,,13101,3954,17055
res_b_019,B,,,,1517,610,2127
res_b_020,BD,,,,1517,610,2127
