qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,179033,28709,207742,
fc_b_001,5.55%,5.36%,7.68%,7.35%,4781,1489,6270,
fc_b_002,ACD,,,,6183,524,6707,
fc_b_003,ABCD,,,,8879,588,9467,
fc_b_004,ABC,,,,6183,524,6707,
fc_b_005,1468.47%,740.58%,,,10949,3333,14282,
fc_b_006,B,,,,8879,588,9467,
fc_b_007,ABC,,,,5490,667,6157,
fc_b_008,ABC,,,,5490,667,6157,
fc_b_009,ABD,,,,5490,667,6157,
fc_b_010,BCD,,,,5769,922,6691,
fc_b_011,ABC,,,,8879,588,9467,
fc_b_012,BCD,,,,7735,368,8103,
fc_b_013,A,,,,5160,819,5979,
fc_b_014,14.41,,,,5403,1490,6893,
fc_b_015,CD,,,,5769,922,6691,
fc_b_016,C,,,,5160,819,5979,
fc_b_017,BCD,,,,5769,922,6691,
fc_b_018,ABD,,,,6183,524,6707,
fc_b_019,ABCD,,,,5160,819,5979,
fc_b_020,2.30,,,,4612,1677,6289,
fin_b_001,,,,,639,123,762,
fin_b_002,,,,,639,123,762,
fin_b_003,,,,,639,123,762,
fin_b_004,,,,,639,123,762,
fin_b_005,,,,,639,123,762,
fin_b_006,,,,,639,123,762,
fin_b_007,,,,,639,123,762,
fin_b_008,,,,,639,123,762,
fin_b_009,,,,,639,123,762,
fin_b_010,,,,,639,123,762,
fin_b_011,,,,,639,123,762,
fin_b_012,,,,,639,123,762,
fin_b_013,,,,,639,123,762,
fin_b_014,,,,,639,123,762,
fin_b_015,,,,,639,123,762,
fin_b_016,,,,,639,123,762,
fin_b_017,,,,,639,123,762,
fin_b_018,,,,,639,123,762,
fin_b_019,,,,,639,123,762,
fin_b_020,,,,,639,123,762,
ins_b_001,,,,,639,123,762,
ins_b_002,,,,,639,123,762,
ins_b_003,,,,,639,123,762,
ins_b_004,,,,,639,123,762,
ins_b_005,,,,,639,123,762,
ins_b_006,,,,,639,123,762,
ins_b_007,,,,,639,123,762,
ins_b_008,,,,,639,123,762,
ins_b_009,,,,,639,123,762,
ins_b_010,,,,,639,123,762,
ins_b_011,,,,,639,123,762,
ins_b_012,,,,,639,123,762,
ins_b_013,,,,,639,122,761,
ins_b_014,,,,,639,122,761,
ins_b_015,,,,,639,122,761,
ins_b_016,,,,,639,122,761,
ins_b_017,,,,,639,122,761,
ins_b_018,,,,,639,122,761,
ins_b_019,,,,,639,122,761,
ins_b_020,,,,,639,122,761,
reg_b_001,,,,,639,122,761,
reg_b_003,,,,,639,122,761,
reg_b_004,,,,,639,122,761,
reg_b_005,,,,,639,122,761,
reg_b_007,,,,,639,122,761,
reg_b_008,,,,,639,122,761,
reg_b_009,,,,,639,122,761,
reg_b_013,,,,,639,122,761,
reg_b_014,,,,,639,122,761,
reg_b_015,,,,,639,122,761,
reg_b_016,,,,,639,122,761,
reg_b_017,,,,,639,122,761,
reg_b_018,,,,,639,122,761,
reg_b_020,,,,,639,122,761,
reg_b_021,,,,,639,122,761,
reg_b_023,,,,,639,122,761,
reg_b_024,,,,,639,122,761,
reg_b_025,,,,,639,122,761,
reg_b_026,,,,,639,122,761,
reg_b_027,,,,,639,122,761,
res_b_001,,,,,639,122,761,
res_b_002,,,,,639,122,761,
res_b_003,,,,,639,122,761,
res_b_004,,,,,639,122,761,
res_b_005,,,,,639,122,761,
res_b_006,,,,,639,122,761,
res_b_007,,,,,639,122,761,
res_b_008,,,,,639,122,761,
res_b_009,,,,,639,122,761,
res_b_010,,,,,639,122,761,
res_b_011,,,,,638,122,760,
res_b_012,,,,,638,122,760,
res_b_013,,,,,638,122,760,
res_b_014,,,,,638,122,760,
res_b_015,,,,,638,122,760,
res_b_016,,,,,638,122,760,
res_b_017,,,,,638,122,760,
res_b_018,,,,,638,122,760,
res_b_019,,,,,638,122,760,
res_b_020,,,,,638,122,760,
