qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,735974,134555,870529,
fc_b_001,,,,,0,0,0,
fc_b_002,,,,,0,0,0,
fc_b_003,,,,,0,0,0,
fc_b_004,,,,,0,0,0,
fc_b_005,,,,,0,0,0,
fc_b_006,,,,,0,0,0,
fc_b_007,,,,,0,0,0,
fc_b_008,,,,,0,0,0,
fc_b_009,,,,,0,0,0,
fc_b_010,,,,,0,0,0,
fc_b_011,,,,,0,0,0,
fc_b_012,,,,,0,0,0,
fc_b_013,,,,,0,0,0,
fc_b_014,,,,,0,0,0,
fc_b_015,,,,,0,0,0,
fc_b_016,,,,,0,0,0,
fc_b_017,,,,,0,0,0,
fc_b_018,,,,,0,0,0,
fc_b_019,,,,,0,0,0,
fc_b_020,,,,,0,0,0,
fin_b_001,ACD,,,,33062,7579,40641,
fin_b_002,BCD,,,,40175,6561,46736,
fin_b_003,ABCD,,,,43951,5575,49526,
fin_b_004,A,,,,48362,6946,55308,
fin_b_005,ACD,,,,41825,6161,47986,
fin_b_006,BC,,,,28823,5072,33895,
fin_b_007,ABD,,,,30336,4804,35140,
fin_b_008,AC,,,,64071,14239,78310,
fin_b_009,BCD,,,,43735,5347,49082,
fin_b_010,AD,,,,49360,7819,57179,
fin_b_011,ABC,,,,44585,5185,49770,
fin_b_012,A,,,,40181,7620,47801,
fin_b_013,40.05,10.10,,,26811,5131,31942,
fin_b_014,1.12,9.82,8.70,,27151,5711,32862,
fin_b_015,宁德时代>美的集团,19.75,,,25724,2790,28514,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,44900,11336,56236,
fin_b_017,1049321.98,0.08,,,20085,3191,23276,
fin_b_018,2.58,7.65,,,20219,3101,23320,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,30615,7456,38071,
fin_b_020,112.33,112.31,0.02,,32003,12931,44934,
ins_b_001,,,,,0,0,0,
ins_b_002,,,,,0,0,0,
ins_b_003,,,,,0,0,0,
ins_b_004,,,,,0,0,0,
ins_b_005,,,,,0,0,0,
ins_b_006,,,,,0,0,0,
ins_b_007,,,,,0,0,0,
ins_b_008,,,,,0,0,0,
ins_b_009,,,,,0,0,0,
ins_b_010,,,,,0,0,0,
ins_b_011,,,,,0,0,0,
ins_b_012,,,,,0,0,0,
ins_b_013,,,,,0,0,0,
ins_b_014,,,,,0,0,0,
ins_b_015,,,,,0,0,0,
ins_b_016,,,,,0,0,0,
ins_b_017,,,,,0,0,0,
ins_b_018,,,,,0,0,0,
ins_b_019,,,,,0,0,0,
ins_b_020,,,,,0,0,0,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
