qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,645992,138443,784435,
fc_b_001,,,,,807,96,903,
fc_b_002,,,,,807,96,903,
fc_b_003,,,,,807,96,903,
fc_b_004,,,,,807,96,903,
fc_b_005,,,,,807,96,903,
fc_b_006,,,,,807,96,903,
fc_b_007,,,,,807,96,903,
fc_b_008,,,,,807,96,903,
fc_b_009,,,,,807,96,903,
fc_b_010,,,,,807,96,903,
fc_b_011,,,,,807,96,903,
fc_b_012,,,,,807,96,903,
fc_b_013,,,,,807,96,903,
fc_b_014,,,,,807,96,903,
fc_b_015,,,,,807,96,903,
fc_b_016,,,,,807,96,903,
fc_b_017,,,,,807,96,903,
fc_b_018,,,,,807,96,903,
fc_b_019,,,,,807,96,903,
fc_b_020,,,,,807,96,903,
fin_b_001,ACD,,,,23629,6183,29812,
fin_b_002,BCD,,,,28626,5584,34210,
fin_b_003,ABCD,,,,30875,5641,36516,
fin_b_004,AB,,,,50206,7947,58153,
fin_b_005,ACD,,,,29620,5418,35038,
fin_b_006,BC,,,,20571,5405,25976,
fin_b_007,ABD,,,,21519,5363,26882,
fin_b_008,AC,,,,30314,5873,36187,
fin_b_009,BCD,,,,30742,5328,36070,
fin_b_010,AD,,,,34533,6372,40905,
fin_b_011,ABC,,,,31363,5730,37093,
fin_b_012,A,,,,23908,6883,30791,
fin_b_013,40.05,10.10,,,27845,6502,34347,
fin_b_014,1.12,9.82,8.70,,28247,5804,34051,
fin_b_015,宁德时代>美的集团,19.75,,,26820,4231,31051,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,46360,13168,59528,
fin_b_017,1049321.98,0.08,,,20879,6802,27681,
fin_b_018,2.58,7.65,,,21231,5844,27075,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,31919,9065,40984,
fin_b_020,112.32,112.31,0.01,,22285,7666,29951,
ins_b_001,,,,,806,96,902,
ins_b_002,,,,,806,96,902,
ins_b_003,,,,,806,96,902,
ins_b_004,,,,,806,96,902,
ins_b_005,,,,,806,96,902,
ins_b_006,,,,,806,96,902,
ins_b_007,,,,,806,96,902,
ins_b_008,,,,,806,96,902,
ins_b_009,,,,,806,96,902,
ins_b_010,,,,,806,96,902,
ins_b_011,,,,,806,96,902,
ins_b_012,,,,,806,96,902,
ins_b_013,,,,,806,96,902,
ins_b_014,,,,,806,96,902,
ins_b_015,,,,,806,95,901,
ins_b_016,,,,,806,95,901,
ins_b_017,,,,,806,95,901,
ins_b_018,,,,,806,95,901,
ins_b_019,,,,,806,95,901,
ins_b_020,,,,,806,95,901,
reg_b_001,,,,,806,95,901,
reg_b_003,,,,,806,95,901,
reg_b_004,,,,,806,95,901,
reg_b_005,,,,,806,95,901,
reg_b_007,,,,,806,95,901,
reg_b_008,,,,,806,95,901,
reg_b_009,,,,,806,95,901,
reg_b_013,,,,,806,95,901,
reg_b_014,,,,,806,95,901,
reg_b_015,,,,,806,95,901,
reg_b_016,,,,,806,95,901,
reg_b_017,,,,,806,95,901,
reg_b_018,,,,,806,95,901,
reg_b_020,,,,,806,95,901,
reg_b_021,,,,,806,95,901,
reg_b_023,,,,,806,95,901,
reg_b_024,,,,,806,95,901,
reg_b_025,,,,,806,95,901,
reg_b_026,,,,,806,95,901,
reg_b_027,,,,,806,95,901,
res_b_001,,,,,806,95,901,
res_b_002,,,,,806,95,901,
res_b_003,,,,,806,95,901,
res_b_004,,,,,806,95,901,
res_b_005,,,,,806,95,901,
res_b_006,,,,,806,95,901,
res_b_007,,,,,806,95,901,
res_b_008,,,,,806,95,901,
res_b_009,,,,,806,95,901,
res_b_010,,,,,806,95,901,
res_b_011,,,,,806,95,901,
res_b_012,,,,,806,95,901,
res_b_013,,,,,806,95,901,
res_b_014,,,,,806,95,901,
res_b_015,,,,,806,95,901,
res_b_016,,,,,806,95,901,
res_b_017,,,,,806,95,901,
res_b_018,,,,,806,95,901,
res_b_019,,,,,806,95,901,
res_b_020,,,,,806,95,901,
