qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,826136,172048,998184,
fc_b_001,,,,,0,0,0,
fc_b_002,,,,,0,0,0,
fc_b_003,,,,,0,0,0,
fc_b_004,,,,,0,0,0,
fc_b_005,,,,,0,0,0,
fc_b_006,,,,,0,0,0,
fc_b_007,,,,,0,0,0,
fc_b_008,,,,,0,0,0,
fc_b_009,,,,,0,0,0,
fc_b_010,,,,,0,0,0,
fc_b_011,,,,,0,0,0,
fc_b_012,,,,,0,0,0,
fc_b_013,,,,,0,0,0,
fc_b_014,,,,,0,0,0,
fc_b_015,,,,,0,0,0,
fc_b_016,,,,,0,0,0,
fc_b_017,,,,,0,0,0,
fc_b_018,,,,,0,0,0,
fc_b_019,,,,,0,0,0,
fc_b_020,,,,,0,0,0,
fin_b_001,ACD,,,,36011,8099,44110,
fin_b_002,BCD,,,,49133,7739,56872,
fin_b_003,ABCD,,,,52405,8226,60631,
fin_b_004,ABCD,,,,58910,15842,74752,
fin_b_005,ACD,,,,45908,7474,53382,
fin_b_006,BC,,,,30032,7676,37708,
fin_b_007,ABD,,,,37476,7679,45155,
fin_b_008,AC,,,,51945,8766,60711,
fin_b_009,BCD,,,,47776,7707,55483,
fin_b_010,AD,,,,75616,18530,94146,
fin_b_011,ABC,,,,51668,7697,59365,
fin_b_012,AB,,,,41573,7124,48697,
fin_b_013,40.05,10.10,,,28337,5953,34290,
fin_b_014,1.12,9.82,8.69,,32275,6790,39065,
fin_b_015,宁德时代>美的集团,19.75,,,31290,3924,35214,
fin_b_016,宁德时代新能源科技股份有限公司>美的集团股份有限公司>招商银行股份有限公司>中国建筑股份有限公司,76.92,,,52203,13702,65905,
fin_b_017,1049321.98,0.08,,,20473,6296,26769,
fin_b_018,2.58,7.65,,,24557,5620,30177,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,35601,9885,45486,
fin_b_020,112.32,112.31,0.01,,22947,7319,30266,
ins_b_001,,,,,0,0,0,
ins_b_002,,,,,0,0,0,
ins_b_003,,,,,0,0,0,
ins_b_004,,,,,0,0,0,
ins_b_005,,,,,0,0,0,
ins_b_006,,,,,0,0,0,
ins_b_007,,,,,0,0,0,
ins_b_008,,,,,0,0,0,
ins_b_009,,,,,0,0,0,
ins_b_010,,,,,0,0,0,
ins_b_011,,,,,0,0,0,
ins_b_012,,,,,0,0,0,
ins_b_013,,,,,0,0,0,
ins_b_014,,,,,0,0,0,
ins_b_015,,,,,0,0,0,
ins_b_016,,,,,0,0,0,
ins_b_017,,,,,0,0,0,
ins_b_018,,,,,0,0,0,
ins_b_019,,,,,0,0,0,
ins_b_020,,,,,0,0,0,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
