qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,420916,54940,475856,
fc_b_001,,,,,566,93,659,
fc_b_002,,,,,566,93,659,
fc_b_003,,,,,566,93,659,
fc_b_004,,,,,566,93,659,
fc_b_005,,,,,566,93,659,
fc_b_006,,,,,566,93,659,
fc_b_007,,,,,566,93,659,
fc_b_008,,,,,566,93,659,
fc_b_009,,,,,566,93,659,
fc_b_010,,,,,566,93,659,
fc_b_011,,,,,566,93,659,
fc_b_012,,,,,566,93,659,
fc_b_013,,,,,566,93,659,
fc_b_014,,,,,566,93,659,
fc_b_015,,,,,566,93,659,
fc_b_016,,,,,566,93,659,
fc_b_017,,,,,566,93,659,
fc_b_018,,,,,566,93,659,
fc_b_019,,,,,566,93,659,
fc_b_020,,,,,566,93,659,
fin_b_001,ACD,,,,28687,5305,33992,
fin_b_002,BCD,,,,15836,2237,18073,
fin_b_003,ABCD,,,,42170,4624,46794,
fin_b_004,BCD,,,,28687,5305,33992,
fin_b_005,ACD,,,,19017,1631,20648,
fin_b_006,BC,,,,28687,5305,33992,
fin_b_007,ABD,,,,12559,1636,14195,
fin_b_008,AC,,,,19198,1964,21162,
fin_b_009,BCD,,,,42170,4624,46794,
fin_b_010,AD,,,,28687,5305,33992,
fin_b_011,ABC,,,,52718,4430,57148,
fin_b_012,AB,,,,52718,4430,57148,
fin_b_013,,,,,566,93,659,
fin_b_014,,,,,566,93,659,
fin_b_015,,,,,566,93,659,
fin_b_016,,,,,566,93,659,
fin_b_017,,,,,566,93,659,
fin_b_018,,,,,566,93,659,
fin_b_019,,,,,566,93,659,
fin_b_020,,,,,566,93,659,
ins_b_001,,,,,566,93,659,
ins_b_002,,,,,566,93,659,
ins_b_003,,,,,566,93,659,
ins_b_004,,,,,566,93,659,
ins_b_005,,,,,566,93,659,
ins_b_006,,,,,566,93,659,
ins_b_007,,,,,566,93,659,
ins_b_008,,,,,566,93,659,
ins_b_009,,,,,566,93,659,
ins_b_010,,,,,566,93,659,
ins_b_011,,,,,566,93,659,
ins_b_012,,,,,566,93,659,
ins_b_013,,,,,566,93,659,
ins_b_014,,,,,566,93,659,
ins_b_015,,,,,566,93,659,
ins_b_016,,,,,566,93,659,
ins_b_017,,,,,566,93,659,
ins_b_018,,,,,566,93,659,
ins_b_019,,,,,566,93,659,
ins_b_020,,,,,566,93,659,
reg_b_001,,,,,566,92,658,
reg_b_003,,,,,566,92,658,
reg_b_004,,,,,566,92,658,
reg_b_005,,,,,566,92,658,
reg_b_007,,,,,566,92,658,
reg_b_008,,,,,566,92,658,
reg_b_009,,,,,566,92,658,
reg_b_013,,,,,566,92,658,
reg_b_014,,,,,566,92,658,
reg_b_015,,,,,566,92,658,
reg_b_016,,,,,566,92,658,
reg_b_017,,,,,566,92,658,
reg_b_018,,,,,566,92,658,
reg_b_020,,,,,566,92,658,
reg_b_021,,,,,565,92,657,
reg_b_023,,,,,565,92,657,
reg_b_024,,,,,565,92,657,
reg_b_025,,,,,565,92,657,
reg_b_026,,,,,565,92,657,
reg_b_027,,,,,565,92,657,
res_b_001,,,,,565,92,657,
res_b_002,,,,,565,92,657,
res_b_003,,,,,565,92,657,
res_b_004,,,,,565,92,657,
res_b_005,,,,,565,92,657,
res_b_006,,,,,565,92,657,
res_b_007,,,,,565,92,657,
res_b_008,,,,,565,92,657,
res_b_009,,,,,565,92,657,
res_b_010,,,,,565,92,657,
res_b_011,,,,,565,92,657,
res_b_012,,,,,565,92,657,
res_b_013,,,,,565,92,657,
res_b_014,,,,,565,92,657,
res_b_015,,,,,565,92,657,
res_b_016,,,,,565,92,657,
res_b_017,,,,,565,92,657,
res_b_018,,,,,565,92,657,
res_b_019,,,,,565,92,657,
res_b_020,,,,,565,92,657,
