qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,829346,183969,1013315,
fc_b_001,,,,,807,95,902,
fc_b_002,,,,,807,95,902,
fc_b_003,,,,,807,95,902,
fc_b_004,,,,,807,95,902,
fc_b_005,,,,,807,95,902,
fc_b_006,,,,,807,95,902,
fc_b_007,,,,,807,95,902,
fc_b_008,,,,,807,95,902,
fc_b_009,,,,,807,95,902,
fc_b_010,,,,,807,95,902,
fc_b_011,,,,,807,95,902,
fc_b_012,,,,,807,95,902,
fc_b_013,,,,,807,95,902,
fc_b_014,,,,,807,95,902,
fc_b_015,,,,,807,95,902,
fc_b_016,,,,,807,95,902,
fc_b_017,,,,,807,95,902,
fc_b_018,,,,,807,95,902,
fc_b_019,,,,,807,95,902,
fc_b_020,,,,,807,95,902,
fin_b_001,ACD,,,,34118,8605,42723,
fin_b_002,BCD,,,,41255,7783,49038,
fin_b_003,ABCD,,,,44866,8052,52918,
fin_b_004,AB,,,,49632,7920,57552,
fin_b_005,ACD,,,,42836,7623,50459,
fin_b_006,BC,,,,29963,7844,37807,
fin_b_007,ABD,,,,31218,7522,38740,
fin_b_008,AC,,,,77490,20221,97711,
fin_b_009,BCD,,,,44650,7545,52195,
fin_b_010,AD,,,,50617,8375,58992,
fin_b_011,ABC,,,,45437,7529,52966,
fin_b_012,ABC,,,,50294,15417,65711,
fin_b_013,40.05,10.10,,,27685,7285,34970,
fin_b_014,1.12,9.82,8.69,,41436,11907,53343,
fin_b_015,宁德时代>美的集团,19.75,,,26606,5762,32368,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,31173,6734,37907,
fin_b_017,1049321.98,0.08,,,20941,6528,27469,
fin_b_018,2.58,7.65,,,20943,6329,27272,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,31365,9982,41347,
fin_b_020,112.32,112.31,0.01,,22321,7466,29787,
ins_b_001,,,,,806,94,900,
ins_b_002,,,,,806,94,900,
ins_b_003,,,,,806,94,900,
ins_b_004,,,,,806,94,900,
ins_b_005,,,,,806,94,900,
ins_b_006,,,,,806,94,900,
ins_b_007,,,,,806,94,900,
ins_b_008,,,,,806,94,900,
ins_b_009,,,,,806,94,900,
ins_b_010,,,,,806,94,900,
ins_b_011,,,,,806,94,900,
ins_b_012,,,,,806,94,900,
ins_b_013,,,,,806,94,900,
ins_b_014,,,,,806,94,900,
ins_b_015,,,,,806,94,900,
ins_b_016,,,,,806,94,900,
ins_b_017,,,,,806,94,900,
ins_b_018,,,,,806,94,900,
ins_b_019,,,,,806,94,900,
ins_b_020,,,,,806,94,900,
reg_b_001,,,,,806,94,900,
reg_b_003,,,,,806,94,900,
reg_b_004,,,,,806,94,900,
reg_b_005,,,,,806,94,900,
reg_b_007,,,,,806,94,900,
reg_b_008,,,,,806,94,900,
reg_b_009,,,,,806,94,900,
reg_b_013,,,,,806,94,900,
reg_b_014,,,,,806,94,900,
reg_b_015,,,,,806,94,900,
reg_b_016,,,,,806,94,900,
reg_b_017,,,,,806,94,900,
reg_b_018,,,,,806,94,900,
reg_b_020,,,,,806,94,900,
reg_b_021,,,,,806,94,900,
reg_b_023,,,,,806,94,900,
reg_b_024,,,,,806,94,900,
reg_b_025,,,,,806,94,900,
reg_b_026,,,,,806,94,900,
reg_b_027,,,,,806,94,900,
res_b_001,,,,,806,94,900,
res_b_002,,,,,806,94,900,
res_b_003,,,,,806,94,900,
res_b_004,,,,,806,94,900,
res_b_005,,,,,806,94,900,
res_b_006,,,,,806,94,900,
res_b_007,,,,,806,94,900,
res_b_008,,,,,806,94,900,
res_b_009,,,,,806,94,900,
res_b_010,,,,,806,94,900,
res_b_011,,,,,806,94,900,
res_b_012,,,,,806,94,900,
res_b_013,,,,,806,94,900,
res_b_014,,,,,806,94,900,
res_b_015,,,,,806,94,900,
res_b_016,,,,,806,94,900,
res_b_017,,,,,806,94,900,
res_b_018,,,,,806,94,900,
res_b_019,,,,,806,94,900,
res_b_020,,,,,806,94,900,
