qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,571863,147300,719163,
fc_b_001,,,,,0,0,0,
fc_b_002,,,,,0,0,0,
fc_b_003,,,,,0,0,0,
fc_b_004,,,,,0,0,0,
fc_b_005,,,,,0,0,0,
fc_b_006,,,,,0,0,0,
fc_b_007,,,,,0,0,0,
fc_b_008,,,,,0,0,0,
fc_b_009,,,,,0,0,0,
fc_b_010,,,,,0,0,0,
fc_b_011,,,,,0,0,0,
fc_b_012,,,,,0,0,0,
fc_b_013,,,,,0,0,0,
fc_b_014,,,,,0,0,0,
fc_b_015,,,,,0,0,0,
fc_b_016,,,,,0,0,0,
fc_b_017,,,,,0,0,0,
fc_b_018,,,,,0,0,0,
fc_b_019,,,,,0,0,0,
fc_b_020,,,,,0,0,0,
fin_b_001,ACD,,,,20306,5598,25904,
fin_b_002,BCD,,,,25723,5095,30818,
fin_b_003,ABCD,,,,29672,5643,35315,
fin_b_004,ABD,,,,50706,13696,64402,
fin_b_005,ACD,,,,25604,4988,30592,
fin_b_006,BC,,,,15456,4636,20092,
fin_b_007,ABD,,,,19983,4878,24861,
fin_b_008,AC,,,,29293,5255,34548,
fin_b_009,BCD,,,,25809,4917,30726,
fin_b_010,A,,,,35626,11262,46888,
fin_b_011,ABC,,,,30112,5153,35265,
fin_b_012,A,,,,22761,6735,29496,
fin_b_013,40.05,10.10,,,26811,7108,33919,
fin_b_014,1.12,9.82,8.69,,40270,11449,51719,
fin_b_015,宁德时代>美的集团,19.75,,,25724,5853,31577,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,30231,6693,36924,
fin_b_017,1049321.98,0.08,,,20085,6480,26565,
fin_b_018,2.58,7.65,,,20219,6056,26275,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,45467,14771,60238,
fin_b_020,1123.23,112.31,1010.92,,32005,11034,43039,
ins_b_001,,,,,0,0,0,
ins_b_002,,,,,0,0,0,
ins_b_003,,,,,0,0,0,
ins_b_004,,,,,0,0,0,
ins_b_005,,,,,0,0,0,
ins_b_006,,,,,0,0,0,
ins_b_007,,,,,0,0,0,
ins_b_008,,,,,0,0,0,
ins_b_009,,,,,0,0,0,
ins_b_010,,,,,0,0,0,
ins_b_011,,,,,0,0,0,
ins_b_012,,,,,0,0,0,
ins_b_013,,,,,0,0,0,
ins_b_014,,,,,0,0,0,
ins_b_015,,,,,0,0,0,
ins_b_016,,,,,0,0,0,
ins_b_017,,,,,0,0,0,
ins_b_018,,,,,0,0,0,
ins_b_019,,,,,0,0,0,
ins_b_020,,,,,0,0,0,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
