qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,206426,57332,263758,
fc_b_001,,,,,1,1,2,
fc_b_002,,,,,1,1,2,
fc_b_003,,,,,1,1,2,
fc_b_004,,,,,1,1,2,
fc_b_005,,,,,1,1,2,
fc_b_006,,,,,1,1,2,
fc_b_007,,,,,1,1,2,
fc_b_008,,,,,1,1,2,
fc_b_009,,,,,1,1,2,
fc_b_010,,,,,1,1,2,
fc_b_011,,,,,1,1,2,
fc_b_012,,,,,1,1,2,
fc_b_013,,,,,0,1,1,
fc_b_014,,,,,0,1,1,
fc_b_015,,,,,0,1,1,
fc_b_016,,,,,0,1,1,
fc_b_017,,,,,0,1,1,
fc_b_018,,,,,0,1,1,
fc_b_019,,,,,0,1,1,
fc_b_020,,,,,0,1,1,
fin_b_001,ACD,,,,3936,558,4494,
fin_b_002,BCD,,,,3936,558,4494,
fin_b_003,AD,,,,3936,557,4493,
fin_b_004,AB,,,,3936,557,4493,
fin_b_005,ACD,,,,5050,814,5864,
fin_b_006,A,,,,9465,957,10422,
fin_b_007,BD,,,,3936,557,4493,
fin_b_008,AC,,,,18899,2508,21407,
fin_b_009,BC,,,,11163,2268,13431,
fin_b_010,AD,,,,3936,557,4493,
fin_b_011,ABC,,,,5050,814,5864,
fin_b_012,AB,,,,16444,2183,18627,
fin_b_013,38.49,1.95,,,7918,5205,13123,
fin_b_014,,,,,13939,7953,21892,
fin_b_015,宁德时代>美的集团,25.11,,,5873,1847,7720,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,6774,1704,8478,
fin_b_017,1049321.98,0.08,,,2398,1550,3948,
fin_b_018,2.58,7.65,,,4448,1576,6024,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,5356,2080,7436,
fin_b_020,112.32,112.31,0.01,,4259,1708,5967,
ins_b_001,333.20,,,,3696,1816,5512,
ins_b_002,BC,,,,2417,665,3082,
ins_b_003,322.00,,,,5168,6066,11234,
ins_b_004,CD,,,,2417,665,3082,
ins_b_005,B,,,,6910,378,7288,
ins_b_006,BCD,,,,2417,665,3082,
ins_b_007,BC,,,,2417,665,3082,
ins_b_008,ABCD,,,,2417,665,3082,
ins_b_009,A,,,,6941,775,7716,
ins_b_010,B,,,,2365,375,2740,
ins_b_011,16.00,,,,1737,1532,3269,
ins_b_012,BCD,,,,2365,375,2740,
ins_b_013,BD,,,,2417,665,3082,
ins_b_014,AC,,,,6967,668,7635,
ins_b_015,AC,,,,2365,375,2740,
ins_b_016,AB,,,,2365,375,2740,
ins_b_017,D,,,,2417,665,3082,
ins_b_018,60.00,,,,1916,1438,3354,
ins_b_019,211.50,,,,3683,1598,5281,
ins_b_020,ACD,,,,2365,375,2740,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
