qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,347069,108517,455586,
fc_b_001,,,,,1,1,2,
fc_b_002,,,,,1,1,2,
fc_b_003,,,,,1,1,2,
fc_b_004,,,,,1,1,2,
fc_b_005,,,,,1,1,2,
fc_b_006,,,,,1,1,2,
fc_b_007,,,,,1,1,2,
fc_b_008,,,,,1,1,2,
fc_b_009,,,,,1,1,2,
fc_b_010,,,,,1,1,2,
fc_b_011,,,,,1,1,2,
fc_b_012,,,,,1,1,2,
fc_b_013,,,,,0,1,1,
fc_b_014,,,,,0,1,1,
fc_b_015,,,,,0,1,1,
fc_b_016,,,,,0,1,1,
fc_b_017,,,,,0,1,1,
fc_b_018,,,,,0,1,1,
fc_b_019,,,,,0,1,1,
fc_b_020,,,,,0,1,1,
fin_b_001,A,,,,9465,1939,11404,
fin_b_002,BCD,,,,9450,1543,10993,
fin_b_003,ACD,,,,9425,1543,10968,
fin_b_004,A,,,,9453,1542,10995,
fin_b_005,AC,,,,9914,1935,11849,
fin_b_006,A,,,,9465,1542,11007,
fin_b_007,A,,,,9469,1542,11011,
fin_b_008,AC,,,,23779,4421,28200,
fin_b_009,AC,,,,30345,16358,46703,
fin_b_010,A,,,,9467,1542,11009,
fin_b_011,C,,,,9941,1935,11876,
fin_b_012,AB,,,,21266,3909,25175,
fin_b_013,40.05,10.10,,,7766,6564,14330,
fin_b_014,,,,,15443,7947,23390,
fin_b_015,,,,,12322,7947,20269,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,6774,2262,9036,
fin_b_017,1049321.98,0.08,,,2398,1757,4155,
fin_b_018,2.57,7.65,,,4448,2641,7089,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,11241,6758,17999,
fin_b_020,112.32,112.31,0.01,,4259,2564,6823,
ins_b_001,333.20,,,,3696,1860,5556,
ins_b_002,AC,,,,7049,1158,8207,
ins_b_003,,,,,5781,7931,13712,
ins_b_004,BCD,,,,7001,1159,8160,
ins_b_005,AB,,,,6910,869,7779,
ins_b_006,BCD,,,,6940,1159,8099,
ins_b_007,ABC,,,,6954,1158,8112,
ins_b_008,ABCD,,,,6968,1159,8127,
ins_b_009,BCD,,,,6941,870,7811,
ins_b_010,A,,,,6895,869,7764,
ins_b_011,16.00,,,,1737,1754,3491,
ins_b_012,BCD,,,,6897,870,7767,
ins_b_013,C,,,,6937,1158,8095,
ins_b_014,AC,,,,6967,1158,8125,
ins_b_015,A,,,,6899,869,7768,
ins_b_016,ABD,,,,6913,870,7783,
ins_b_017,D,,,,6940,1158,8098,
ins_b_018,60.00,,,,1916,1585,3501,
ins_b_019,211.50,,,,3683,1822,5505,
ins_b_020,ACD,,,,6943,870,7813,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
