qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,141884,57946,199830,
fc_b_001,,,,,1,1,2,
fc_b_002,,,,,1,1,2,
fc_b_003,,,,,1,1,2,
fc_b_004,,,,,1,1,2,
fc_b_005,,,,,1,1,2,
fc_b_006,,,,,1,1,2,
fc_b_007,,,,,1,1,2,
fc_b_008,,,,,1,1,2,
fc_b_009,,,,,1,1,2,
fc_b_010,,,,,1,1,2,
fc_b_011,,,,,0,1,1,
fc_b_012,,,,,0,1,1,
fc_b_013,,,,,0,1,1,
fc_b_014,,,,,0,1,1,
fc_b_015,,,,,0,1,1,
fc_b_016,,,,,0,1,1,
fc_b_017,,,,,0,1,1,
fc_b_018,,,,,0,1,1,
fc_b_019,,,,,0,1,1,
fc_b_020,,,,,0,1,1,
fin_b_001,ACD,,,,3927,1398,5325,
fin_b_002,BCD,,,,3927,1398,5325,
fin_b_003,ABCD,,,,3927,1398,5325,
fin_b_004,AB,,,,3927,1398,5325,
fin_b_005,AC,,,,5033,711,5744,
fin_b_006,C,,,,9389,1401,10790,
fin_b_007,BD,,,,3927,1398,5325,
fin_b_008,AC,,,,16028,2522,18550,
fin_b_009,C,,,,9905,6503,16408,
fin_b_010,AD,,,,3927,1398,5325,
fin_b_011,BC,,,,5033,711,5744,
fin_b_012,D,,,,25247,7482,32729,
fin_b_013,数据缺失,数据缺失,,,6354,3301,9655,
fin_b_014,无法计算,无法计算,无法计算,,9895,7091,16986,
fin_b_015,,,,,7257,5800,13057,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,4516,1637,6153,
fin_b_017,1049321.98,0.08,,,2198,1698,3896,
fin_b_018,2.58,7.65,,,2354,1423,3777,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,7066,5141,12207,
fin_b_020,112.32,112.31,0.01,,8037,4117,12154,
ins_b_001,,,,,0,0,0,
ins_b_002,,,,,0,0,0,
ins_b_003,,,,,0,0,0,
ins_b_004,,,,,0,0,0,
ins_b_005,,,,,0,0,0,
ins_b_006,,,,,0,0,0,
ins_b_007,,,,,0,0,0,
ins_b_008,,,,,0,0,0,
ins_b_009,,,,,0,0,0,
ins_b_010,,,,,0,0,0,
ins_b_011,,,,,0,0,0,
ins_b_012,,,,,0,0,0,
ins_b_013,,,,,0,0,0,
ins_b_014,,,,,0,0,0,
ins_b_015,,,,,0,0,0,
ins_b_016,,,,,0,0,0,
ins_b_017,,,,,0,0,0,
ins_b_018,,,,,0,0,0,
ins_b_019,,,,,0,0,0,
ins_b_020,,,,,0,0,0,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
