qid,answer1,answer2,answer3,answer4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,3903585,688372,4591957,
fc_b_001,5.55%,5.36%,7.68%,7.35%,22497,6202,28699,
fc_b_002,ACD,,,,40650,1754,42404,
fc_b_003,ABCD,,,,56536,10385,66921,
fc_b_004,ABC,,,,45433,1969,47402,
fc_b_005,1468.47%,740.58%,,,20617,6352,26969,
fc_b_006,B,,,,45155,2810,47965,
fc_b_007,B,,,,66325,11972,78297,
fc_b_008,ABC,,,,52464,3959,56423,
fc_b_009,ABD,,,,58217,1937,60154,
fc_b_010,BCD,,,,41967,2096,44063,
fc_b_011,ABC,,,,39316,1999,41315,
fc_b_012,BCD,,,,40763,1417,42180,
fc_b_013,A,,,,12206,507,12713,
fc_b_014,14.41,,,,25601,5817,31418,
fc_b_015,CD,,,,40846,2052,42898,
fc_b_016,C,,,,34738,1427,36165,
fc_b_017,BC,,,,40731,2303,43034,
fc_b_018,ABD,,,,39523,1931,41454,
fc_b_019,ABCD,,,,42353,1818,44171,
fc_b_020,2.30,,,,20190,5555,25745,
fin_b_001,ACD,,,,46971,11081,58052,
fin_b_002,BCD,,,,56492,11035,67527,
fin_b_003,ABD,,,,93838,20635,114473,
fin_b_004,AB,,,,52259,8064,60323,
fin_b_005,ACD,,,,80783,19307,100090,
fin_b_006,BC,,,,41399,10179,51578,
fin_b_007,ABD,,,,43375,10163,53538,
fin_b_008,AC,,,,60032,10784,70816,
fin_b_009,BCD,,,,61856,10240,72096,
fin_b_010,AD,,,,69529,11373,80902,
fin_b_011,ABC,,,,62339,10524,72863,
fin_b_012,A,,,,26050,4968,31018,
fin_b_013,40.05,10.10,,,30110,7407,37517,
fin_b_014,1.12,9.82,8.69,,43638,11605,55243,
fin_b_015,宁德时代>美的集团,19.75,,,41892,9742,51634,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,48433,11462,59895,
fin_b_017,1049321.98,0.08,,,23352,6789,30141,
fin_b_018,2.58,7.65,,,23508,6383,29891,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,34166,7517,41683,
fin_b_020,112.32,112.31,0.01,,34735,11413,46148,
ins_b_001,333.20,,,,27381,7014,34395,
ins_b_002,BC,,,,39264,9913,49177,
ins_b_003,366.00,,,,29064,7361,36425,
ins_b_004,BCD,,,,46136,9771,55907,
ins_b_005,BD,,,,47269,9395,56664,
ins_b_006,BCD,,,,59114,9616,68730,
ins_b_007,BC,,,,45220,9404,54624,
ins_b_008,ABCD,,,,43526,9613,53139,
ins_b_009,BC,,,,63552,18333,81885,
ins_b_010,A,,,,58162,17512,75674,
ins_b_011,16.00,,,,21520,5848,27368,
ins_b_012,BCD,,,,51928,7948,59876,
ins_b_013,BD,,,,61323,8877,70200,
ins_b_014,ACD,,,,31029,8484,39513,
ins_b_015,AC,,,,46178,7971,54149,
ins_b_016,ABD,,,,43452,9286,52738,
ins_b_017,ABCD,,,,52838,9615,62453,
ins_b_018,60.00,,,,21621,4487,26108,
ins_b_019,211.50,,,,27471,6433,33904,
ins_b_020,ACD,,,,48642,10174,58816,
reg_b_001,ACD,,,,25386,1919,27305,
reg_b_003,2026年3月30日,,,,14193,11147,25340,
reg_b_004,2026年6月30日,,,,10107,6170,16277,
reg_b_005,BCD,,,,30472,1535,32007,
reg_b_007,30.00,,,,10857,5590,16447,
reg_b_008,BC,,,,31012,2063,33075,
reg_b_009,BC,,,,26839,2187,29026,
reg_b_013,B,,,,24804,1775,26579,
reg_b_014,99.25,,,,12787,5911,18698,
reg_b_015,AC,,,,22593,3193,25786,
reg_b_016,2.00,,,,10256,5597,15853,
reg_b_017,AC,,,,26484,2124,28608,
reg_b_018,2026年4月1日,,,,10562,6298,16860,
reg_b_020,B,,,,23174,1663,24837,
reg_b_021,B,,,,25706,1668,27374,
reg_b_023,AB,,,,20028,2287,22315,
reg_b_024,B,,,,31280,2117,33397,
reg_b_025,AC,,,,22324,1952,24276,
reg_b_026,B,,,,24456,2156,26612,
reg_b_027,BD,,,,28547,2006,30553,
res_b_001,AB,,,,41734,2697,44431,
res_b_002,AC,,,,65942,14357,80299,
res_b_003,AB,,,,37659,4806,42465,
res_b_004,BCD,,,,38410,2721,41131,
res_b_005,22.19,,,,22216,7004,29220,
res_b_006,A,,,,59783,15140,74923,
res_b_007,61.98,,,,19986,5868,25854,
res_b_008,C,,,,36643,5878,42521,
res_b_009,ABC,,,,37542,6346,43888,
res_b_010,AC,,,,37886,3196,41082,
res_b_011,BC,,,,37044,2914,39958,
res_b_012,67.10,,,,19825,7137,26962,
res_b_013,A,,,,62715,11899,74614,
res_b_014,CD,,,,58820,13171,71991,
res_b_015,BD,,,,39433,2640,42073,
res_b_016,BD,,,,42856,2969,45825,
res_b_017,AC,,,,52631,12348,64979,
res_b_018,CD,,,,55939,16744,72683,
res_b_019,AB,,,,38693,3085,41778,
res_b_020,BD,,,,40386,6106,46492,
