qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1967260,386495,2353755,
fc_b_001,5.55%,5.36%,7.68%,7.35%,19276,5716,24992,
fc_b_002,ACD,,,,15758,749,16507,
fc_b_003,ABCD,,,,22507,4194,26701,
fc_b_004,ABC,,,,18244,758,19002,
fc_b_005,1468.47%,740.58%,,,17396,5691,23087,
fc_b_006,B,,,,20717,953,21670,
fc_b_007,BC,,,,23272,1172,24444,
fc_b_008,ABC,,,,22918,1313,24231,
fc_b_009,ABD,,,,25442,785,26227,
fc_b_010,BCD,,,,17311,748,18059,
fc_b_011,ABC,,,,16665,733,17398,
fc_b_012,BCD,,,,18110,440,18550,
fc_b_013,A,,,,8985,156,9141,
fc_b_014,14.41,,,,22380,6062,28442,
fc_b_015,CD,,,,18433,796,19229,
fc_b_016,C,,,,14188,531,14719,
fc_b_017,BC,,,,17586,663,18249,
fc_b_018,ABD,,,,16317,637,16954,
fc_b_019,ABCD,,,,28851,3781,32632,
fc_b_020,2.30,,,,16969,5444,22413,
fin_b_001,ACD,,,,20332,5882,26214,
fin_b_002,BCD,,,,25765,5320,31085,
fin_b_003,ABCD,,,,29461,5271,34732,
fin_b_004,ABCD,,,,51338,14922,66260,
fin_b_005,AC,,,,26364,5908,32272,
fin_b_006,BC,,,,15522,4667,20189,
fin_b_007,ABD,,,,20029,4771,24800,
fin_b_008,AC,,,,28983,5692,34675,
fin_b_009,BCD,,,,26161,4663,30824,
fin_b_010,AD,,,,29768,7057,36825,
fin_b_011,ABC,,,,30142,4968,35110,
fin_b_012,A,,,,22829,5995,28824,
fin_b_013,40.05,10.10,,,26889,6985,33874,
fin_b_014,1.12,9.82,8.69,,27249,7199,34448,
fin_b_015,宁德时代>美的集团,19.75,,,26082,5454,31536,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,30439,9821,40260,
fin_b_017,1049321.98,0.08,,,20131,6063,26194,
fin_b_018,2.58,7.65,,,20287,5695,25982,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,73392,10537,83929,
fin_b_020,112.32,112.31,0.01,,31520,11261,42781,
ins_b_001,333.20,,,,24160,6168,30328,
ins_b_002,BC,,,,16660,5019,21679,
ins_b_003,366.00,,,,25843,6508,32351,
ins_b_004,BCD,,,,19599,4439,24038,
ins_b_005,BD,,,,21831,4461,26292,
ins_b_006,BCD,,,,25429,4164,29593,
ins_b_007,BC,,,,19779,4286,24065,
ins_b_008,ABCD,,,,19288,4938,24226,
ins_b_009,BCD,,,,21751,4618,26369,
ins_b_010,A,,,,26022,7708,33730,
ins_b_011,16.00,,,,18300,5187,23487,
ins_b_012,BCD,,,,23072,3416,26488,
ins_b_013,BD,,,,26936,3869,30805,
ins_b_014,ACD,,,,13225,3707,16932,
ins_b_015,AC,,,,20188,4392,24580,
ins_b_016,ABD,,,,19811,3814,23625,
ins_b_017,ABCD,,,,24217,5030,29247,
ins_b_018,60.00,,,,18401,4997,23398,
ins_b_019,211.50,,,,24251,5744,29995,
ins_b_020,ACD,,,,20308,4529,24837,
reg_b_001,ACD,,,,14148,4321,18469,
reg_b_003,2026年3月30日,,,,7690,6120,13810,
reg_b_004,2026年6月30日,,,,6887,5318,12205,
reg_b_005,BCD,,,,12366,541,12907,
reg_b_007,30.00,,,,7637,5338,12975,
reg_b_008,BC,,,,12132,714,12846,
reg_b_009,BC,,,,9454,815,10269,
reg_b_013,B,,,,8567,578,9145,
reg_b_014,99.25,,,,9567,5959,15526,
reg_b_015,AC,,,,8061,900,8961,
reg_b_016,2.00,,,,7036,5556,12592,
reg_b_017,AC,,,,9571,782,10353,
reg_b_018,2026年4月1日,,,,7342,5030,12372,
reg_b_020,B,,,,8429,603,9032,
reg_b_021,B,,,,8835,630,9465,
reg_b_023,AB,,,,7416,798,8214,
reg_b_024,B,,,,11120,721,11841,
reg_b_025,AC,,,,12600,3464,16064,
reg_b_026,B,,,,9180,728,9908,
reg_b_027,BD,,,,9816,709,10525,
res_b_001,AB,,,,20330,1081,21411,
res_b_002,AC,,,,19562,1332,20894,
res_b_003,AB,,,,16849,1707,18556,
res_b_004,BCD,,,,16378,1020,17398,
res_b_005,22.19,,,,18996,6519,25515,
res_b_006,AB,,,,18208,1198,19406,
res_b_007,61.98,,,,16766,5424,22190,
res_b_008,C,,,,16711,2815,19526,
res_b_009,ABC,,,,18216,1752,19968,
res_b_010,AC,,,,15950,1168,17118,
res_b_011,BC,,,,17265,898,18163,
res_b_012,67.10,,,,16605,6623,23228,
res_b_013,AC,,,,18570,1396,19966,
res_b_014,C,,,,25354,5964,31318,
res_b_015,BD,,,,18769,1128,19897,
res_b_016,BD,,,,20886,1228,22114,
res_b_017,AC,,,,21327,5217,26544,
res_b_018,CD,,,,23566,6834,30400,
res_b_019,AB,,,,17794,1183,18977,
res_b_020,BD,,,,28225,5936,34161,
