qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,2159632,436056,2595688
fc_b_001,5.55%,5.36%,7.68%,7.35%,18898,6150,25048
fc_b_002,ACD,,,,19307,860,20167
fc_b_003,ABCD,,,,34048,8906,42954
fc_b_004,ABC,,,,21316,1155,22471
fc_b_005,1468.47%,740.58%,,,17392,5864,23256
fc_b_006,B,,,,21100,1035,22135
fc_b_007,BC,,,,25116,1510,26626
fc_b_008,ABC,,,,24779,1828,26607
fc_b_009,ABD,,,,27646,1022,28668
fc_b_010,BCD,,,,19606,771,20377
fc_b_011,ABC,,,,18537,891,19428
fc_b_012,BCD,,,,19218,557,19775
fc_b_013,A,,,,8908,155,9063
fc_b_014,14.41,,,,22266,4993,27259
fc_b_015,CD,,,,19045,988,20033
fc_b_016,C,,,,16197,578,16775
fc_b_017,BC,,,,18918,1275,20193
fc_b_018,ABD,,,,18504,799,19303
fc_b_019,ABCD,,,,19950,825,20775
fc_b_020,2.30,,,,16559,5819,22378
fin_b_001,ACD,,,,22156,4601,26757
fin_b_002,BCD,,,,26935,5096,32031
fin_b_003,ABCD,,,,29506,4802,34308
fin_b_004,D,,,,47583,14522,62105
fin_b_005,ACD,,,,49775,11130,60905
fin_b_006,BC,,,,19544,4486,24030
fin_b_007,ABD,,,,20554,4450,25004
fin_b_008,AC,,,,29001,5024,34025
fin_b_009,BCD,,,,29373,4651,34024
fin_b_010,AD,,,,33010,5385,38395
fin_b_011,ABC,,,,30068,4589,34657
fin_b_012,A,,,,22685,4578,27263
fin_b_013,40.05,10.10,,,26597,7053,33650
fin_b_014,1.12,9.82,8.70,,39949,11575,51524
fin_b_015,宁德时代>美的集团,19.75,,,25644,5451,31095
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,30225,6689,36914
fin_b_017,1049321.98,0.08,,,20933,6397,27330
fin_b_018,2.58,7.65,,,20183,6343,26526
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,45137,15102,60239
fin_b_020,1123.23,112.31,1010.92,,31562,11071,42633
ins_b_001,333.20,,,,23970,6216,30186
ins_b_002,BC,,,,18747,4354,23101
ins_b_003,366.00,,,,25653,7136,32789
ins_b_004,BCD,,,,22055,4343,26398
ins_b_005,D,,,,36562,12790,49352
ins_b_006,BCD,,,,29410,3451,32861
ins_b_007,BC,,,,21354,4171,25525
ins_b_008,ABCD,,,,20714,3676,24390
ins_b_009,BCD,,,,23378,4375,27753
ins_b_010,A,,,,34641,12683,47324
ins_b_011,16.00,,,,17896,6517,24413
ins_b_012,BCD,,,,25392,4051,29443
ins_b_013,BD,,,,30085,3982,34067
ins_b_014,ACD,,,,14387,3467,17854
ins_b_015,AC,,,,21902,3639,25541
ins_b_016,ABD,,,,20754,3709,24463
ins_b_017,ABCD,,,,25536,4298,29834
ins_b_018,60.00,,,,17997,4255,22252
ins_b_019,211.50,,,,24061,6244,30305
ins_b_020,ACD,,,,22704,4435,27139
reg_b_001,ACD,,,,11728,1037,12765
reg_b_003,2026年3月30日,,,,7596,5806,13402
reg_b_004,2026年6月30日,,,,6793,6238,13031
reg_b_005,BCD,,,,14264,568,14832
reg_b_007,30.00,,,,7543,5066,12609
reg_b_008,BC,,,,14548,610,15158
reg_b_009,BC,,,,12457,933,13390
reg_b_013,B,,,,11298,684,11982
reg_b_014,99.25,,,,9473,5634,15107
reg_b_015,AC,,,,10301,1284,11585
reg_b_016,2.00,,,,6942,5672,12614
reg_b_017,AC,,,,12328,941,13269
reg_b_018,2026年4月1日,,,,7248,5242,12490
reg_b_020,B,,,,10492,512,11004
reg_b_021,B,,,,11820,716,12536
reg_b_023,AB,,,,9006,1152,10158
reg_b_024,B,,,,15372,902,16274
reg_b_025,AC,,,,10196,751,10947
reg_b_026,B,,,,11162,961,12123
reg_b_027,BD,,,,13275,843,14118
res_b_001,AB,,,,20196,1371,21567
res_b_002,AC,,,,45165,12583,57748
res_b_003,AB,,,,18151,2225,20376
res_b_004,BCD,,,,18528,1500,20028
res_b_005,22.19,,,,18902,6571,25473
res_b_006,AB,,,,18985,2015,21000
res_b_007,61.98,,,,16672,5437,22109
res_b_008,C,,,,17635,3455,21090
res_b_009,ABC,,,,18082,2473,20555
res_b_010,AC,,,,18270,1663,19933
res_b_011,BC,,,,17844,1210,19054
res_b_012,67.10,,,,23775,11207,34982
res_b_013,A,,,,42468,12584,55052
res_b_014,C,,,,36540,11268,47808
res_b_015,BD,,,,19031,1129,20160
res_b_016,BD,,,,20752,1334,22086
res_b_017,C,,,,33940,10006,43946
res_b_018,CD,,,,17759,2252,20011
res_b_019,AB,,,,18663,1965,20628
res_b_020,BD,,,,19504,1488,20992
