qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,2990546,483729,3474275,
fc_b_001,5.55%,5.36%,7.68%,7.35%,18398,3691,22089,
fc_b_002,ACD,,,,30535,1023,31558,
fc_b_003,ABCD,,,,46521,13982,60503,
fc_b_004,ABC,,,,33479,1099,34578,
fc_b_005,1468.47%,740.58%,,,16972,5024,21996,
fc_b_006,B,,,,32266,1469,33735,
fc_b_007,BC,,,,38646,2775,41421,
fc_b_008,ABC,,,,37700,1347,39047,
fc_b_009,ABD,,,,41968,1145,43113,
fc_b_010,BCD,,,,31462,1054,32516,
fc_b_011,ABC,,,,29742,1244,30986,
fc_b_012,BCD,,,,30634,697,31331,
fc_b_013,A,,,,9242,149,9391,
fc_b_014,14.41,,,,22102,6424,28526,
fc_b_015,CD,,,,30750,1179,31929,
fc_b_016,C,,,,25371,867,26238,
fc_b_017,BC,,,,30686,1052,31738,
fc_b_018,ABD,,,,29060,780,29840,
fc_b_019,ABCD,,,,32416,1719,34135,
fc_b_020,2.30,,,,16737,6444,23181,
fin_b_001,ACD,,,,35792,8924,44716,
fin_b_002,BCD,,,,48530,8137,56667,
fin_b_003,ABCD,,,,52555,8306,60861,
fin_b_004,A,,,,74084,22399,96483,
fin_b_005,ACD,,,,80615,16990,97605,
fin_b_006,BC,,,,30245,7523,37768,
fin_b_007,ABD,,,,37731,7789,45520,
fin_b_008,AC,,,,57465,9266,66731,
fin_b_009,BCD,,,,47926,7877,55803,
fin_b_010,AD,,,,57160,8550,65710,
fin_b_011,ABC,,,,59402,7637,67039,
fin_b_012,AB,,,,41396,7229,48625,
fin_b_013,40.05,10.10,,,28157,6276,34433,
fin_b_014,1.12,9.82,8.70,,32191,6025,38216,
fin_b_015,宁德时代>美的集团,19.75,,,31386,3951,35337,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,43595,6841,50436,
fin_b_017,1049321.98,0.08,,,30452,10575,41027,
fin_b_018,2.58,7.65,,,24409,6174,30583,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,35539,9033,44572,
fin_b_020,112.32,112.31,0.01,,24449,7577,32026,
ins_b_001,333.20,,,,23616,5504,29120,
ins_b_002,BC,,,,29321,7314,36635,
ins_b_003,366.00,,,,25299,6394,31693,
ins_b_004,BCD,,,,34646,6869,41515,
ins_b_005,BD,,,,35637,6052,41689,
ins_b_006,BCD,,,,45427,6486,51913,
ins_b_007,BC,,,,32271,6696,38967,
ins_b_008,ABCD,,,,31292,7468,38760,
ins_b_009,BCD,,,,36883,7088,43971,
ins_b_010,AB,,,,34074,7076,41150,
ins_b_011,16.00,,,,17120,6266,23386,
ins_b_012,BCD,,,,38423,6040,44463,
ins_b_013,BD,,,,46579,6635,53214,
ins_b_014,ACD,,,,22843,5826,28669,
ins_b_015,AC,,,,34627,5725,40352,
ins_b_016,ABD,,,,32694,5908,38602,
ins_b_017,ABCD,,,,38164,6976,45140,
ins_b_018,60.00,,,,17221,5119,22340,
ins_b_019,211.50,,,,23707,6596,30303,
ins_b_020,ACD,,,,35808,7294,43102,
reg_b_001,ACD,,,,17215,1314,18529,
reg_b_003,2026年3月30日,,,,7690,6459,14149,
reg_b_004,2026年6月30日,,,,6887,6429,13316,
reg_b_005,BCD,,,,21026,1012,22038,
reg_b_007,30.00,,,,7637,4533,12170,
reg_b_008,BC,,,,21438,1113,22551,
reg_b_009,BC,,,,18306,1250,19556,
reg_b_013,B,,,,16709,1024,17733,
reg_b_014,99.25,,,,9567,5198,14765,
reg_b_015,AC,,,,15105,1780,16885,
reg_b_016,2.00,,,,7036,6238,13274,
reg_b_017,AC,,,,18064,1183,19247,
reg_b_018,2026年4月1日,,,,7342,5911,13253,
reg_b_020,B,,,,15491,923,16414,
reg_b_021,B,,,,17421,1029,18450,
reg_b_023,AB,,,,13175,1444,14619,
reg_b_024,B,,,,22664,1314,23978,
reg_b_025,AC,,,,14918,1243,16161,
reg_b_026,B,,,,16467,1156,17623,
reg_b_027,BD,,,,19569,1210,20779,
res_b_001,AB,,,,33688,1937,35625,
res_b_002,AC,,,,31443,1974,33417,
res_b_003,AB,,,,28591,1878,30469,
res_b_004,BCD,,,,29959,1763,31722,
res_b_005,22.19%,,,,19000,7004,26004,
res_b_006,AB,,,,31979,1952,33931,
res_b_007,61.98,,,,16766,6248,23014,
res_b_008,C,,,,49179,11756,60935,
res_b_009,ABC,,,,27163,3303,30466,
res_b_010,AC,,,,27198,1903,29101,
res_b_011,BC,,,,29912,1670,31582,
res_b_012,67.10,,,,16605,7756,24361,
res_b_013,A,,,,53522,10569,64091,
res_b_014,CD,,,,29676,2458,32134,
res_b_015,BD,,,,31916,1300,33216,
res_b_016,BD,,,,34140,1726,35866,
res_b_017,AC,,,,26708,1563,28271,
res_b_018,CD,,,,26801,1841,28642,
res_b_019,AB,,,,28938,2263,31201,
res_b_020,BD,,,,30217,1527,31744,
