qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1431926,266831,1698757,
fc_b_001,5.55%,5.36%,7.68%,7.35%,16429,3297,19726,
fc_b_002,ACD,,,,14899,999,15898,
fc_b_003,ABCD,,,,20249,1581,21830,
fc_b_004,ABC,,,,14899,999,15898,
fc_b_005,1468.47%,740.58%,,,15701,4207,19908,
fc_b_006,B,,,,20249,1581,21830,
fc_b_007,BC,,,,13449,1848,15297,
fc_b_008,ABC,,,,13449,1848,15297,
fc_b_009,ABD,,,,13448,1848,15296,
fc_b_010,BCD,,,,13948,1762,15710,
fc_b_011,ABC,,,,20248,1581,21829,
fc_b_012,BCD,,,,10097,596,10693,
fc_b_013,A,,,,12308,730,13038,
fc_b_014,14.41,,,,17382,4158,21540,
fc_b_015,CD,,,,13948,1762,15710,
fc_b_016,C,,,,12308,730,13038,
fc_b_017,BC,,,,13948,1762,15710,
fc_b_018,ABD,,,,14898,999,15897,
fc_b_019,ABCD,,,,12308,730,13038,
fc_b_020,2.30,,,,15744,4643,20387,
fin_b_001,ACD,,,,16148,3172,19320,
fin_b_002,BCD,,,,14539,2118,16657,
fin_b_003,ABCD,,,,23001,2904,25905,
fin_b_004,A,,,,21528,3572,25100,
fin_b_005,ACD,,,,18419,2089,20508,
fin_b_006,BC,,,,16148,3172,19320,
fin_b_007,ABD,,,,13507,2005,15512,
fin_b_008,AC,,,,20780,2007,22787,
fin_b_009,BCD,,,,23001,2904,25905,
fin_b_010,AD,,,,16148,3172,19320,
fin_b_011,ABC,,,,28291,2799,31090,
fin_b_012,AB,,,,28291,2799,31090,
fin_b_013,40.05,10.10,,,24425,5158,29583,
fin_b_014,1.12,9.82,8.69,,40500,10537,51037,
fin_b_015,宁德时代>美的集团,19.75,,,38952,6783,45735,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,36941,5234,42175,
fin_b_017,1049321.98,0.08,,,17213,4392,21605,
fin_b_018,2.58,7.65,,,29117,10369,39486,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,72736,14898,87634,
fin_b_020,112.32,112.31,0.01,,26651,10732,37383,
ins_b_001,333.20,,,,19743,4690,24433,
ins_b_002,BC,,,,11471,1951,13422,
ins_b_003,366.00,,,,21297,5061,26358,
ins_b_004,CD,,,,11471,1951,13422,
ins_b_005,BD,,,,11137,1785,12922,
ins_b_006,BCD,,,,13928,1723,15651,
ins_b_007,BC,,,,10071,1752,11823,
ins_b_008,ABCD,,,,9674,2237,11911,
ins_b_009,BCD,,,,11385,1784,13169,
ins_b_010,AB,,,,10274,1737,12011,
ins_b_011,16.00,,,,18218,9143,27361,
ins_b_012,BCD,,,,12137,1771,13908,
ins_b_013,BD,,,,14165,1851,16016,
ins_b_014,ACD,,,,11471,1951,13422,
ins_b_015,AC,,,,10484,1703,12187,
ins_b_016,ABD,,,,10444,1759,12203,
ins_b_017,ABCD,,,,11822,1779,13601,
ins_b_018,60.00,,,,13053,4141,17194,
ins_b_019,211.50,,,,19867,4485,24352,
ins_b_020,ACD,,,,10806,1956,12762,
reg_b_001,AC,,,,5697,1052,6749,
reg_b_003,2026年3月30日,,,,9161,4346,13507,
reg_b_004,2026年6月30日,,,,8091,4383,12474,
reg_b_005,BCD,,,,5497,896,6393,
reg_b_007,30.00,,,,9067,3779,12846,
reg_b_008,BC,,,,5497,896,6393,
reg_b_009,BC,,,,5697,1052,6749,
reg_b_013,B,,,,5497,896,6393,
reg_b_014,99.25,,,,11033,4211,15244,
reg_b_015,AC,,,,5697,1052,6749,
reg_b_016,2.00,,,,11020,8108,19128,
reg_b_017,AC,,,,5764,1057,6821,
reg_b_018,2026年4月1日,,,,8678,2692,11370,
reg_b_020,B,,,,5564,900,6464,
reg_b_021,B,,,,5564,900,6464,
reg_b_023,AB,,,,5764,1056,6820,
reg_b_024,B,,,,5564,900,6464,
reg_b_025,AC,,,,5764,1056,6820,
reg_b_026,B,,,,5564,900,6464,
reg_b_027,BD,,,,5564,900,6464,
res_b_001,AB,,,,10073,1149,11222,
res_b_002,AC,,,,9842,1092,10934,
res_b_003,AB,,,,9842,1092,10934,
res_b_004,BCD,,,,10073,1149,11222,
res_b_005,22.19%,,,,12904,4792,17696,
res_b_006,AB,,,,10073,1149,11222,
res_b_007,61.98,,,,12424,3162,15586,
res_b_008,AC,,,,10073,1149,11222,
res_b_009,ABC,,,,10385,1107,11492,
res_b_010,AC,,,,9842,1092,10934,
res_b_011,BC,,,,10073,1149,11222,
res_b_012,67.10,,,,11986,5123,17109,
res_b_013,ABC,,,,10073,1149,11222,
res_b_014,CD,,,,10073,1149,11222,
res_b_015,B,,,,9842,1092,10934,
res_b_016,BD,,,,9842,1092,10934,
res_b_017,AC,,,,9842,1092,10934,
res_b_018,ACD,,,,9842,1092,10934,
res_b_019,AB,,,,10073,1149,11222,
res_b_020,BD,,,,9842,1092,10934,
