qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,197799,35875,233674,
fc_b_001,5.55%,5.36%,7.68%,7.35%,5832,2389,8221,
fc_b_002,,,,,957,47,1004,
fc_b_003,,,,,957,47,1004,
fc_b_004,,,,,957,47,1004,
fc_b_005,,,,,957,47,1004,
fc_b_006,B,,,,6834,1415,8249,
fc_b_007,,,,,957,47,1004,
fc_b_008,,,,,957,47,1004,
fc_b_009,,,,,957,47,1004,
fc_b_010,,,,,956,47,1003,
fc_b_011,,,,,956,47,1003,
fc_b_012,,,,,956,47,1003,
fc_b_013,A,,,,5991,240,6231,
fc_b_014,,,,,956,47,1003,
fc_b_015,,,,,956,47,1003,
fc_b_016,,,,,956,47,1003,
fc_b_017,,,,,956,47,1003,
fc_b_018,,,,,956,47,1003,
fc_b_019,,,,,956,47,1003,
fc_b_020,,,,,956,47,1003,
fin_b_001,ACD,,,,8596,2382,10978,
fin_b_002,,,,,956,47,1003,
fin_b_003,,,,,956,47,1003,
fin_b_004,,,,,956,47,1003,
fin_b_005,,,,,956,47,1003,
fin_b_006,,,,,956,47,1003,
fin_b_007,,,,,956,47,1003,
fin_b_008,,,,,956,47,1003,
fin_b_009,,,,,956,47,1003,
fin_b_010,,,,,956,47,1003,
fin_b_011,,,,,956,47,1003,
fin_b_012,AB,,,,13075,2123,15198,
fin_b_013,,,,,956,47,1003,
fin_b_014,,,,,956,47,1003,
fin_b_015,,,,,956,47,1003,
fin_b_016,,,,,956,47,1003,
fin_b_017,1049321.98,0.08,,,5936,2631,8567,
fin_b_018,,,,,956,47,1003,
fin_b_019,,,,,956,47,1003,
fin_b_020,,,,,956,47,1003,
ins_b_001,,,,,956,47,1003,
ins_b_002,,,,,956,47,1003,
ins_b_003,366.00,,,,8143,2606,10749,
ins_b_004,,,,,956,46,1002,
ins_b_005,,,,,956,46,1002,
ins_b_006,,,,,956,46,1002,
ins_b_007,,,,,956,46,1002,
ins_b_008,,,,,956,46,1002,
ins_b_009,,,,,956,46,1002,
ins_b_010,AB,,,,11112,1964,13076,
ins_b_011,,,,,956,46,1002,
ins_b_012,,,,,956,46,1002,
ins_b_013,,,,,956,46,1002,
ins_b_014,,,,,956,46,1002,
ins_b_015,,,,,956,46,1002,
ins_b_016,ABD,,,,10743,1949,12692,
ins_b_017,,,,,956,46,1002,
ins_b_018,,,,,956,46,1002,
ins_b_019,,,,,956,46,1002,
ins_b_020,,,,,956,46,1002,
reg_b_001,ACD,,,,6446,475,6921,
reg_b_003,2026年3月30日,,,,5426,2396,7822,
reg_b_004,,,,,956,46,1002,
reg_b_005,,,,,956,46,1002,
reg_b_007,,,,,956,46,1002,
reg_b_008,,,,,956,46,1002,
reg_b_009,,,,,956,46,1002,
reg_b_013,,,,,956,46,1002,
reg_b_014,99.25,,,,5662,2359,8021,
reg_b_015,,,,,956,46,1002,
reg_b_016,,,,,956,46,1002,
reg_b_017,,,,,956,46,1002,
reg_b_018,,,,,956,46,1002,
reg_b_020,,,,,956,46,1002,
reg_b_021,,,,,956,46,1002,
reg_b_023,,,,,956,46,1002,
reg_b_024,,,,,956,46,1002,
reg_b_025,,,,,956,46,1002,
reg_b_026,,,,,956,46,1002,
reg_b_027,,,,,956,46,1002,
res_b_001,,,,,956,46,1002,
res_b_002,,,,,956,46,1002,
res_b_003,,,,,956,46,1002,
res_b_004,,,,,956,46,1002,
res_b_005,22.19%,,,,6739,2556,9295,
res_b_006,,,,,956,46,1002,
res_b_007,,,,,956,46,1002,
res_b_008,C,,,,9874,3763,13637,
res_b_009,,,,,956,46,1002,
res_b_010,,,,,956,46,1002,
res_b_011,,,,,956,46,1002,
res_b_012,67.10,,,,6123,2681,8804,
res_b_013,,,,,956,46,1002,
res_b_014,,,,,956,46,1002,
res_b_015,,,,,956,46,1002,
res_b_016,,,,,956,46,1002,
res_b_017,,,,,956,46,1002,
res_b_018,,,,,956,46,1002,
res_b_019,,,,,956,46,1002,
res_b_020,,,,,956,46,1002,
