qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,879647,172197,1051844,
fc_b_001,5.55%,5.36%,7.68%,7.35%,6042,2399,8441,
fc_b_002,ACD,,,,6398,681,7079,
fc_b_003,ACD,,,,7444,506,7950,
fc_b_004,ABC,,,,7047,522,7569,
fc_b_005,1468.47%,740.58%,,,5542,2607,8149,
fc_b_006,B,,,,6378,1125,7503,
fc_b_007,BC,,,,6378,1125,7503,
fc_b_008,ABC,,,,6378,1125,7503,
fc_b_009,ABD,,,,7705,527,8232,
fc_b_010,BCD,,,,6996,568,7564,
fc_b_011,ABC,,,,7064,479,7543,
fc_b_012,BCD,,,,6858,386,7244,
fc_b_013,A,,,,6253,328,6581,
fc_b_014,14.41,,,,6206,2553,8759,
fc_b_015,CD,,,,6996,568,7564,
fc_b_016,C,,,,6253,328,6581,
fc_b_017,BC,,,,7156,428,7584,
fc_b_018,ABD,,,,7052,441,7493,
fc_b_019,ABCD,,,,7156,428,7584,
fc_b_020,2.30,,,,5596,2333,7929,
fin_b_001,ACD,,,,8820,2247,11067,
fin_b_002,BCD,,,,11091,2681,13772,
fin_b_003,ABCD,,,,10271,2020,12291,
fin_b_004,ABCD,,,,36961,11615,48576,
fin_b_005,AC,,,,14598,2357,16955,
fin_b_006,BC,,,,6330,2118,8448,
fin_b_007,ABD,,,,11217,2298,13515,
fin_b_008,AC,,,,17835,2452,20287,
fin_b_009,BCD,,,,10271,2020,12291,
fin_b_010,A,,,,10467,2512,12979,
fin_b_011,ABC,,,,17276,2375,19651,
fin_b_012,AB,,,,13299,2204,15503,
fin_b_013,40.05,10.10,,,7305,2864,10169,
fin_b_014,1.12,9.82,8.69,,21530,6263,27793,
fin_b_015,宁德时代>美的集团,25.11,,,9233,3118,12351,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,12592,2752,15344,
fin_b_017,1049322.00,0.08,,,6159,2544,8703,
fin_b_018,2.58,7.65,,,8379,2431,10810,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,8322,3079,11401,
fin_b_020,112.32,112.31,0.01,,7749,2706,10455,
ins_b_001,333.20,,,,8155,2692,10847,
ins_b_002,BC,,,,8197,1755,9952,
ins_b_003,366.00,,,,8609,2874,11483,
ins_b_004,BCD,,,,8197,1755,9952,
ins_b_005,BD,,,,11854,2124,13978,
ins_b_006,BCD,,,,15207,2023,17230,
ins_b_007,BC,,,,10550,2068,12618,
ins_b_008,ABCD,,,,9946,2079,12025,
ins_b_009,BCD,,,,12030,2059,14089,
ins_b_010,AB,,,,11534,2121,13655,
ins_b_011,16.00,,,,6494,2417,8911,
ins_b_012,BCD,,,,13002,1706,14708,
ins_b_013,BD,,,,15837,1969,17806,
ins_b_014,ACD,,,,7595,2047,9642,
ins_b_015,AC,,,,11204,1848,13052,
ins_b_016,ABD,,,,11191,2038,13229,
ins_b_017,ABCD,,,,12085,2006,14091,
ins_b_018,60.00,,,,6709,2475,9184,
ins_b_019,211.50,,,,8142,2529,10671,
ins_b_020,ACD,,,,12000,2066,14066,
reg_b_001,ACD,,,,6475,542,7017,
reg_b_003,2026年3月30日,,,,5455,2419,7874,
reg_b_004,2026年6月30日,,,,4920,2490,7410,
reg_b_005,CD,,,,6876,2741,9617,
reg_b_007,30.00,,,,5408,2370,7778,
reg_b_008,BC,,,,6761,560,7321,
reg_b_009,BC,,,,4664,515,5179,
reg_b_013,B,,,,4802,393,5195,
reg_b_014,99.25,,,,5691,2409,8100,
reg_b_015,AC,,,,5592,639,6231,
reg_b_016,2.00,,,,5041,2415,7456,
reg_b_017,AC,,,,4742,528,5270,
reg_b_018,2026年4月1日,,,,5258,2576,7834,
reg_b_020,B,,,,4880,405,5285,
reg_b_021,B,,,,6277,486,6763,
reg_b_023,AB,,,,4742,527,5269,
reg_b_024,B,,,,7497,683,8180,
reg_b_025,AC,,,,6097,557,6654,
reg_b_026,B,,,,6145,761,6906,
reg_b_027,BD,,,,6354,719,7073,
res_b_001,AB,,,,8338,611,8949,
res_b_002,AC,,,,10880,820,11700,
res_b_003,AB,,,,8277,700,8977,
res_b_004,BCD,,,,9110,944,10054,
res_b_005,22.19%,,,,6698,2837,9535,
res_b_006,AB,,,,9110,944,10054,
res_b_007,61.98,,,,6113,2514,8627,
res_b_008,C,,,,9652,705,10357,
res_b_009,AB,,,,8074,1309,9383,
res_b_010,AC,,,,8824,618,9442,
res_b_011,BC,,,,9289,1396,10685,
res_b_012,67.10,,,,6082,2758,8840,
res_b_013,AB,,,,8338,611,8949,
res_b_014,CD,,,,9107,694,9801,
res_b_015,B,,,,8502,1690,10192,
res_b_016,BD,,,,11563,749,12312,
res_b_017,AC,,,,8824,618,9442,
res_b_018,CD,,,,8928,811,9739,
res_b_019,AB,,,,8338,611,8949,
res_b_020,BD,,,,10782,758,11540,
