qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,477200,108174,585374,
fc_b_001,,,,,1001,109,1110,
fc_b_002,,,,,1001,109,1110,
fc_b_003,,,,,1001,109,1110,
fc_b_004,,,,,1001,109,1110,
fc_b_005,,,,,1001,109,1110,
fc_b_006,,,,,1001,109,1110,
fc_b_007,,,,,1001,109,1110,
fc_b_008,,,,,1001,109,1110,
fc_b_009,,,,,1001,109,1110,
fc_b_010,,,,,1001,109,1110,
fc_b_011,,,,,1001,109,1110,
fc_b_012,,,,,1001,109,1110,
fc_b_013,,,,,1001,109,1110,
fc_b_014,,,,,1001,109,1110,
fc_b_015,,,,,1001,109,1110,
fc_b_016,,,,,1001,109,1110,
fc_b_017,,,,,1001,109,1110,
fc_b_018,,,,,1001,109,1110,
fc_b_019,,,,,1001,109,1110,
fc_b_020,,,,,1001,109,1110,
fin_b_001,,,,,1001,109,1110,
fin_b_002,,,,,1001,109,1110,
fin_b_003,,,,,1001,109,1110,
fin_b_004,,,,,1001,109,1110,
fin_b_005,,,,,1001,109,1110,
fin_b_006,,,,,1001,109,1110,
fin_b_007,,,,,1001,109,1110,
fin_b_008,,,,,1001,109,1110,
fin_b_009,,,,,1001,109,1110,
fin_b_010,,,,,1001,109,1110,
fin_b_011,,,,,1001,109,1110,
fin_b_012,,,,,1001,109,1110,
fin_b_013,,,,,1001,109,1110,
fin_b_014,,,,,1001,109,1110,
fin_b_015,,,,,1001,109,1110,
fin_b_016,,,,,1001,109,1110,
fin_b_017,,,,,1001,109,1110,
fin_b_018,,,,,1001,109,1110,
fin_b_019,,,,,1001,109,1110,
fin_b_020,,,,,1001,109,1110,
ins_b_001,333.20,,,,15325,7156,22481,
ins_b_002,BC,,,,17549,4989,22538,
ins_b_003,366.00,,,,16258,7618,23876,
ins_b_004,BCD,,,,22644,4628,27272,
ins_b_005,BD,,,,21125,4144,25269,
ins_b_006,BCD,,,,27010,4428,31438,
ins_b_007,BC,,,,21066,4879,25945,
ins_b_008,ABCD,,,,19869,5153,25022,
ins_b_009,BCD,,,,22362,4538,26900,
ins_b_010,AB,,,,20454,4648,25102,
ins_b_011,16.00,,,,12039,6002,18041,
ins_b_012,BCD,,,,25373,4522,29895,
ins_b_013,BD,,,,25496,3899,29395,
ins_b_014,ACD,,,,14064,3595,17659,
ins_b_015,AC,,,,20861,3767,24628,
ins_b_016,ABD,,,,21068,4281,25349,
ins_b_017,ABCD,,,,25352,4456,29808,
ins_b_018,60.00,,,,12454,5401,17855,
ins_b_019,211.50,,,,15286,6392,21678,
ins_b_020,ACD,,,,21480,4974,26454,
reg_b_001,,,,,1001,109,1110,
reg_b_003,,,,,1001,109,1110,
reg_b_004,,,,,1001,109,1110,
reg_b_005,,,,,1001,109,1110,
reg_b_007,,,,,1001,109,1110,
reg_b_008,,,,,1001,109,1110,
reg_b_009,,,,,1001,109,1110,
reg_b_013,,,,,1001,109,1110,
reg_b_014,,,,,1001,109,1110,
reg_b_015,,,,,1001,109,1110,
reg_b_016,,,,,1001,109,1110,
reg_b_017,,,,,1001,109,1110,
reg_b_018,,,,,1001,109,1110,
reg_b_020,,,,,1001,109,1110,
reg_b_021,,,,,1001,109,1110,
reg_b_023,,,,,1001,109,1110,
reg_b_024,,,,,1001,109,1110,
reg_b_025,,,,,1001,109,1110,
reg_b_026,,,,,1001,109,1110,
reg_b_027,,,,,1001,109,1110,
res_b_001,,,,,1001,109,1110,
res_b_002,,,,,1001,109,1110,
res_b_003,,,,,1001,109,1110,
res_b_004,,,,,1001,109,1110,
res_b_005,,,,,1001,108,1109,
res_b_006,,,,,1000,108,1108,
res_b_007,,,,,1000,108,1108,
res_b_008,,,,,1000,108,1108,
res_b_009,,,,,1000,108,1108,
res_b_010,,,,,1000,108,1108,
res_b_011,,,,,1000,108,1108,
res_b_012,,,,,1000,108,1108,
res_b_013,,,,,1000,108,1108,
res_b_014,,,,,1000,108,1108,
res_b_015,,,,,1000,108,1108,
res_b_016,,,,,1000,108,1108,
res_b_017,,,,,1000,108,1108,
res_b_018,,,,,1000,108,1108,
res_b_019,,,,,1000,108,1108,
res_b_020,,,,,1000,108,1108,
