qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,432525,112671,545196,
fc_b_001,,,,,0,0,0,
fc_b_002,,,,,0,0,0,
fc_b_003,,,,,0,0,0,
fc_b_004,,,,,0,0,0,
fc_b_005,,,,,0,0,0,
fc_b_006,,,,,0,0,0,
fc_b_007,,,,,0,0,0,
fc_b_008,,,,,0,0,0,
fc_b_009,,,,,0,0,0,
fc_b_010,,,,,0,0,0,
fc_b_011,,,,,0,0,0,
fc_b_012,,,,,0,0,0,
fc_b_013,,,,,0,0,0,
fc_b_014,,,,,0,0,0,
fc_b_015,,,,,0,0,0,
fc_b_016,,,,,0,0,0,
fc_b_017,,,,,0,0,0,
fc_b_018,,,,,0,0,0,
fc_b_019,,,,,0,0,0,
fc_b_020,,,,,0,0,0,
fin_b_001,,,,,0,0,0,
fin_b_002,,,,,0,0,0,
fin_b_003,,,,,0,0,0,
fin_b_004,,,,,0,0,0,
fin_b_005,,,,,0,0,0,
fin_b_006,,,,,0,0,0,
fin_b_007,,,,,0,0,0,
fin_b_008,,,,,0,0,0,
fin_b_009,,,,,0,0,0,
fin_b_010,,,,,0,0,0,
fin_b_011,,,,,0,0,0,
fin_b_012,,,,,0,0,0,
fin_b_013,,,,,0,0,0,
fin_b_014,,,,,0,0,0,
fin_b_015,,,,,0,0,0,
fin_b_016,,,,,0,0,0,
fin_b_017,,,,,0,0,0,
fin_b_018,,,,,0,0,0,
fin_b_019,,,,,0,0,0,
fin_b_020,,,,,0,0,0,
ins_b_001,333.20,,,,14324,6767,21091,
ins_b_002,BC,,,,18741,5124,23865,
ins_b_003,366.00,,,,15257,7204,22461,
ins_b_004,BCD,,,,22253,5478,27731,
ins_b_005,BD,,,,22125,5089,27214,
ins_b_006,BCD,,,,29304,4985,34289,
ins_b_007,BC,,,,22070,4755,26825,
ins_b_008,ACD,,,,33154,11126,44280,
ins_b_009,BCD,,,,23200,5002,28202,
ins_b_010,AB,,,,34317,10464,44781,
ins_b_011,16.00,,,,11038,5707,16745,
ins_b_012,BCD,,,,24906,4190,29096,
ins_b_013,BD,,,,29549,3899,33448,
ins_b_014,ACD,,,,14533,3758,18291,
ins_b_015,AC,,,,21928,3936,25864,
ins_b_016,ABD,,,,21156,4077,25233,
ins_b_017,ABCD,,,,25012,4757,29769,
ins_b_018,60.00,,,,11453,5741,17194,
ins_b_019,211.50,,,,14285,5428,19713,
ins_b_020,ACD,,,,23920,5184,29104,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
