qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,388686,110380,499066,
fc_b_001,,,,,1001,112,1113,
fc_b_002,,,,,1001,112,1113,
fc_b_003,,,,,1001,112,1113,
fc_b_004,,,,,1001,112,1113,
fc_b_005,,,,,1001,112,1113,
fc_b_006,,,,,1001,112,1113,
fc_b_007,,,,,1001,112,1113,
fc_b_008,,,,,1001,112,1113,
fc_b_009,,,,,1001,112,1113,
fc_b_010,,,,,1001,112,1113,
fc_b_011,,,,,1001,112,1113,
fc_b_012,,,,,1001,112,1113,
fc_b_013,,,,,1001,112,1113,
fc_b_014,,,,,1001,112,1113,
fc_b_015,,,,,1001,112,1113,
fc_b_016,,,,,1001,112,1113,
fc_b_017,,,,,1001,112,1113,
fc_b_018,,,,,1001,112,1113,
fc_b_019,,,,,1001,112,1113,
fc_b_020,,,,,1001,112,1113,
fin_b_001,,,,,1001,112,1113,
fin_b_002,,,,,1001,112,1113,
fin_b_003,,,,,1001,112,1113,
fin_b_004,,,,,1001,112,1113,
fin_b_005,,,,,1001,112,1113,
fin_b_006,,,,,1001,112,1113,
fin_b_007,,,,,1001,112,1113,
fin_b_008,,,,,1001,112,1113,
fin_b_009,,,,,1001,112,1113,
fin_b_010,,,,,1001,112,1113,
fin_b_011,,,,,1001,112,1113,
fin_b_012,,,,,1001,112,1113,
fin_b_013,,,,,1001,112,1113,
fin_b_014,,,,,1001,112,1113,
fin_b_015,,,,,1001,112,1113,
fin_b_016,,,,,1001,112,1113,
fin_b_017,,,,,1001,112,1113,
fin_b_018,,,,,1001,112,1113,
fin_b_019,,,,,1001,112,1113,
fin_b_020,,,,,1001,112,1113,
ins_b_001,333.20,,,,8994,3229,12223,
ins_b_002,BC,,,,16882,5278,22160,
ins_b_003,366.00,,,,7508,3700,11208,
ins_b_004,BCD,,,,18505,4504,23009,
ins_b_005,D,,,,16650,4553,21203,
ins_b_006,BCD,,,,21047,4394,25441,
ins_b_007,BC,,,,18383,5025,23408,
ins_b_008,ACD,,,,18398,10791,29189,
ins_b_009,D,,,,22049,10467,32516,
ins_b_010,A,,,,15185,4259,19444,
ins_b_011,16.00,,,,6100,2596,8696,
ins_b_012,BCD,,,,21637,4334,25971,
ins_b_013,BD,,,,17902,4381,22283,
ins_b_014,ACD,,,,12546,3800,16346,
ins_b_015,A,,,,21208,10085,31293,
ins_b_016,ABD,,,,16805,4572,21377,
ins_b_017,ABCD,,,,17819,4564,22383,
ins_b_018,60.00,,,,6172,2722,8894,
ins_b_019,211.50,,,,8968,2935,11903,
ins_b_020,ACD,,,,15863,5264,21127,
reg_b_001,,,,,1001,112,1113,
reg_b_003,,,,,1001,112,1113,
reg_b_004,,,,,1001,112,1113,
reg_b_005,,,,,1001,112,1113,
reg_b_007,,,,,1001,112,1113,
reg_b_008,,,,,1001,112,1113,
reg_b_009,,,,,1001,112,1113,
reg_b_013,,,,,1001,111,1112,
reg_b_014,,,,,1001,111,1112,
reg_b_015,,,,,1001,111,1112,
reg_b_016,,,,,1001,111,1112,
reg_b_017,,,,,1001,111,1112,
reg_b_018,,,,,1001,111,1112,
reg_b_020,,,,,1001,111,1112,
reg_b_021,,,,,1001,111,1112,
reg_b_023,,,,,1001,111,1112,
reg_b_024,,,,,1001,111,1112,
reg_b_025,,,,,1001,111,1112,
reg_b_026,,,,,1001,111,1112,
reg_b_027,,,,,1001,111,1112,
res_b_001,,,,,1001,111,1112,
res_b_002,,,,,1001,111,1112,
res_b_003,,,,,1001,111,1112,
res_b_004,,,,,1001,111,1112,
res_b_005,,,,,1001,111,1112,
res_b_006,,,,,1000,111,1111,
res_b_007,,,,,1000,111,1111,
res_b_008,,,,,1000,111,1111,
res_b_009,,,,,1000,111,1111,
res_b_010,,,,,1000,111,1111,
res_b_011,,,,,1000,111,1111,
res_b_012,,,,,1000,111,1111,
res_b_013,,,,,1000,111,1111,
res_b_014,,,,,1000,111,1111,
res_b_015,,,,,1000,111,1111,
res_b_016,,,,,1000,111,1111,
res_b_017,,,,,1000,111,1111,
res_b_018,,,,,1000,111,1111,
res_b_019,,,,,1000,111,1111,
res_b_020,,,,,1000,111,1111,
