qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,166347,52570,218917,
fc_b_001,,,,,0,0,0,
fc_b_002,,,,,0,0,0,
fc_b_003,,,,,0,0,0,
fc_b_004,,,,,0,0,0,
fc_b_005,,,,,0,0,0,
fc_b_006,,,,,0,0,0,
fc_b_007,,,,,0,0,0,
fc_b_008,,,,,0,0,0,
fc_b_009,,,,,0,0,0,
fc_b_010,,,,,0,0,0,
fc_b_011,,,,,0,0,0,
fc_b_012,,,,,0,0,0,
fc_b_013,,,,,0,0,0,
fc_b_014,,,,,0,0,0,
fc_b_015,,,,,0,0,0,
fc_b_016,,,,,0,0,0,
fc_b_017,,,,,0,0,0,
fc_b_018,,,,,0,0,0,
fc_b_019,,,,,0,0,0,
fc_b_020,,,,,0,0,0,
fin_b_001,,,,,0,0,0,
fin_b_002,,,,,0,0,0,
fin_b_003,,,,,0,0,0,
fin_b_004,,,,,0,0,0,
fin_b_005,,,,,0,0,0,
fin_b_006,,,,,0,0,0,
fin_b_007,,,,,0,0,0,
fin_b_008,,,,,0,0,0,
fin_b_009,,,,,0,0,0,
fin_b_010,,,,,0,0,0,
fin_b_011,,,,,0,0,0,
fin_b_012,,,,,0,0,0,
fin_b_013,,,,,0,0,0,
fin_b_014,,,,,0,0,0,
fin_b_015,,,,,0,0,0,
fin_b_016,,,,,0,0,0,
fin_b_017,,,,,0,0,0,
fin_b_018,,,,,0,0,0,
fin_b_019,,,,,0,0,0,
fin_b_020,,,,,0,0,0,
ins_b_001,333.20,,,,7993,3589,11582,
ins_b_002,BC,,,,8772,2529,11301,
ins_b_003,366.00,,,,6507,3273,9780,
ins_b_004,CD,,,,9843,2560,12403,
ins_b_005,D,,,,8607,2325,10932,
ins_b_006,BCD,,,,10800,2653,13453,
ins_b_007,BC,,,,9475,2445,11920,
ins_b_008,ACD,,,,7378,2539,9917,
ins_b_009,D,,,,8831,2611,11442,
ins_b_010,A,,,,8186,2602,10788,
ins_b_011,16.00,,,,5099,2856,7955,
ins_b_012,BCD,,,,11094,2322,13416,
ins_b_013,BD,,,,9226,2494,11720,
ins_b_014,ACD,,,,6563,1887,8450,
ins_b_015,AB,,,,8733,2423,11156,
ins_b_016,ABD,,,,8686,2342,11028,
ins_b_017,ABCD,,,,9186,2498,11684,
ins_b_018,60.00,,,,5171,2132,7303,
ins_b_019,211.50,,,,7967,3205,11172,
ins_b_020,AC,,,,8230,3285,11515,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
