qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,248239,119816,368055,
fc_b_001,,,,,0,0,0,
fc_b_002,,,,,0,0,0,
fc_b_003,,,,,0,0,0,
fc_b_004,,,,,0,0,0,
fc_b_005,,,,,0,0,0,
fc_b_006,,,,,0,0,0,
fc_b_007,,,,,0,0,0,
fc_b_008,,,,,0,0,0,
fc_b_009,,,,,0,0,0,
fc_b_010,,,,,0,0,0,
fc_b_011,,,,,0,0,0,
fc_b_012,,,,,0,0,0,
fc_b_013,,,,,0,0,0,
fc_b_014,,,,,0,0,0,
fc_b_015,,,,,0,0,0,
fc_b_016,,,,,0,0,0,
fc_b_017,,,,,0,0,0,
fc_b_018,,,,,0,0,0,
fc_b_019,,,,,0,0,0,
fc_b_020,,,,,0,0,0,
fin_b_001,,,,,0,0,0,
fin_b_002,,,,,0,0,0,
fin_b_003,,,,,0,0,0,
fin_b_004,,,,,0,0,0,
fin_b_005,,,,,0,0,0,
fin_b_006,,,,,0,0,0,
fin_b_007,,,,,0,0,0,
fin_b_008,,,,,0,0,0,
fin_b_009,,,,,0,0,0,
fin_b_010,,,,,0,0,0,
fin_b_011,,,,,0,0,0,
fin_b_012,,,,,0,0,0,
fin_b_013,,,,,0,0,0,
fin_b_014,,,,,0,0,0,
fin_b_015,,,,,0,0,0,
fin_b_016,,,,,0,0,0,
fin_b_017,,,,,0,0,0,
fin_b_018,,,,,0,0,0,
fin_b_019,,,,,0,0,0,
fin_b_020,,,,,0,0,0,
ins_b_001,333.20,,,,8712,6943,15655,
ins_b_002,BC,,,,16761,10099,26860,
ins_b_003,412.00,,,,9645,10106,19751,
ins_b_004,D,,,,18542,9918,28460,
ins_b_005,BD,,,,12178,4418,16596,
ins_b_006,BCD,,,,15010,4223,19233,
ins_b_007,BC,,,,13270,4186,17456,
ins_b_008,ABCD,,,,11732,4521,16253,
ins_b_009,BCD,,,,12674,4476,17150,
ins_b_010,AB,,,,10900,4255,15155,
ins_b_011,16.00,,,,8462,4160,12622,
ins_b_012,BD,,,,13195,6887,20082,
ins_b_013,BD,,,,14250,4393,18643,
ins_b_014,ACD,,,,9131,4049,13180,
ins_b_015,AC,,,,11205,4302,15507,
ins_b_016,A,,,,15836,7864,23700,
ins_b_017,ABCD,,,,13139,4670,17809,
ins_b_018,60.00,,,,8877,5773,14650,
ins_b_019,211.50,,,,8673,6395,15068,
ins_b_020,C,,,,16047,8178,24225,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
