qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,561160,109943,671103,
fc_b_001,,,,,1516,107,1623,
fc_b_002,,,,,1516,107,1623,
fc_b_003,,,,,1516,107,1623,
fc_b_004,,,,,1516,107,1623,
fc_b_005,,,,,1516,107,1623,
fc_b_006,,,,,1516,107,1623,
fc_b_007,,,,,1516,107,1623,
fc_b_008,,,,,1516,107,1623,
fc_b_009,,,,,1516,107,1623,
fc_b_010,,,,,1516,107,1623,
fc_b_011,,,,,1516,107,1623,
fc_b_012,,,,,1516,107,1623,
fc_b_013,,,,,1516,107,1623,
fc_b_014,,,,,1516,107,1623,
fc_b_015,,,,,1515,107,1622,
fc_b_016,,,,,1515,107,1622,
fc_b_017,,,,,1515,107,1622,
fc_b_018,,,,,1515,107,1622,
fc_b_019,,,,,1515,107,1622,
fc_b_020,,,,,1515,107,1622,
fin_b_001,,,,,1515,107,1622,
fin_b_002,,,,,1515,107,1622,
fin_b_003,,,,,1515,107,1622,
fin_b_004,,,,,1515,107,1622,
fin_b_005,,,,,1515,107,1622,
fin_b_006,,,,,1515,107,1622,
fin_b_007,,,,,1515,107,1622,
fin_b_008,,,,,1515,107,1622,
fin_b_009,,,,,1515,107,1622,
fin_b_010,,,,,1515,107,1622,
fin_b_011,,,,,1515,107,1622,
fin_b_012,,,,,1515,107,1622,
fin_b_013,,,,,1515,107,1622,
fin_b_014,,,,,1515,107,1622,
fin_b_015,,,,,1515,107,1622,
fin_b_016,,,,,1515,107,1622,
fin_b_017,,,,,1515,107,1622,
fin_b_018,,,,,1515,107,1622,
fin_b_019,,,,,1515,107,1622,
fin_b_020,,,,,1515,107,1622,
ins_b_001,333.20,,,,15649,6475,22124,
ins_b_002,BC,,,,20142,5047,25189,
ins_b_003,366.00,,,,16582,7121,23703,
ins_b_004,BCD,,,,23464,4594,28058,
ins_b_005,BD,,,,24518,4428,28946,
ins_b_006,BCD,,,,30357,4329,34686,
ins_b_007,BC,,,,23045,4483,27528,
ins_b_008,ABCD,,,,22337,4285,26622,
ins_b_009,BCD,,,,24589,4444,29033,
ins_b_010,A,,,,27767,8583,36350,
ins_b_011,16.00,,,,12719,5638,18357,
ins_b_012,BCD,,,,26493,4282,30775,
ins_b_013,BD,,,,31410,4162,35572,
ins_b_014,ACD,,,,15654,4142,19796,
ins_b_015,AC,,,,23165,3693,26858,
ins_b_016,ABD,,,,22565,4146,26711,
ins_b_017,ABCD,,,,26421,4672,31093,
ins_b_018,60.00,,,,13134,5964,19098,
ins_b_019,211.50,,,,15610,6334,21944,
ins_b_020,ACD,,,,24325,4577,28902,
reg_b_001,,,,,1515,107,1622,
reg_b_003,,,,,1515,107,1622,
reg_b_004,,,,,1515,107,1622,
reg_b_005,,,,,1515,107,1622,
reg_b_007,,,,,1515,107,1622,
reg_b_008,,,,,1515,107,1622,
reg_b_009,,,,,1515,107,1622,
reg_b_013,,,,,1515,107,1622,
reg_b_014,,,,,1515,107,1622,
reg_b_015,,,,,1515,107,1622,
reg_b_016,,,,,1515,107,1622,
reg_b_017,,,,,1515,107,1622,
reg_b_018,,,,,1515,107,1622,
reg_b_020,,,,,1515,107,1622,
reg_b_021,,,,,1515,107,1622,
reg_b_023,,,,,1515,107,1622,
reg_b_024,,,,,1515,107,1622,
reg_b_025,,,,,1515,107,1622,
reg_b_026,,,,,1515,107,1622,
reg_b_027,,,,,1515,107,1622,
res_b_001,,,,,1515,107,1622,
res_b_002,,,,,1515,107,1622,
res_b_003,,,,,1515,107,1622,
res_b_004,,,,,1515,107,1622,
res_b_005,,,,,1515,106,1621,
res_b_006,,,,,1515,106,1621,
res_b_007,,,,,1515,106,1621,
res_b_008,,,,,1515,106,1621,
res_b_009,,,,,1515,106,1621,
res_b_010,,,,,1515,106,1621,
res_b_011,,,,,1515,106,1621,
res_b_012,,,,,1515,106,1621,
res_b_013,,,,,1515,106,1621,
res_b_014,,,,,1515,106,1621,
res_b_015,,,,,1515,106,1621,
res_b_016,,,,,1515,106,1621,
res_b_017,,,,,1515,106,1621,
res_b_018,,,,,1515,106,1621,
res_b_019,,,,,1515,106,1621,
res_b_020,,,,,1515,106,1621,
