qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,533648,105486,639134,
fc_b_001,,,,,1516,115,1631,
fc_b_002,,,,,1516,115,1631,
fc_b_003,,,,,1516,115,1631,
fc_b_004,,,,,1516,115,1631,
fc_b_005,,,,,1516,115,1631,
fc_b_006,,,,,1516,115,1631,
fc_b_007,,,,,1516,115,1631,
fc_b_008,,,,,1516,115,1631,
fc_b_009,,,,,1516,115,1631,
fc_b_010,,,,,1516,115,1631,
fc_b_011,,,,,1516,115,1631,
fc_b_012,,,,,1516,115,1631,
fc_b_013,,,,,1516,115,1631,
fc_b_014,,,,,1516,115,1631,
fc_b_015,,,,,1515,115,1630,
fc_b_016,,,,,1515,115,1630,
fc_b_017,,,,,1515,115,1630,
fc_b_018,,,,,1515,115,1630,
fc_b_019,,,,,1515,115,1630,
fc_b_020,,,,,1515,115,1630,
fin_b_001,,,,,1515,115,1630,
fin_b_002,,,,,1515,115,1630,
fin_b_003,,,,,1515,115,1630,
fin_b_004,,,,,1515,115,1630,
fin_b_005,,,,,1515,115,1630,
fin_b_006,,,,,1515,115,1630,
fin_b_007,,,,,1515,115,1630,
fin_b_008,,,,,1515,115,1630,
fin_b_009,,,,,1515,115,1630,
fin_b_010,,,,,1515,115,1630,
fin_b_011,,,,,1515,115,1630,
fin_b_012,,,,,1515,115,1630,
fin_b_013,,,,,1515,115,1630,
fin_b_014,,,,,1515,115,1630,
fin_b_015,,,,,1515,115,1630,
fin_b_016,,,,,1515,115,1630,
fin_b_017,,,,,1515,115,1630,
fin_b_018,,,,,1515,115,1630,
fin_b_019,,,,,1515,115,1630,
fin_b_020,,,,,1515,115,1630,
ins_b_001,333.20,,,,15841,6363,22204,
ins_b_002,BC,,,,16363,5382,21745,
ins_b_003,366.00,,,,16774,7512,24286,
ins_b_004,BCD,,,,23026,4650,27676,
ins_b_005,BD,,,,23018,4662,27680,
ins_b_006,BCD,,,,27926,4085,32011,
ins_b_007,BC,,,,21230,4327,25557,
ins_b_008,ABCD,,,,19624,4633,24257,
ins_b_009,BCD,,,,23580,4694,28274,
ins_b_010,AD,,,,21740,4398,26138,
ins_b_011,16.00,,,,12875,5900,18775,
ins_b_012,BCD,,,,25283,3968,29251,
ins_b_013,BD,,,,29455,3885,33340,
ins_b_014,ACD,,,,14576,3686,18262,
ins_b_015,AC,,,,21377,3895,25272,
ins_b_016,ABD,,,,21340,4084,25424,
ins_b_017,ABCD,,,,26949,4808,31757,
ins_b_018,60.00,,,,13290,4145,17435,
ins_b_019,211.50,,,,15802,6374,22176,
ins_b_020,ACD,,,,22365,4864,27229,
reg_b_001,,,,,1515,115,1630,
reg_b_003,,,,,1515,115,1630,
reg_b_004,,,,,1515,115,1630,
reg_b_005,,,,,1515,115,1630,
reg_b_007,,,,,1515,115,1630,
reg_b_008,,,,,1515,115,1630,
reg_b_009,,,,,1515,115,1630,
reg_b_013,,,,,1515,115,1630,
reg_b_014,,,,,1515,115,1630,
reg_b_015,,,,,1515,115,1630,
reg_b_016,,,,,1515,115,1630,
reg_b_017,,,,,1515,114,1629,
reg_b_018,,,,,1515,114,1629,
reg_b_020,,,,,1515,114,1629,
reg_b_021,,,,,1515,114,1629,
reg_b_023,,,,,1515,114,1629,
reg_b_024,,,,,1515,114,1629,
reg_b_025,,,,,1515,114,1629,
reg_b_026,,,,,1515,114,1629,
reg_b_027,,,,,1515,114,1629,
res_b_001,,,,,1515,114,1629,
res_b_002,,,,,1515,114,1629,
res_b_003,,,,,1515,114,1629,
res_b_004,,,,,1515,114,1629,
res_b_005,,,,,1515,114,1629,
res_b_006,,,,,1515,114,1629,
res_b_007,,,,,1515,114,1629,
res_b_008,,,,,1515,114,1629,
res_b_009,,,,,1515,114,1629,
res_b_010,,,,,1515,114,1629,
res_b_011,,,,,1515,114,1629,
res_b_012,,,,,1515,114,1629,
res_b_013,,,,,1515,114,1629,
res_b_014,,,,,1515,114,1629,
res_b_015,,,,,1515,114,1629,
res_b_016,,,,,1515,114,1629,
res_b_017,,,,,1515,114,1629,
res_b_018,,,,,1515,114,1629,
res_b_019,,,,,1515,114,1629,
res_b_020,,,,,1515,114,1629,
