qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1685602,313056,1998658,
fc_b_001,5.55%,5.36%,7.68%,7.35%,22267,5266,27533,
fc_b_002,ACD,,,,18815,1054,19869,
fc_b_003,ABCD,,,,25388,4427,29815,
fc_b_004,ABC,,,,21235,1117,22352,
fc_b_005,1468.47%,740.58%,,,20453,6834,27287,
fc_b_006,B,,,,23194,1194,24388,
fc_b_007,BC,,,,26759,1568,28327,
fc_b_008,ABC,,,,25838,1578,27416,
fc_b_009,ABD,,,,27029,1099,28128,
fc_b_010,BCD,,,,20156,1058,21214,
fc_b_011,ABC,,,,19686,1174,20860,
fc_b_012,BCD,,,,21431,782,22213,
fc_b_013,A,,,,12208,493,12701,
fc_b_014,14.41,,,,25401,5847,31248,
fc_b_015,CD,,,,21278,1151,22429,
fc_b_016,C,,,,17413,858,18271,
fc_b_017,BC,,,,20487,1012,21499,
fc_b_018,ABD,,,,19438,1005,20443,
fc_b_019,ABCD,,,,23221,928,24149,
fc_b_020,2.30,,,,19870,5319,25189,
fin_b_001,ACD,,,,23527,6762,30289,
fin_b_002,BCD,,,,28944,5234,34178,
fin_b_003,ABCD,,,,32893,6342,39235,
fin_b_004,AD,,,,36650,14178,50828,
fin_b_005,ACD,,,,29631,5079,34710,
fin_b_006,BC,,,,18677,5077,23754,
fin_b_007,ABD,,,,23204,5303,28507,
fin_b_008,AC,,,,32514,5767,38281,
fin_b_009,BCD,,,,29030,5029,34059,
fin_b_010,AD,,,,32549,5656,38205,
fin_b_011,ABC,,,,33333,5160,38493,
fin_b_012,A,,,,25982,7025,33007,
fin_b_013,40.05,10.10,,,30032,7400,37432,
fin_b_014,1.12,9.82,8.70,,43491,11695,55186,
fin_b_015,宁德时代>美的集团,19.75,,,28945,6295,35240,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,33452,7384,40836,
fin_b_017,1049321.98,0.08,,,23306,6739,30045,
fin_b_018,2.58,7.65,,,23440,6315,29755,
fin_b_019,比亚迪>宁德时代>美的集团,1.01,,,48688,11340,60028,
fin_b_020,112.32,112.31,0.01,,49241,13367,62608,
ins_b_001,333.20,,,,27373,6536,33909,
ins_b_002,BC,,,,19941,5350,25291,
ins_b_003,366.00,,,,29056,7317,36373,
ins_b_004,CD,,,,30023,8042,38065,
ins_b_005,BD,,,,25380,4752,30132,
ins_b_006,BCD,,,,29557,3842,33399,
ins_b_007,BC,,,,22629,4737,27366,
ins_b_008,ABCD,,,,20747,4577,25324,
ins_b_009,BCD,,,,25161,4773,29934,
ins_b_010,AD,,,,26661,8431,35092,
ins_b_011,16.00,,,,21186,6069,27255,
ins_b_012,BCD,,,,26684,4622,31306,
ins_b_013,BD,,,,30942,4723,35665,
ins_b_014,ACD,,,,16261,4453,20714,
ins_b_015,AC,,,,23468,4138,27606,
ins_b_016,ABD,,,,23481,4596,28077,
ins_b_017,ABCD,,,,27447,4587,32034,
ins_b_018,60.00,,,,21287,5221,26508,
ins_b_019,211.50,,,,27463,6680,34143,
ins_b_020,ACD,,,,22959,5059,28018,
reg_b_001,,,,,3220,341,3561,
reg_b_003,,,,,3220,341,3561,
reg_b_004,,,,,3220,341,3561,
reg_b_005,,,,,3220,341,3561,
reg_b_007,,,,,3220,341,3561,
reg_b_008,,,,,3220,341,3561,
reg_b_009,,,,,3220,341,3561,
reg_b_013,,,,,3220,341,3561,
reg_b_014,,,,,3220,341,3561,
reg_b_015,,,,,3220,341,3561,
reg_b_016,,,,,3220,341,3561,
reg_b_017,,,,,3220,341,3561,
reg_b_018,,,,,3220,341,3561,
reg_b_020,,,,,3220,341,3561,
reg_b_021,,,,,3220,341,3561,
reg_b_023,,,,,3220,341,3561,
reg_b_024,,,,,3220,341,3561,
reg_b_025,,,,,3220,341,3561,
reg_b_026,,,,,3220,341,3561,
reg_b_027,,,,,3220,341,3561,
res_b_001,,,,,3220,341,3561,
res_b_002,,,,,3220,341,3561,
res_b_003,,,,,3220,341,3561,
res_b_004,,,,,3220,341,3561,
res_b_005,,,,,3220,341,3561,
res_b_006,,,,,3220,341,3561,
res_b_007,,,,,3220,341,3561,
res_b_008,,,,,3220,341,3561,
res_b_009,,,,,3220,341,3561,
res_b_010,,,,,3220,341,3561,
res_b_011,,,,,3220,341,3561,
res_b_012,,,,,3220,341,3561,
res_b_013,,,,,3220,341,3561,
res_b_014,,,,,3220,341,3561,
res_b_015,,,,,3220,341,3561,
res_b_016,,,,,3220,341,3561,
res_b_017,,,,,3220,341,3561,
res_b_018,,,,,3220,341,3561,
res_b_019,,,,,3220,341,3561,
res_b_020,,,,,3220,341,3561,
