qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,186779,48550,235329,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2387,1473,3860,
fc_b_002,ACD,,,,3968,364,4332,
fc_b_003,ABCD,,,,5729,558,6287,
fc_b_004,ABC,,,,3968,364,4332,
fc_b_005,1468.47%,740.58%,,,6108,3621,9729,
fc_b_006,B,,,,5729,558,6287,
fc_b_007,BC,,,,3622,727,4349,
fc_b_008,ABC,,,,3622,727,4349,
fc_b_009,ABD,,,,3622,727,4349,
fc_b_010,BCD,,,,3881,1096,4977,
fc_b_011,ABC,,,,5729,558,6287,
fc_b_012,BCD,,,,4241,267,4508,
fc_b_013,A,,,,3124,1301,4425,
fc_b_014,14.41,,,,2680,1309,3989,
fc_b_015,CD,,,,3881,1096,4977,
fc_b_016,B,,,,3124,1301,4425,
fc_b_017,C,,,,3881,1096,4977,
fc_b_018,ABD,,,,3968,364,4332,
fc_b_019,ABCD,,,,3124,1301,4425,
fc_b_020,2.30,,,,2250,1387,3637,
fin_b_001,,,,,1,1,2,
fin_b_002,,,,,1,1,2,
fin_b_003,,,,,1,1,2,
fin_b_004,,,,,1,1,2,
fin_b_005,,,,,1,1,2,
fin_b_006,,,,,1,1,2,
fin_b_007,,,,,1,1,2,
fin_b_008,,,,,1,1,2,
fin_b_009,,,,,1,1,2,
fin_b_010,,,,,1,1,2,
fin_b_011,,,,,1,1,2,
fin_b_012,,,,,1,1,2,
fin_b_013,,,,,1,1,2,
fin_b_014,,,,,1,1,2,
fin_b_015,,,,,1,1,2,
fin_b_016,,,,,1,1,2,
fin_b_017,,,,,1,1,2,
fin_b_018,,,,,1,1,2,
fin_b_019,,,,,1,1,2,
fin_b_020,,,,,1,1,2,
ins_b_001,,,,,1,1,2,
ins_b_002,,,,,1,1,2,
ins_b_003,,,,,1,1,2,
ins_b_004,,,,,1,1,2,
ins_b_005,,,,,1,0,1,
ins_b_006,,,,,1,0,1,
ins_b_007,,,,,1,0,1,
ins_b_008,,,,,1,0,1,
ins_b_009,,,,,1,0,1,
ins_b_010,,,,,1,0,1,
ins_b_011,,,,,1,0,1,
ins_b_012,,,,,1,0,1,
ins_b_013,,,,,1,0,1,
ins_b_014,,,,,1,0,1,
ins_b_015,,,,,1,0,1,
ins_b_016,,,,,1,0,1,
ins_b_017,,,,,1,0,1,
ins_b_018,,,,,1,0,1,
ins_b_019,,,,,1,0,1,
ins_b_020,,,,,1,0,1,
reg_b_001,AC,,,,2150,369,2519,
reg_b_003,2026年3月30日,,,,2557,1456,4013,
reg_b_004,2026年6月30日,,,,2635,1437,4072,
reg_b_005,BCD,,,,2056,376,2432,
reg_b_007,30.00,,,,2566,1370,3936,
reg_b_008,BC,,,,2055,376,2431,
reg_b_009,BC,,,,2149,369,2518,
reg_b_013,B,,,,2055,376,2431,
reg_b_014,99.25,,,,2362,1444,3806,
reg_b_015,AC,,,,2149,369,2518,
reg_b_016,2.00,,,,2681,1388,4069,
reg_b_017,AC,,,,2216,376,2592,
reg_b_018,2026年4月1日,,,,2698,1427,4125,
reg_b_020,B,,,,2122,383,2505,
reg_b_021,B,,,,2122,383,2505,
reg_b_023,AB,,,,2216,376,2592,
reg_b_024,B,,,,2122,383,2505,
reg_b_025,AC,,,,2216,376,2592,
reg_b_026,B,,,,2122,383,2505,
reg_b_027,BD,,,,2122,383,2505,
res_b_001,AB,,,,3206,539,3745,
res_b_002,AC,,,,3089,610,3699,
res_b_003,AB,,,,3089,610,3699,
res_b_004,BCD,,,,3206,539,3745,
res_b_005,22.19,,,,2467,1528,3995,
res_b_006,AB,,,,3089,610,3699,
res_b_007,61.98,,,,2246,1410,3656,
res_b_008,AC,,,,3206,539,3745,
res_b_009,ABC,,,,5473,640,6113,
res_b_010,AC,,,,3089,610,3699,
res_b_011,BC,,,,3206,539,3745,
res_b_012,67.10,,,,2184,1761,3945,
res_b_013,AB,,,,3206,539,3745,
res_b_014,CD,,,,3089,610,3699,
res_b_015,BD,,,,3089,610,3699,
res_b_016,BD,,,,3206,539,3745,
res_b_017,AC,,,,3089,610,3699,
res_b_018,CD,,,,3089,610,3699,
res_b_019,AB,,,,3206,539,3745,
res_b_020,BD,,,,3206,539,3745,
