qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,485900,190420,676320,
fc_b_001,5.55%,5.36%,7.68%,7.35%,4615,3767,8382,
fc_b_002,ACD,,,,3990,432,4422,
fc_b_003,ABCD,,,,5751,489,6240,
fc_b_004,ABC,,,,3990,432,4422,
fc_b_005,1468.47%,740.58%,,,9921,4881,14802,
fc_b_006,B,,,,5751,489,6240,
fc_b_007,BC,,,,3644,595,4239,
fc_b_008,ABC,,,,3644,595,4239,
fc_b_009,ABD,,,,3644,595,4239,
fc_b_010,BCD,,,,3903,1016,4919,
fc_b_011,ABC,,,,5751,489,6240,
fc_b_012,BCD,,,,5127,279,5406,
fc_b_013,A,,,,3146,983,4129,
fc_b_014,14.41,,,,5201,3148,8349,
fc_b_015,CD,,,,3903,1016,4919,
fc_b_016,B,,,,3146,983,4129,
fc_b_017,BC,,,,3903,1016,4919,
fc_b_018,ABD,,,,3990,432,4422,
fc_b_019,ABCD,,,,3146,983,4129,
fc_b_020,2.30,,,,4341,3171,7512,
fin_b_001,ACD,,,,3937,577,4514,
fin_b_002,BCD,,,,3937,577,4514,
fin_b_003,AD,,,,3937,577,4514,
fin_b_004,AB,,,,3937,577,4514,
fin_b_005,ACD,,,,5051,690,5741,
fin_b_006,ABCD,,,,3937,577,4514,
fin_b_007,BD,,,,3937,577,4514,
fin_b_008,AC,,,,20981,2396,23377,
fin_b_009,C,,,,11164,2245,13409,
fin_b_010,AD,,,,3937,577,4514,
fin_b_011,ABC,,,,5051,690,5741,
fin_b_012,AB,,,,21267,2493,23760,
fin_b_013,38.49,1.95,,,6392,7465,13857,
fin_b_014,... (留空或填计算值),,,,23866,11216,35082,
fin_b_015,宁德时代>美的集团,19.77,,,11572,7793,19365,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,33066,11174,44240,
fin_b_017,1049321.98,0.08,,,4622,4387,9009,
fin_b_018,2.58,7.65,,,8722,4123,12845,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,10538,7791,18329,
fin_b_020,112.32,112.31,0.01,,10072,5313,15385,
ins_b_001,333.20,,,,7240,4464,11704,
ins_b_002,ABC,,,,2418,391,2809,
ins_b_003,322.00,,,,6826,13996,20822,
ins_b_004,BCD,,,,2418,391,2809,
ins_b_005,BD,,,,2366,501,2867,
ins_b_006,BCD,,,,2418,391,2809,
ins_b_007,C,,,,2418,391,2809,
ins_b_008,ABCD,,,,2418,391,2809,
ins_b_009,BCD,,,,2366,501,2867,
ins_b_010,B,,,,2366,501,2867,
ins_b_011,16.00,,,,3322,4276,7598,
ins_b_012,BD,,,,2366,501,2867,
ins_b_013,BD,,,,2418,391,2809,
ins_b_014,ACD,,,,2418,391,2809,
ins_b_015,AC,,,,2366,501,2867,
ins_b_016,AB,,,,2366,501,2867,
ins_b_017,ABCD,,,,2418,391,2809,
ins_b_018,60.00,,,,3680,3969,7649,
ins_b_019,211.50,,,,7214,4277,11491,
ins_b_020,ACD,,,,2366,501,2867,
reg_b_001,AC,,,,2161,378,2539,
reg_b_003,2026年3月30日,,,,4432,4104,8536,
reg_b_004,2026年6月30日,,,,4588,4067,8655,
reg_b_005,BCD,,,,2061,366,2427,
reg_b_007,30.00,,,,4450,3824,8274,
reg_b_008,BC,,,,2061,366,2427,
reg_b_009,BC,,,,2161,378,2539,
reg_b_013,B,,,,2061,366,2427,
reg_b_014,99.25,,,,4044,5867,9911,
reg_b_015,AC,,,,2161,377,2538,
reg_b_016,2.00,,,,4805,3838,8643,
reg_b_017,AC,,,,2228,382,2610,
reg_b_018,2026年4月1日,,,,4649,4105,8754,
reg_b_020,B,,,,2128,370,2498,
reg_b_021,B,,,,2128,370,2498,
reg_b_023,AB,,,,2228,382,2610,
reg_b_024,B,,,,2128,370,2498,
reg_b_025,AC,,,,2228,382,2610,
reg_b_026,B,,,,2128,370,2498,
reg_b_027,BD,,,,2128,370,2498,
res_b_001,AB,,,,3178,386,3564,
res_b_002,AC,,,,3130,457,3587,
res_b_003,AB,,,,3130,457,3587,
res_b_004,BCD,,,,3130,457,3587,
res_b_005,22.19%,,,,4736,4223,8959,
res_b_006,AB,,,,3177,386,3563,
res_b_007,61.98,,,,4290,4022,8312,
res_b_008,AC,,,,3177,386,3563,
res_b_009,ABC,,,,10675,4465,15140,
res_b_010,AC,,,,3130,457,3587,
res_b_011,B,,,,3177,386,3563,
res_b_012,67.10,,,,4166,4711,8877,
res_b_013,AB,,,,3177,386,3563,
res_b_014,CD,,,,3130,457,3587,
res_b_015,BD,,,,3130,457,3587,
res_b_016,BD,,,,3177,386,3563,
res_b_017,AC,,,,3130,457,3587,
res_b_018,CD,,,,3130,457,3587,
res_b_019,AB,,,,3177,386,3563,
res_b_020,BD,,,,3177,386,3563,
