qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,392014,95026,487040,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2387,1423,3810,
fc_b_002,ACD,,,,3990,432,4422,
fc_b_003,ABCD,,,,5751,450,6201,
fc_b_004,ABC,,,,3990,432,4422,
fc_b_005,1468.47%,740.58%,,,6108,3458,9566,
fc_b_006,B,,,,5751,450,6201,
fc_b_007,ABC,,,,3644,619,4263,
fc_b_008,ABC,,,,3644,619,4263,
fc_b_009,ABD,,,,3644,619,4263,
fc_b_010,BCD,,,,3903,919,4822,
fc_b_011,ABC,,,,5751,450,6201,
fc_b_012,BCD,,,,5127,279,5406,
fc_b_013,B,,,,3146,959,4105,
fc_b_014,14.41,,,,2680,1354,4034,
fc_b_015,CD,,,,3903,919,4822,
fc_b_016,B,,,,3146,959,4105,
fc_b_017,CD,,,,3903,919,4822,
fc_b_018,ABD,,,,3990,432,4422,
fc_b_019,ABCD,,,,3146,959,4105,
fc_b_020,2.30,,,,2250,1395,3645,
fin_b_001,ACD,,,,3937,612,4549,
fin_b_002,BCD,,,,3937,612,4549,
fin_b_003,ABD,,,,3937,612,4549,
fin_b_004,AB,,,,3937,612,4549,
fin_b_005,ACD,,,,5051,640,5691,
fin_b_006,A,,,,9466,1012,10478,
fin_b_007,BD,,,,3937,612,4549,
fin_b_008,AC,,,,20981,2302,23283,
fin_b_009,C,,,,11164,2705,13869,
fin_b_010,AD,,,,3937,612,4549,
fin_b_011,ABC,,,,5051,640,5691,
fin_b_012,AB,,,,21267,2184,23451,
fin_b_013,40.05,10.10,,,7767,4255,12022,
fin_b_014,无法计算,无法计算,无法计算,,15462,5765,21227,
fin_b_015,宁德时代>美的集团,19.77,,,5874,1968,7842,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,11113,1805,12918,
fin_b_017,1049321.98,0.08,,,2399,1553,3952,
fin_b_018,2.58,7.65,,,4449,1455,5904,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,5357,2133,7490,
fin_b_020,112.32,112.31,0.01,,5124,1769,6893,
ins_b_001,333.20,,,,3697,1577,5274,
ins_b_002,B,,,,2418,400,2818,
ins_b_003,322.00,,,,2357,1746,4103,
ins_b_004,B,,,,2418,400,2818,
ins_b_005,BD,,,,2366,499,2865,
ins_b_006,B,,,,2418,400,2818,
ins_b_007,B,,,,2418,400,2818,
ins_b_008,A,,,,2418,400,2818,
ins_b_009,BCD,,,,2366,499,2865,
ins_b_010,B,,,,2366,499,2865,
ins_b_011,16.00,,,,1738,1637,3375,
ins_b_012,BD,,,,2366,499,2865,
ins_b_013,B,,,,2418,400,2818,
ins_b_014,A,,,,2418,400,2818,
ins_b_015,AC,,,,2366,499,2865,
ins_b_016,AB,,,,2366,499,2865,
ins_b_017,A,,,,2418,400,2818,
ins_b_018,60.00,,,,1917,1473,3390,
ins_b_019,211.50,,,,3684,1470,5154,
ins_b_020,ACD,,,,2366,498,2864,
reg_b_001,AC,,,,2161,397,2558,
reg_b_003,2026年3月30日,,,,2557,1444,4001,
reg_b_004,2026年6月30日,,,,2635,1496,4131,
reg_b_005,BCD,,,,2061,324,2385,
reg_b_007,30.00,,,,2566,1402,3968,
reg_b_008,BC,,,,2061,324,2385,
reg_b_009,BC,,,,2161,397,2558,
reg_b_013,B,,,,2061,324,2385,
reg_b_014,99.25,,,,2363,1609,3972,
reg_b_015,AC,,,,2161,397,2558,
reg_b_016,2.00,,,,2777,1466,4243,
reg_b_017,AC,,,,2228,402,2630,
reg_b_018,2026年4月1日,,,,2699,1373,4072,
reg_b_020,B,,,,2128,329,2457,
reg_b_021,B,,,,2128,329,2457,
reg_b_023,AB,,,,2228,402,2630,
reg_b_024,B,,,,2128,329,2457,
reg_b_025,AC,,,,2228,402,2630,
reg_b_026,B,,,,2128,329,2457,
reg_b_027,BD,,,,2128,329,2457,
res_b_001,AB,,,,3215,755,3970,
res_b_002,AC,,,,3099,393,3492,
res_b_003,AB,,,,3099,393,3492,
res_b_004,BCD,,,,3215,755,3970,
res_b_005,-87.78,,,,2467,1547,4014,
res_b_006,AB,,,,3098,393,3491,
res_b_007,61.98,,,,2246,1504,3750,
res_b_008,A,,,,3214,755,3969,
res_b_009,ABC,,,,5730,739,6469,
res_b_010,AC,,,,3098,393,3491,
res_b_011,BC,,,,3214,755,3969,
res_b_012,1013479.20,,,,2184,1749,3933,
res_b_013,AB,,,,3214,755,3969,
res_b_014,CD,,,,3098,393,3491,
res_b_015,BD,,,,3098,393,3491,
res_b_016,BD,,,,3214,755,3969,
res_b_017,AC,,,,3098,393,3491,
res_b_018,ACD,,,,3098,393,3491,
res_b_019,AB,,,,3214,755,3969,
res_b_020,B,,,,3214,755,3969,
