qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1092131,179345,1271476,
fc_b_001,5.55%,5.36%,7.68%,7.35%,8872,2362,11234,
fc_b_002,ACD,,,,8714,516,9230,
fc_b_003,ACD,,,,8983,729,9712,
fc_b_004,ABC,,,,9123,541,9664,
fc_b_005,1468.47%,740.58%,,,8625,2366,10991,
fc_b_006,B,,,,11106,717,11823,
fc_b_007,BC,,,,11491,914,12405,
fc_b_008,ABC,,,,11525,1123,12648,
fc_b_009,ABD,,,,12106,492,12598,
fc_b_010,BCD,,,,9078,514,9592,
fc_b_011,ABC,,,,10080,456,10536,
fc_b_012,BCD,,,,9205,370,9575,
fc_b_013,A,,,,8180,286,8466,
fc_b_014,14.41,,,,9475,2408,11883,
fc_b_015,CD,,,,9421,520,9941,
fc_b_016,C,,,,9301,420,9721,
fc_b_017,BC,,,,9495,518,10013,
fc_b_018,ABD,,,,8388,524,8912,
fc_b_019,ABCD,,,,11510,449,11959,
fc_b_020,2.30,,,,10628,2389,13017,
fin_b_001,ACD,,,,10482,2824,13306,
fin_b_002,BCD,,,,12473,2321,14794,
fin_b_003,ABCD,,,,15765,2243,18008,
fin_b_004,AB,,,,28994,4571,33565,
fin_b_005,ACD,,,,13400,2207,15607,
fin_b_006,BC,,,,8905,2123,11028,
fin_b_007,ABD,,,,11104,2276,13380,
fin_b_008,AC,,,,15777,2496,18273,
fin_b_009,BCD,,,,13657,2168,15825,
fin_b_010,D,,,,16027,5789,21816,
fin_b_011,ABC,,,,16351,2331,18682,
fin_b_012,A,,,,40903,6052,46955,
fin_b_013,40.05,10.10,,,12306,2874,15180,
fin_b_014,1.12,9.82,8.69,,12122,2979,15101,
fin_b_015,宁德时代>美的集团,19.75,,,11410,2580,13990,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,12626,2947,15573,
fin_b_017,1049321.98,0.08,,,9143,2600,11743,
fin_b_018,2.58,7.65,,,8754,2523,11277,
fin_b_019,比亚迪>宁德时代>美的集团,1.01,,,34410,9671,44081,
fin_b_020,112.32,112.31,0.01,,8192,2805,10997,
ins_b_001,333.20,,,,11178,2660,13838,
ins_b_002,BC,,,,9372,2364,11736,
ins_b_003,366.00,,,,11980,2851,14831,
ins_b_004,BCD,,,,11078,2113,13191,
ins_b_005,BD,,,,11241,2136,13377,
ins_b_006,BCD,,,,14832,2065,16897,
ins_b_007,BC,,,,10845,2032,12877,
ins_b_008,ABCD,,,,10935,2093,13028,
ins_b_009,BCD,,,,11934,2048,13982,
ins_b_010,A,,,,11148,1931,13079,
ins_b_011,16.00,,,,7512,2608,10120,
ins_b_012,BCD,,,,13433,2017,15450,
ins_b_013,BD,,,,15236,2183,17419,
ins_b_014,ACD,,,,7035,1956,8991,
ins_b_015,AC,,,,11231,1999,13230,
ins_b_016,ABD,,,,10524,2092,12616,
ins_b_017,ABCD,,,,13008,2016,15024,
ins_b_018,60.00,,,,7603,2078,9681,
ins_b_019,211.50,,,,11227,2591,13818,
ins_b_020,ACD,,,,11462,2131,13593,
reg_b_001,ACD,,,,7497,596,8093,
reg_b_003,2026年3月30日,,,,5218,2796,8014,
reg_b_004,2026年6月30日,,,,4950,2481,7431,
reg_b_005,BCD,,,,8758,503,9261,
reg_b_007,30.00,,,,5212,2452,7664,
reg_b_008,BC,,,,8914,519,9433,
reg_b_009,BC,,,,7864,677,8541,
reg_b_013,B,,,,7143,431,7574,
reg_b_014,99.25,,,,6159,2430,8589,
reg_b_015,AC,,,,6753,809,7562,
reg_b_016,2.00,,,,5056,2472,7528,
reg_b_017,AC,,,,7848,631,8479,
reg_b_018,2026年4月1日,,,,5145,2439,7584,
reg_b_020,B,,,,6749,537,7286,
reg_b_021,B,,,,7475,525,8000,
reg_b_023,AB,,,,6093,693,6786,
reg_b_024,B,,,,9062,613,9675,
reg_b_025,AC,,,,6730,587,7317,
reg_b_026,B,,,,7113,894,8007,
reg_b_027,BD,,,,8237,662,8899,
res_b_001,AB,,,,12025,736,12761,
res_b_002,AC,,,,11648,991,12639,
res_b_003,AB,,,,10995,1147,12142,
res_b_004,BCD,,,,11185,644,11829,
res_b_005,22.19,,,,16576,6756,23332,
res_b_006,AB,,,,11420,1010,12430,
res_b_007,61.98,,,,7875,2526,10401,
res_b_008,C,,,,10729,737,11466,
res_b_009,ABC,,,,10950,1430,12380,
res_b_010,AC,,,,11060,937,11997,
res_b_011,BC,,,,10842,837,11679,
res_b_012,48.50,,,,7707,2735,10442,
res_b_013,A,,,,11256,834,12090,
res_b_014,CD,,,,11018,1102,12120,
res_b_015,BD,,,,11428,568,11996,
res_b_016,BD,,,,12298,668,12966,
res_b_017,AC,,,,10517,793,11310,
res_b_018,CD,,,,10798,795,11593,
res_b_019,AB,,,,11246,744,11990,
res_b_020,BD,,,,11661,650,12311,
