qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,786189,168783,954972,
fc_b_001,5.55%,5.36%,7.68%,7.35%,5620,2432,8052,
fc_b_002,ACD,,,,5195,341,5536,
fc_b_003,ACD,,,,6229,384,6613,
fc_b_004,ABC,,,,5813,396,6209,
fc_b_005,1468.47%,740.58%,,,5136,2280,7416,
fc_b_006,B,,,,5908,1164,7072,
fc_b_007,B,,,,5455,1240,6695,
fc_b_008,ABC,,,,6882,701,7583,
fc_b_009,ABD,,,,6624,376,7000,
fc_b_010,BCD,,,,5929,522,6451,
fc_b_011,ABC,,,,5880,359,6239,
fc_b_012,BCD,,,,5657,259,5916,
fc_b_013,A,,,,5313,177,5490,
fc_b_014,14.41,,,,5768,2459,8227,
fc_b_015,CD,,,,6899,353,7252,
fc_b_016,C,,,,5061,265,5326,
fc_b_017,BC,,,,7090,349,7439,
fc_b_018,ABD,,,,5870,397,6267,
fc_b_019,ABCD,,,,8489,349,8838,
fc_b_020,2.30,,,,5201,2209,7410,
fin_b_001,ACD,,,,7525,2145,9670,
fin_b_002,BCD,,,,7908,2621,10529,
fin_b_003,D,,,,11166,2571,13737,
fin_b_004,A,,,,22111,6990,29101,
fin_b_005,ACD,,,,8649,2096,10745,
fin_b_006,BC,,,,5542,2053,7595,
fin_b_007,ABD,,,,8406,2045,10451,
fin_b_008,AC,,,,12491,2323,14814,
fin_b_009,C,,,,7466,1989,9455,
fin_b_010,A,,,,7667,3350,11017,
fin_b_011,ABC,,,,11864,2388,14252,
fin_b_012,A,,,,19362,3755,23117,
fin_b_013,40.05,10.10,,,6112,2649,8761,
fin_b_014,1.12,9.82,8.70,,16022,9270,25292,
fin_b_015,宁德时代>美的集团,11.20,,,5991,2848,8839,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,5437,2587,8024,
fin_b_017,1049321.98,0.08,,,5422,2397,7819,
fin_b_018,2.58,7.65,,,5746,2281,8027,
fin_b_019,宁德时代>美的集团,0.05,,,13330,8537,21867,
fin_b_020,112.33,112.31,0.02,,5583,2632,8215,
ins_b_001,333.20,,,,7821,2471,10292,
ins_b_002,BC,,,,8677,2020,10697,
ins_b_003,366.00,,,,8300,2788,11088,
ins_b_004,BCD,,,,10383,2122,12505,
ins_b_005,BD,,,,10546,1980,12526,
ins_b_006,BCD,,,,14137,1827,15964,
ins_b_007,BC,,,,10113,2009,12122,
ins_b_008,ABCD,,,,10240,2116,12356,
ins_b_009,BCD,,,,11239,1951,13190,
ins_b_010,AD,,,,10453,1908,12361,
ins_b_011,16.00,,,,6108,2414,8522,
ins_b_012,BCD,,,,12738,1877,14615,
ins_b_013,BD,,,,14541,1903,16444,
ins_b_014,ACD,,,,6340,1857,8197,
ins_b_015,AC,,,,10536,1824,12360,
ins_b_016,ABD,,,,9829,1898,11727,
ins_b_017,ABCD,,,,12313,1985,14298,
ins_b_018,60.00,,,,6308,2263,8571,
ins_b_019,211.50,,,,7795,2451,10246,
ins_b_020,ACD,,,,10730,2197,12927,
reg_b_001,ACD,,,,5815,469,6284,
reg_b_003,2026年3月30日,,,,4523,2414,6937,
reg_b_004,2026年6月30日,,,,4255,2423,6678,
reg_b_005,BCD,,,,5340,321,5661,
reg_b_007,30.00,,,,4517,1921,6438,
reg_b_008,BC,,,,5982,450,6432,
reg_b_009,BC,,,,5537,433,5970,
reg_b_013,B,,,,4895,339,5234,
reg_b_014,99.25,,,,4764,2324,7088,
reg_b_015,AC,,,,4871,649,5520,
reg_b_016,2.00,,,,4361,2293,6654,
reg_b_017,AC,,,,5366,516,5882,
reg_b_018,2026年4月1日,,,,4450,2293,6743,
reg_b_020,B,,,,4718,287,5005,
reg_b_021,B,,,,5403,447,5850,
reg_b_023,AB,,,,4868,585,5453,
reg_b_024,B,,,,5428,497,5925,
reg_b_025,AC,,,,5357,516,5873,
reg_b_026,B,,,,5205,523,5728,
reg_b_027,BD,,,,5549,528,6077,
res_b_001,AB,,,,9733,610,10343,
res_b_002,AC,,,,10373,589,10962,
res_b_003,AB,,,,8058,1165,9223,
res_b_004,BCD,,,,7641,567,8208,
res_b_005,22.19,,,,7075,2417,9492,
res_b_006,A,,,,9151,1433,10584,
res_b_007,61.98,,,,6510,2368,8878,
res_b_008,C,,,,9045,1943,10988,
res_b_009,ABC,,,,8742,1315,10057,
res_b_010,AC,,,,8388,529,8917,
res_b_011,B,,,,7706,592,8298,
res_b_012,67.10,,,,6530,2581,9111,
res_b_013,A,,,,10365,686,11051,
res_b_014,CD,,,,8515,1384,9899,
res_b_015,BD,,,,9438,536,9974,
res_b_016,BD,,,,10798,636,11434,
res_b_017,AC,,,,8119,560,8679,
res_b_018,ACD,,,,8209,992,9201,
res_b_019,AB,,,,7816,657,8473,
res_b_020,BD,,,,9807,595,10402,
