qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,187570,46884,234454,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2387,1475,3862,
fc_b_002,ACD,,,,3968,382,4350,
fc_b_003,ABCD,,,,5729,531,6260,
fc_b_004,ABC,,,,3968,382,4350,
fc_b_005,1468.47%,740.58%,,,6144,3304,9448,
fc_b_006,B,,,,5729,531,6260,
fc_b_007,BC,,,,3622,708,4330,
fc_b_008,ABC,,,,3622,708,4330,
fc_b_009,ABD,,,,3622,708,4330,
fc_b_010,BCD,,,,3881,676,4557,
fc_b_011,ABC,,,,5729,531,6260,
fc_b_012,BCD,,,,4241,267,4508,
fc_b_013,A,,,,3124,978,4102,
fc_b_014,14.41,,,,2680,1410,4090,
fc_b_015,CD,,,,3881,676,4557,
fc_b_016,B,,,,3124,978,4102,
fc_b_017,BC,,,,3881,676,4557,
fc_b_018,ABD,,,,3968,382,4350,
fc_b_019,ABCD,,,,3124,978,4102,
fc_b_020,2.30,,,,2250,1576,3826,
fin_b_001,,,,,1,1,2,
fin_b_002,,,,,1,1,2,
fin_b_003,,,,,1,1,2,
fin_b_004,,,,,1,1,2,
fin_b_005,,,,,1,1,2,
fin_b_006,,,,,1,1,2,
fin_b_007,,,,,1,1,2,
fin_b_008,,,,,1,1,2,
fin_b_009,,,,,1,1,2,
fin_b_010,,,,,1,1,2,
fin_b_011,,,,,1,1,2,
fin_b_012,,,,,1,1,2,
fin_b_013,,,,,1,1,2,
fin_b_014,,,,,1,1,2,
fin_b_015,,,,,1,1,2,
fin_b_016,,,,,1,1,2,
fin_b_017,,,,,1,1,2,
fin_b_018,,,,,1,1,2,
fin_b_019,,,,,1,1,2,
fin_b_020,,,,,1,1,2,
ins_b_001,,,,,1,1,2,
ins_b_002,,,,,1,1,2,
ins_b_003,,,,,1,1,2,
ins_b_004,,,,,1,0,1,
ins_b_005,,,,,1,0,1,
ins_b_006,,,,,1,0,1,
ins_b_007,,,,,1,0,1,
ins_b_008,,,,,1,0,1,
ins_b_009,,,,,1,0,1,
ins_b_010,,,,,1,0,1,
ins_b_011,,,,,1,0,1,
ins_b_012,,,,,1,0,1,
ins_b_013,,,,,1,0,1,
ins_b_014,,,,,1,0,1,
ins_b_015,,,,,1,0,1,
ins_b_016,,,,,1,0,1,
ins_b_017,,,,,1,0,1,
ins_b_018,,,,,1,0,1,
ins_b_019,,,,,1,0,1,
ins_b_020,,,,,1,0,1,
reg_b_001,AC,,,,2150,359,2509,
reg_b_003,2026年3月30日,,,,2557,1439,3996,
reg_b_004,2026年6月30日,,,,2635,1426,4061,
reg_b_005,BCD,,,,2058,348,2406,
reg_b_007,30.00,,,,2566,1356,3922,
reg_b_008,BC,,,,2058,348,2406,
reg_b_009,BC,,,,2150,359,2509,
reg_b_013,B,,,,2058,348,2406,
reg_b_014,99.25,,,,2362,1725,4087,
reg_b_015,AC,,,,2149,359,2508,
reg_b_016,2.00,,,,2681,1442,4123,
reg_b_017,AC,,,,2216,367,2583,
reg_b_018,2026年4月1日,,,,2698,1482,4180,
reg_b_020,B,,,,2124,356,2480,
reg_b_021,B,,,,2124,356,2480,
reg_b_023,AB,,,,2216,367,2583,
reg_b_024,B,,,,2124,356,2480,
reg_b_025,AC,,,,2216,367,2583,
reg_b_026,B,,,,2124,356,2480,
reg_b_027,BD,,,,2124,356,2480,
res_b_001,AB,,,,3205,478,3683,
res_b_002,AD,,,,3182,599,3781,
res_b_003,AB,,,,3182,599,3781,
res_b_004,BCD,,,,3205,478,3683,
res_b_005,22.19,,,,2467,2582,5049,
res_b_006,AB,,,,3205,478,3683,
res_b_007,61.98,,,,2246,1450,3696,
res_b_008,AC,,,,3205,478,3683,
res_b_009,ABC,,,,5473,704,6177,
res_b_010,AC,,,,3182,599,3781,
res_b_011,BC,,,,3205,478,3683,
res_b_012,67.10,,,,2184,1780,3964,
res_b_013,AB,,,,3205,478,3683,
res_b_014,CD,,,,3182,599,3781,
res_b_015,B,,,,3182,599,3781,
res_b_016,BD,,,,3205,478,3683,
res_b_017,AC,,,,3182,599,3781,
res_b_018,ACD,,,,3182,599,3781,
res_b_019,AB,,,,3205,478,3683,
res_b_020,BD,,,,3182,599,3781,
