qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1112668,258755,1371423,
fc_b_001,,,,,1685,194,1879,
fc_b_002,,,,,1685,194,1879,
fc_b_003,,,,,1685,194,1879,
fc_b_004,,,,,1685,194,1879,
fc_b_005,,,,,1685,194,1879,
fc_b_006,,,,,1685,194,1879,
fc_b_007,B,,,,15407,2564,17971,
fc_b_008,,,,,1685,194,1879,
fc_b_009,ABD,,,,18882,1283,20165,
fc_b_010,,,,,1685,194,1879,
fc_b_011,,,,,1685,194,1879,
fc_b_012,,,,,1685,194,1879,
fc_b_013,,,,,1685,194,1879,
fc_b_014,,,,,1685,194,1879,
fc_b_015,,,,,1685,194,1879,
fc_b_016,C,,,,13964,1053,15017,
fc_b_017,BC,,,,20120,1299,21419,
fc_b_018,,,,,1685,194,1879,
fc_b_019,ABCD,,,,47253,9551,56804,
fc_b_020,,,,,1685,194,1879,
fin_b_001,,,,,1685,194,1879,
fin_b_002,,,,,1685,194,1879,
fin_b_003,ABCD,,,,51389,8342,59731,
fin_b_004,AB,,,,76274,20759,97033,
fin_b_005,,,,,1685,194,1879,
fin_b_006,BC,,,,27283,7836,35119,
fin_b_007,ABD,,,,36415,8055,44470,
fin_b_008,,,,,1685,194,1879,
fin_b_009,,,,,1684,194,1878,
fin_b_010,,,,,1684,194,1878,
fin_b_011,,,,,1684,194,1878,
fin_b_012,ABC,,,,67607,20019,87626,
fin_b_013,,,,,1684,194,1878,
fin_b_014,1.12,9.82,8.70,,26861,6073,32934,
fin_b_015,宁德时代>美的集团,19.75,,,24246,3956,28202,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,25995,6603,32598,
fin_b_017,,,,,1684,194,1878,
fin_b_018,,,,,1684,194,1878,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,38781,12116,50897,
fin_b_020,,,,,1684,194,1878,
ins_b_001,,,,,1684,194,1878,
ins_b_002,BC,,,,28935,7807,36742,
ins_b_003,366.00,,,,16929,7593,24522,
ins_b_004,BCD,,,,33618,7359,40977,
ins_b_005,D,,,,47909,15906,63815,
ins_b_006,,,,,1684,194,1878,
ins_b_007,,,,,1684,194,1878,
ins_b_008,,,,,1684,194,1878,
ins_b_009,BCD,,,,32545,8203,40748,
ins_b_010,A,,,,47722,15086,62808,
ins_b_011,,,,,1684,194,1878,
ins_b_012,BCD,,,,36100,5809,41909,
ins_b_013,,,,,1684,194,1878,
ins_b_014,ACD,,,,21249,6096,27345,
ins_b_015,,,,,1684,194,1878,
ins_b_016,ABD,,,,31415,6210,37625,
ins_b_017,ABCD,,,,38004,6832,44836,
ins_b_018,,,,,1684,194,1878,
ins_b_019,,,,,1684,194,1878,
ins_b_020,,,,,1684,194,1878,
reg_b_001,ACD,,,,29248,10497,39745,
reg_b_003,,,,,1684,194,1878,
reg_b_004,,,,,1684,194,1878,
reg_b_005,,,,,1684,194,1878,
reg_b_007,,,,,1684,194,1878,
reg_b_008,,,,,1684,194,1878,
reg_b_009,,,,,1684,194,1878,
reg_b_013,,,,,1684,193,1877,
reg_b_014,,,,,1684,193,1877,
reg_b_015,,,,,1684,193,1877,
reg_b_016,,,,,1684,193,1877,
reg_b_017,,,,,1684,193,1877,
reg_b_018,,,,,1684,193,1877,
reg_b_020,,,,,1684,193,1877,
reg_b_021,,,,,1684,193,1877,
reg_b_023,,,,,1684,193,1877,
reg_b_024,,,,,1684,193,1877,
reg_b_025,,,,,1684,193,1877,
reg_b_026,,,,,1684,193,1877,
reg_b_027,,,,,1684,193,1877,
res_b_001,,,,,1684,193,1877,
res_b_002,,,,,1684,193,1877,
res_b_003,,,,,1684,193,1877,
res_b_004,,,,,1684,193,1877,
res_b_005,,,,,1684,193,1877,
res_b_006,,,,,1684,193,1877,
res_b_007,,,,,1684,193,1877,
res_b_008,AC,,,,43964,12335,56299,
res_b_009,,,,,1684,193,1877,
res_b_010,,,,,1684,193,1877,
res_b_011,,,,,1684,193,1877,
res_b_012,,,,,1684,193,1877,
res_b_013,A,,,,52042,13442,65484,
res_b_014,,,,,1684,193,1877,
res_b_015,,,,,1684,193,1877,
res_b_016,,,,,1684,193,1877,
res_b_017,,,,,1684,193,1877,
res_b_018,CD,,,,41244,12133,53377,
res_b_019,,,,,1684,193,1877,
res_b_020,,,,,1684,193,1877,
