qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,196080,59698,255778,
fc_b_001,,,,,1,1,2,
fc_b_002,,,,,1,1,2,
fc_b_003,,,,,1,1,2,
fc_b_004,,,,,1,1,2,
fc_b_005,,,,,1,1,2,
fc_b_006,,,,,1,1,2,
fc_b_007,,,,,1,1,2,
fc_b_008,,,,,1,1,2,
fc_b_009,,,,,1,1,2,
fc_b_010,,,,,1,1,2,
fc_b_011,,,,,1,1,2,
fc_b_012,,,,,1,1,2,
fc_b_013,,,,,0,1,1,
fc_b_014,,,,,0,1,1,
fc_b_015,,,,,0,1,1,
fc_b_016,,,,,0,1,1,
fc_b_017,,,,,0,1,1,
fc_b_018,,,,,0,1,1,
fc_b_019,,,,,0,1,1,
fc_b_020,,,,,0,1,1,
fin_b_001,ACD,,,,3936,705,4641,
fin_b_002,BCD,,,,3936,705,4641,
fin_b_003,A,,,,3936,705,4641,
fin_b_004,AB,,,,3936,705,4641,
fin_b_005,ACD,,,,5050,800,5850,
fin_b_006,ABCD,,,,3936,704,4640,
fin_b_007,BD,,,,3936,704,4640,
fin_b_008,AC,,,,18899,2720,21619,
fin_b_009,C,,,,11163,3235,14398,
fin_b_010,AD,,,,3936,704,4640,
fin_b_011,ABC,,,,5050,799,5849,
fin_b_012,AB,,,,16444,2339,18783,
fin_b_013,40.05,10.10,,,8631,3822,12453,
fin_b_014,1.39,10.31,8.92,,15443,5345,20788,
fin_b_015,,,,,12322,7953,20275,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,6774,1855,8629,
fin_b_017,1049321.98,0.08,,,2398,1595,3993,
fin_b_018,2.58,7.65,,,4448,1452,5900,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,5356,2019,7375,
fin_b_020,1123.28,112.31,1010.97,,4259,1756,6015,
ins_b_001,333.20,,,,3696,1610,5306,
ins_b_002,BC,,,,2417,410,2827,
ins_b_003,322.00,,,,5356,5136,10492,
ins_b_004,CD,,,,2417,410,2827,
ins_b_005,B,,,,2365,620,2985,
ins_b_006,BCD,,,,2417,410,2827,
ins_b_007,BC,,,,2417,410,2827,
ins_b_008,ABCD,,,,2417,410,2827,
ins_b_009,BCD,,,,2365,620,2985,
ins_b_010,B,,,,2365,620,2985,
ins_b_011,16.00,,,,1737,1728,3465,
ins_b_012,BD,,,,2365,620,2985,
ins_b_013,BD,,,,2417,410,2827,
ins_b_014,ACD,,,,2417,410,2827,
ins_b_015,AC,,,,2365,620,2985,
ins_b_016,AB,,,,2365,620,2985,
ins_b_017,ABCD,,,,2417,410,2827,
ins_b_018,60.00,,,,1916,1450,3366,
ins_b_019,211.50,,,,3683,1512,5195,
ins_b_020,ACD,,,,2365,620,2985,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
