qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,188508,46345,234853,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2387,1486,3873,
fc_b_002,ACD,,,,3990,489,4479,
fc_b_003,ABCD,,,,5751,589,6340,
fc_b_004,BC,,,,3990,489,4479,
fc_b_005,1468.47%,740.58%,,,6280,3375,9655,
fc_b_006,B,,,,5751,589,6340,
fc_b_007,BC,,,,3644,626,4270,
fc_b_008,ABC,,,,3644,626,4270,
fc_b_009,ABD,,,,3644,626,4270,
fc_b_010,BCD,,,,3903,660,4563,
fc_b_011,ABC,,,,5751,589,6340,
fc_b_012,BCD,,,,4308,267,4575,
fc_b_013,A,,,,3146,855,4001,
fc_b_014,14.41,,,,2680,1344,4024,
fc_b_015,CD,,,,3903,660,4563,
fc_b_016,C,,,,3146,855,4001,
fc_b_017,CD,,,,3903,660,4563,
fc_b_018,ABD,,,,3990,489,4479,
fc_b_019,ABCD,,,,3146,855,4001,
fc_b_020,2.30,,,,2250,1372,3622,
fin_b_001,,,,,1,1,2,
fin_b_002,,,,,1,1,2,
fin_b_003,,,,,1,1,2,
fin_b_004,,,,,1,1,2,
fin_b_005,,,,,1,1,2,
fin_b_006,,,,,1,1,2,
fin_b_007,,,,,1,1,2,
fin_b_008,,,,,1,1,2,
fin_b_009,,,,,1,1,2,
fin_b_010,,,,,1,1,2,
fin_b_011,,,,,1,1,2,
fin_b_012,,,,,1,1,2,
fin_b_013,,,,,1,1,2,
fin_b_014,,,,,1,1,2,
fin_b_015,,,,,1,1,2,
fin_b_016,,,,,1,1,2,
fin_b_017,,,,,1,1,2,
fin_b_018,,,,,1,1,2,
fin_b_019,,,,,1,1,2,
fin_b_020,,,,,1,1,2,
ins_b_001,,,,,1,1,2,
ins_b_002,,,,,1,1,2,
ins_b_003,,,,,1,0,1,
ins_b_004,,,,,1,0,1,
ins_b_005,,,,,1,0,1,
ins_b_006,,,,,1,0,1,
ins_b_007,,,,,1,0,1,
ins_b_008,,,,,1,0,1,
ins_b_009,,,,,1,0,1,
ins_b_010,,,,,1,0,1,
ins_b_011,,,,,1,0,1,
ins_b_012,,,,,1,0,1,
ins_b_013,,,,,1,0,1,
ins_b_014,,,,,1,0,1,
ins_b_015,,,,,1,0,1,
ins_b_016,,,,,1,0,1,
ins_b_017,,,,,1,0,1,
ins_b_018,,,,,1,0,1,
ins_b_019,,,,,1,0,1,
ins_b_020,,,,,1,0,1,
reg_b_001,AC,,,,2161,402,2563,
reg_b_003,2026年3月30日,,,,2557,1414,3971,
reg_b_004,2026年6月30日,,,,2635,1438,4073,
reg_b_005,BCD,,,,2155,345,2500,
reg_b_007,30.00,,,,2566,1398,3964,
reg_b_008,BC,,,,2155,345,2500,
reg_b_009,BC,,,,2161,402,2563,
reg_b_013,B,,,,2155,345,2500,
reg_b_014,99.25,,,,2363,1912,4275,
reg_b_015,AC,,,,2160,402,2562,
reg_b_016,2.00,,,,2776,1441,4217,
reg_b_017,AC,,,,2227,408,2635,
reg_b_018,2026年4月1日,,,,2698,1347,4045,
reg_b_020,B,,,,2221,351,2572,
reg_b_021,B,,,,2221,351,2572,
reg_b_023,AB,,,,2227,408,2635,
reg_b_024,B,,,,2221,351,2572,
reg_b_025,AC,,,,2227,408,2635,
reg_b_026,B,,,,2221,351,2572,
reg_b_027,BD,,,,2221,351,2572,
res_b_001,AB,,,,3214,771,3985,
res_b_002,AC,,,,3098,384,3482,
res_b_003,AB,,,,3098,384,3482,
res_b_004,BCD,,,,3214,771,3985,
res_b_005,22.19,,,,2467,1472,3939,
res_b_006,AB,,,,3098,384,3482,
res_b_007,61.98,,,,2246,1460,3706,
res_b_008,AC,,,,3214,771,3985,
res_b_009,ABC,,,,5540,793,6333,
res_b_010,AC,,,,3098,384,3482,
res_b_011,BC,,,,3214,771,3985,
res_b_012,67.10,,,,2184,1687,3871,
res_b_013,AB,,,,3214,771,3985,
res_b_014,CD,,,,3098,384,3482,
res_b_015,BD,,,,3098,384,3482,
res_b_016,BD,,,,3214,771,3985,
res_b_017,AC,,,,3098,384,3482,
res_b_018,CD,,,,3098,384,3482,
res_b_019,AB,,,,3214,771,3985,
res_b_020,BD,,,,3214,771,3985,
