qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,910395,161426,1071821,
fc_b_001,,,,,807,96,903,
fc_b_002,,,,,807,96,903,
fc_b_003,,,,,807,96,903,
fc_b_004,,,,,807,96,903,
fc_b_005,,,,,807,96,903,
fc_b_006,,,,,807,96,903,
fc_b_007,,,,,807,96,903,
fc_b_008,,,,,807,96,903,
fc_b_009,,,,,807,96,903,
fc_b_010,,,,,807,96,903,
fc_b_011,,,,,807,96,903,
fc_b_012,,,,,807,96,903,
fc_b_013,,,,,807,96,903,
fc_b_014,,,,,807,96,903,
fc_b_015,,,,,807,96,903,
fc_b_016,,,,,807,96,903,
fc_b_017,,,,,807,96,903,
fc_b_018,,,,,807,96,903,
fc_b_019,,,,,807,96,903,
fc_b_020,,,,,807,96,903,
fin_b_001,ACD,,,,36215,7918,44133,
fin_b_002,BCD,,,,49160,8122,57282,
fin_b_003,ABCD,,,,53806,7972,61778,
fin_b_004,AB,,,,57121,7969,65090,
fin_b_005,ACD,,,,46802,7792,54594,
fin_b_006,BC,,,,30530,7366,37896,
fin_b_007,ABD,,,,38214,8070,46284,
fin_b_008,AC,,,,52869,9032,61901,
fin_b_009,BCD,,,,49177,7586,56763,
fin_b_010,AD,,,,57532,8679,66211,
fin_b_011,ABC,,,,52463,7824,60287,
fin_b_012,AB,,,,42500,7315,49815,
fin_b_013,40.05,10.10,,,28767,7271,36038,
fin_b_014,1.12,9.82,8.70,,48144,9896,58040,
fin_b_015,宁德时代>美的集团,19.75,,,32368,5166,37534,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,35961,7365,43326,
fin_b_017,1049321.98,0.08,,,21195,5161,26356,
fin_b_018,2.58,7.65,,,52649,8787,61436,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,36473,8307,44780,
fin_b_020,112.32,112.31,0.01,,23949,6178,30127,
ins_b_001,,,,,806,96,902,
ins_b_002,,,,,806,96,902,
ins_b_003,,,,,806,96,902,
ins_b_004,,,,,806,96,902,
ins_b_005,,,,,806,96,902,
ins_b_006,,,,,806,96,902,
ins_b_007,,,,,806,96,902,
ins_b_008,,,,,806,96,902,
ins_b_009,,,,,806,96,902,
ins_b_010,,,,,806,96,902,
ins_b_011,,,,,806,96,902,
ins_b_012,,,,,806,96,902,
ins_b_013,,,,,806,96,902,
ins_b_014,,,,,806,96,902,
ins_b_015,,,,,806,96,902,
ins_b_016,,,,,806,96,902,
ins_b_017,,,,,806,96,902,
ins_b_018,,,,,806,96,902,
ins_b_019,,,,,806,96,902,
ins_b_020,,,,,806,96,902,
reg_b_001,,,,,806,96,902,
reg_b_003,,,,,806,96,902,
reg_b_004,,,,,806,96,902,
reg_b_005,,,,,806,96,902,
reg_b_007,,,,,806,96,902,
reg_b_008,,,,,806,96,902,
reg_b_009,,,,,806,96,902,
reg_b_013,,,,,806,96,902,
reg_b_014,,,,,806,96,902,
reg_b_015,,,,,806,96,902,
reg_b_016,,,,,806,95,901,
reg_b_017,,,,,806,95,901,
reg_b_018,,,,,806,95,901,
reg_b_020,,,,,806,95,901,
reg_b_021,,,,,806,95,901,
reg_b_023,,,,,806,95,901,
reg_b_024,,,,,806,95,901,
reg_b_025,,,,,806,95,901,
reg_b_026,,,,,806,95,901,
reg_b_027,,,,,806,95,901,
res_b_001,,,,,806,95,901,
res_b_002,,,,,806,95,901,
res_b_003,,,,,806,95,901,
res_b_004,,,,,806,95,901,
res_b_005,,,,,806,95,901,
res_b_006,,,,,806,95,901,
res_b_007,,,,,806,95,901,
res_b_008,,,,,806,95,901,
res_b_009,,,,,806,95,901,
res_b_010,,,,,806,95,901,
res_b_011,,,,,806,95,901,
res_b_012,,,,,806,95,901,
res_b_013,,,,,806,95,901,
res_b_014,,,,,806,95,901,
res_b_015,,,,,806,95,901,
res_b_016,,,,,806,95,901,
res_b_017,,,,,806,95,901,
res_b_018,,,,,806,95,901,
res_b_019,,,,,806,95,901,
res_b_020,,,,,806,95,901,
