qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,489876,109305,599181,
fc_b_001,,,,,1001,114,1115,
fc_b_002,,,,,1001,113,1114,
fc_b_003,,,,,1001,113,1114,
fc_b_004,,,,,1001,113,1114,
fc_b_005,,,,,1001,113,1114,
fc_b_006,,,,,1001,113,1114,
fc_b_007,,,,,1001,113,1114,
fc_b_008,,,,,1001,113,1114,
fc_b_009,,,,,1001,113,1114,
fc_b_010,,,,,1001,113,1114,
fc_b_011,,,,,1001,113,1114,
fc_b_012,,,,,1001,113,1114,
fc_b_013,,,,,1001,113,1114,
fc_b_014,,,,,1001,113,1114,
fc_b_015,,,,,1001,113,1114,
fc_b_016,,,,,1001,113,1114,
fc_b_017,,,,,1001,113,1114,
fc_b_018,,,,,1001,113,1114,
fc_b_019,,,,,1001,113,1114,
fc_b_020,,,,,1001,113,1114,
fin_b_001,,,,,1001,113,1114,
fin_b_002,,,,,1001,113,1114,
fin_b_003,,,,,1001,113,1114,
fin_b_004,,,,,1001,113,1114,
fin_b_005,,,,,1001,113,1114,
fin_b_006,,,,,1001,113,1114,
fin_b_007,,,,,1001,113,1114,
fin_b_008,,,,,1001,113,1114,
fin_b_009,,,,,1001,113,1114,
fin_b_010,,,,,1001,113,1114,
fin_b_011,,,,,1001,113,1114,
fin_b_012,,,,,1001,113,1114,
fin_b_013,,,,,1001,113,1114,
fin_b_014,,,,,1001,113,1114,
fin_b_015,,,,,1001,113,1114,
fin_b_016,,,,,1001,113,1114,
fin_b_017,,,,,1001,113,1114,
fin_b_018,,,,,1001,113,1114,
fin_b_019,,,,,1001,113,1114,
fin_b_020,,,,,1001,113,1114,
ins_b_001,333.20,,,,15319,6743,22062,
ins_b_002,BC,,,,17517,6786,24303,
ins_b_003,366.00,,,,16252,7147,23399,
ins_b_004,BCD,,,,23268,4585,27853,
ins_b_005,BD,,,,22723,4536,27259,
ins_b_006,BCD,,,,26862,4375,31237,
ins_b_007,BC,,,,22633,3782,26415,
ins_b_008,ABCD,,,,20629,4481,25110,
ins_b_009,BCD,,,,22904,4525,27429,
ins_b_010,A,,,,27123,7971,35094,
ins_b_011,16.00,,,,12431,5698,18129,
ins_b_012,BCD,,,,23971,4371,28342,
ins_b_013,BD,,,,27607,3787,31394,
ins_b_014,ACD,,,,14070,3584,17654,
ins_b_015,AC,,,,21345,3766,25111,
ins_b_016,ABD,,,,21088,4257,25345,
ins_b_017,ABCD,,,,25678,4392,30070,
ins_b_018,60.00,,,,12846,5095,17941,
ins_b_019,211.50,,,,15280,5528,20808,
ins_b_020,ACD,,,,20265,4855,25120,
reg_b_001,,,,,1001,113,1114,
reg_b_003,,,,,1001,113,1114,
reg_b_004,,,,,1001,113,1114,
reg_b_005,,,,,1001,113,1114,
reg_b_007,,,,,1001,113,1114,
reg_b_008,,,,,1001,113,1114,
reg_b_009,,,,,1001,113,1114,
reg_b_013,,,,,1001,113,1114,
reg_b_014,,,,,1001,113,1114,
reg_b_015,,,,,1001,113,1114,
reg_b_016,,,,,1001,113,1114,
reg_b_017,,,,,1001,113,1114,
reg_b_018,,,,,1001,113,1114,
reg_b_020,,,,,1001,113,1114,
reg_b_021,,,,,1001,113,1114,
reg_b_023,,,,,1001,113,1114,
reg_b_024,,,,,1001,113,1114,
reg_b_025,,,,,1001,113,1114,
reg_b_026,,,,,1001,113,1114,
reg_b_027,,,,,1001,113,1114,
res_b_001,,,,,1001,113,1114,
res_b_002,,,,,1001,113,1114,
res_b_003,,,,,1001,113,1114,
res_b_004,,,,,1001,113,1114,
res_b_005,,,,,1001,113,1114,
res_b_006,,,,,1000,113,1113,
res_b_007,,,,,1000,113,1113,
res_b_008,,,,,1000,113,1113,
res_b_009,,,,,1000,113,1113,
res_b_010,,,,,1000,113,1113,
res_b_011,,,,,1000,113,1113,
res_b_012,,,,,1000,113,1113,
res_b_013,,,,,1000,113,1113,
res_b_014,,,,,1000,113,1113,
res_b_015,,,,,1000,113,1113,
res_b_016,,,,,1000,113,1113,
res_b_017,,,,,1000,113,1113,
res_b_018,,,,,1000,113,1113,
res_b_019,,,,,1000,113,1113,
res_b_020,,,,,1000,113,1113,
