qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,125872,33952,159824,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2387,1422,3809,
fc_b_002,ACD,,,,3990,633,4623,
fc_b_003,ABCD,,,,5751,427,6178,
fc_b_004,ABC,,,,3990,633,4623,
fc_b_005,1468.47%,740.58%,,,6280,3365,9645,
fc_b_006,B,,,,5751,427,6178,
fc_b_007,BC,,,,3644,546,4190,
fc_b_008,ABC,,,,3644,546,4190,
fc_b_009,ABD,,,,3644,546,4190,
fc_b_010,BCD,,,,3903,1443,5346,
fc_b_011,ABC,,,,5751,427,6178,
fc_b_012,BCD,,,,4308,267,4575,
fc_b_013,A,,,,3146,975,4121,
fc_b_014,14.41,,,,2680,1377,4057,
fc_b_015,CD,,,,3903,1443,5346,
fc_b_016,B,,,,3146,974,4120,
fc_b_017,BC,,,,3903,1442,5345,
fc_b_018,ABD,,,,3990,632,4622,
fc_b_019,ABCD,,,,3146,974,4120,
fc_b_020,2.30,,,,2250,1454,3704,
fin_b_001,,,,,1,0,1,
fin_b_002,,,,,1,0,1,
fin_b_003,,,,,1,0,1,
fin_b_004,,,,,1,0,1,
fin_b_005,,,,,1,0,1,
fin_b_006,,,,,1,0,1,
fin_b_007,,,,,1,0,1,
fin_b_008,,,,,1,0,1,
fin_b_009,,,,,1,0,1,
fin_b_010,,,,,1,0,1,
fin_b_011,,,,,1,0,1,
fin_b_012,,,,,1,0,1,
fin_b_013,,,,,1,0,1,
fin_b_014,,,,,1,0,1,
fin_b_015,,,,,1,0,1,
fin_b_016,,,,,1,0,1,
fin_b_017,,,,,1,0,1,
fin_b_018,,,,,1,0,1,
fin_b_019,,,,,1,0,1,
fin_b_020,,,,,1,0,1,
ins_b_001,,,,,1,0,1,
ins_b_002,,,,,1,0,1,
ins_b_003,,,,,1,0,1,
ins_b_004,,,,,1,0,1,
ins_b_005,,,,,1,0,1,
ins_b_006,,,,,1,0,1,
ins_b_007,,,,,0,0,0,
ins_b_008,,,,,0,0,0,
ins_b_009,,,,,0,0,0,
ins_b_010,,,,,0,0,0,
ins_b_011,,,,,0,0,0,
ins_b_012,,,,,0,0,0,
ins_b_013,,,,,0,0,0,
ins_b_014,,,,,0,0,0,
ins_b_015,,,,,0,0,0,
ins_b_016,,,,,0,0,0,
ins_b_017,,,,,0,0,0,
ins_b_018,,,,,0,0,0,
ins_b_019,,,,,0,0,0,
ins_b_020,,,,,0,0,0,
reg_b_001,AC,,,,2160,367,2527,
reg_b_003,2026年3月30日,,,,2556,1367,3923,
reg_b_004,2026年6月30日,,,,2634,1476,4110,
reg_b_005,BCD,,,,2194,341,2535,
reg_b_007,30.00,,,,2565,1380,3945,
reg_b_008,BC,,,,2194,341,2535,
reg_b_009,BC,,,,2160,367,2527,
reg_b_013,B,,,,2194,341,2535,
reg_b_014,99.25,,,,2362,1845,4207,
reg_b_015,AC,,,,2160,367,2527,
reg_b_016,2.00,,,,2776,1430,4206,
reg_b_017,AC,,,,2227,379,2606,
reg_b_018,2026年4月1日,,,,2698,1475,4173,
reg_b_020,B,,,,2261,353,2614,
reg_b_021,B,,,,2261,353,2614,
reg_b_023,AB,,,,2227,379,2606,
reg_b_024,B,,,,2261,353,2614,
reg_b_025,AC,,,,2227,379,2606,
reg_b_026,B,,,,2261,353,2614,
reg_b_027,BD,,,,2261,353,2614,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
