qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,136666,27856,164522,
fc_b_001,,,,,1,1,2,
fc_b_002,,,,,1,1,2,
fc_b_003,,,,,1,1,2,
fc_b_004,,,,,1,1,2,
fc_b_005,,,,,1,1,2,
fc_b_006,,,,,1,1,2,
fc_b_007,,,,,1,1,2,
fc_b_008,,,,,1,1,2,
fc_b_009,,,,,1,1,2,
fc_b_010,,,,,1,1,2,
fc_b_011,,,,,1,1,2,
fc_b_012,,,,,1,1,2,
fc_b_013,,,,,1,1,2,
fc_b_014,,,,,1,1,2,
fc_b_015,,,,,1,0,1,
fc_b_016,,,,,0,0,0,
fc_b_017,,,,,0,0,0,
fc_b_018,,,,,0,0,0,
fc_b_019,,,,,0,0,0,
fc_b_020,,,,,0,0,0,
fin_b_001,A,,,,9393,977,10370,
fin_b_002,BCD,,,,4263,577,4840,
fin_b_003,,,,,0,0,0,
fin_b_004,,,,,0,0,0,
fin_b_005,ACD,,,,22071,2556,24627,
fin_b_006,,,,,0,0,0,
fin_b_007,,,,,0,0,0,
fin_b_008,AC,,,,20193,2507,22700,
fin_b_009,BCD,,,,4263,577,4840,
fin_b_010,A,,,,4263,577,4840,
fin_b_011,ABC,,,,24776,2637,27413,
fin_b_012,,,,,0,0,0,
fin_b_013,40.05,10.10,,,8466,3624,12090,
fin_b_014,,,,,0,0,0,
fin_b_015,,,,,0,0,0,
fin_b_016,,,,,0,0,0,
fin_b_017,1049322.00,0.08,,,2442,1496,3938,
fin_b_018,2.58,7.65,,,4492,1438,5930,
fin_b_019,,,,,0,0,0,
fin_b_020,112.32,112.31,0.01,,5167,1774,6941,
ins_b_001,333.20,,,,3749,1556,5305,
ins_b_002,,,,,0,0,0,
ins_b_003,,,,,0,0,0,
ins_b_004,,,,,0,0,0,
ins_b_005,,,,,0,0,0,
ins_b_006,BCD,,,,2603,485,3088,
ins_b_007,BC,,,,2603,485,3088,
ins_b_008,ABCD,,,,2603,485,3088,
ins_b_009,,,,,0,0,0,
ins_b_010,,,,,0,0,0,
ins_b_011,16.00,,,,1790,1679,3469,
ins_b_012,,,,,0,0,0,
ins_b_013,BD,,,,2603,485,3088,
ins_b_014,,,,,0,0,0,
ins_b_015,A,,,,2603,485,3088,
ins_b_016,,,,,0,0,0,
ins_b_017,,,,,0,0,0,
ins_b_018,60.00,,,,1969,1434,3403,
ins_b_019,211.50,,,,3736,1523,5259,
ins_b_020,ACD,,,,2603,485,3088,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
