qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,165686,41006,206692,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2402,1415,3817,
fc_b_002,ACD,,,,4005,477,4482,
fc_b_003,ABCD,,,,5766,490,6256,
fc_b_004,ABC,,,,4005,477,4482,
fc_b_005,1468.47%,740.58%,,,5960,3365,9325,
fc_b_006,B,,,,5766,490,6256,
fc_b_007,,,,,1,1,2,
fc_b_008,ABC,,,,5157,480,5637,
fc_b_009,,,,,1,1,2,
fc_b_010,BCD,,,,3801,433,4234,
fc_b_011,ABC,,,,5766,490,6256,
fc_b_012,BCD,,,,5157,480,5637,
fc_b_013,A,,,,3801,433,4234,
fc_b_014,14.41,,,,2695,1437,4132,
fc_b_015,CD,,,,3801,433,4234,
fc_b_016,,,,,1,1,2,
fc_b_017,,,,,1,1,2,
fc_b_018,ABD,,,,4005,477,4482,
fc_b_019,,,,,1,1,2,
fc_b_020,2.30,,,,2265,1415,3680,
fin_b_001,,,,,1,1,2,
fin_b_002,,,,,1,1,2,
fin_b_003,,,,,1,1,2,
fin_b_004,,,,,1,1,2,
fin_b_005,,,,,1,1,2,
fin_b_006,,,,,1,1,2,
fin_b_007,,,,,1,1,2,
fin_b_008,,,,,1,1,2,
fin_b_009,,,,,1,1,2,
fin_b_010,,,,,1,1,2,
fin_b_011,,,,,1,1,2,
fin_b_012,,,,,1,1,2,
fin_b_013,,,,,1,1,2,
fin_b_014,,,,,1,1,2,
fin_b_015,,,,,1,1,2,
fin_b_016,,,,,1,1,2,
fin_b_017,,,,,1,1,2,
fin_b_018,,,,,1,1,2,
fin_b_019,,,,,1,1,2,
fin_b_020,,,,,1,1,2,
ins_b_001,,,,,1,1,2,
ins_b_002,,,,,1,0,1,
ins_b_003,,,,,0,0,0,
ins_b_004,,,,,0,0,0,
ins_b_005,,,,,0,0,0,
ins_b_006,,,,,0,0,0,
ins_b_007,,,,,0,0,0,
ins_b_008,,,,,0,0,0,
ins_b_009,,,,,0,0,0,
ins_b_010,,,,,0,0,0,
ins_b_011,,,,,0,0,0,
ins_b_012,,,,,0,0,0,
ins_b_013,,,,,0,0,0,
ins_b_014,,,,,0,0,0,
ins_b_015,,,,,0,0,0,
ins_b_016,,,,,0,0,0,
ins_b_017,,,,,0,0,0,
ins_b_018,,,,,0,0,0,
ins_b_019,,,,,0,0,0,
ins_b_020,,,,,0,0,0,
reg_b_001,,,,,0,0,0,
reg_b_003,2026年3月30日,,,,6143,3455,9598,
reg_b_004,2026年6月30日,,,,2649,1483,4132,
reg_b_005,B,,,,2138,431,2569,
reg_b_007,30.00,,,,2580,1363,3943,
reg_b_008,BC,,,,2138,431,2569,
reg_b_009,BC,,,,2380,295,2675,
reg_b_013,B,,,,2138,431,2569,
reg_b_014,99.00,,,,2473,1361,3834,
reg_b_015,AC,,,,2138,431,2569,
reg_b_016,2.00,,,,2629,1398,4027,
reg_b_017,AC,,,,2448,299,2747,
reg_b_018,2026年4月1日,,,,2714,1554,4268,
reg_b_020,B,,,,2206,435,2641,
reg_b_021,B,,,,2448,299,2747,
reg_b_023,AB,,,,2448,299,2747,
reg_b_024,B,,,,2206,435,2641,
reg_b_025,AC,,,,2448,299,2747,
reg_b_026,B,,,,2206,435,2641,
reg_b_027,BD,,,,2206,435,2641,
res_b_001,AB,,,,3142,590,3732,
res_b_002,AC,,,,3416,457,3873,
res_b_003,AB,,,,3416,457,3873,
res_b_004,BCD,,,,3142,590,3732,
res_b_005,22.19,,,,2481,1930,4411,
res_b_006,AB,,,,3416,457,3873,
res_b_007,61.98,,,,2260,1489,3749,
res_b_008,,,,,0,0,0,
res_b_009,ABC,,,,3416,457,3873,
res_b_010,AC,,,,3416,457,3873,
res_b_011,BC,,,,3142,590,3732,
res_b_012,67.10,,,,2198,1738,3936,
res_b_013,,,,,0,0,0,
res_b_014,CD,,,,3142,590,3732,
res_b_015,B,,,,3142,590,3732,
res_b_016,BD,,,,3142,590,3732,
res_b_017,AC,,,,3416,457,3873,
res_b_018,,,,,0,0,0,
res_b_019,AB,,,,3142,590,3732,
res_b_020,BD,,,,3142,590,3732,
