qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,987869,178515,1166384,
fc_b_001,,,,,807,100,907,
fc_b_002,,,,,807,100,907,
fc_b_003,,,,,807,100,907,
fc_b_004,,,,,807,100,907,
fc_b_005,,,,,807,100,907,
fc_b_006,,,,,807,100,907,
fc_b_007,,,,,807,100,907,
fc_b_008,,,,,807,100,907,
fc_b_009,,,,,807,100,907,
fc_b_010,,,,,807,100,907,
fc_b_011,,,,,807,100,907,
fc_b_012,,,,,807,100,907,
fc_b_013,,,,,807,100,907,
fc_b_014,,,,,807,100,907,
fc_b_015,,,,,807,100,907,
fc_b_016,,,,,807,100,907,
fc_b_017,,,,,807,100,907,
fc_b_018,,,,,807,100,907,
fc_b_019,,,,,807,100,907,
fc_b_020,,,,,807,100,907,
fin_b_001,ACD,,,,37073,7912,44985,
fin_b_002,BCD,,,,50735,8186,58921,
fin_b_003,ABCD,,,,54184,8292,62476,
fin_b_004,C,,,,82955,19520,102475,
fin_b_005,ACD,,,,60332,7609,67941,
fin_b_006,BC,,,,31175,7428,38603,
fin_b_007,ABD,,,,38766,7763,46529,
fin_b_008,AC,,,,93315,19780,113095,
fin_b_009,BCD,,,,49555,7625,57180,
fin_b_010,AD,,,,58282,8598,66880,
fin_b_011,ABC,,,,61601,7831,69432,
fin_b_012,AB,,,,43211,7098,50309,
fin_b_013,40.05,10.10,,,29335,6069,35404,
fin_b_014,1.12,9.82,8.70,,33299,7289,40588,
fin_b_015,宁德时代>美的集团,19.75,,,32716,4625,37341,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,44981,6050,51031,
fin_b_017,1049321.98,0.08,,,21563,5205,26768,
fin_b_018,2.58,7.65,,,25887,4902,30789,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,36945,7919,44864,
fin_b_020,112.32,112.31,0.01,,37459,10870,48329,
ins_b_001,,,,,806,100,906,
ins_b_002,,,,,806,100,906,
ins_b_003,,,,,806,100,906,
ins_b_004,,,,,806,100,906,
ins_b_005,,,,,806,99,905,
ins_b_006,,,,,806,99,905,
ins_b_007,,,,,806,99,905,
ins_b_008,,,,,806,99,905,
ins_b_009,,,,,806,99,905,
ins_b_010,,,,,806,99,905,
ins_b_011,,,,,806,99,905,
ins_b_012,,,,,806,99,905,
ins_b_013,,,,,806,99,905,
ins_b_014,,,,,806,99,905,
ins_b_015,,,,,806,99,905,
ins_b_016,,,,,806,99,905,
ins_b_017,,,,,806,99,905,
ins_b_018,,,,,806,99,905,
ins_b_019,,,,,806,99,905,
ins_b_020,,,,,806,99,905,
reg_b_001,,,,,806,99,905,
reg_b_003,,,,,806,99,905,
reg_b_004,,,,,806,99,905,
reg_b_005,,,,,806,99,905,
reg_b_007,,,,,806,99,905,
reg_b_008,,,,,806,99,905,
reg_b_009,,,,,806,99,905,
reg_b_013,,,,,806,99,905,
reg_b_014,,,,,806,99,905,
reg_b_015,,,,,806,99,905,
reg_b_016,,,,,806,99,905,
reg_b_017,,,,,806,99,905,
reg_b_018,,,,,806,99,905,
reg_b_020,,,,,806,99,905,
reg_b_021,,,,,806,99,905,
reg_b_023,,,,,806,99,905,
reg_b_024,,,,,806,99,905,
reg_b_025,,,,,806,99,905,
reg_b_026,,,,,806,99,905,
reg_b_027,,,,,806,99,905,
res_b_001,,,,,806,99,905,
res_b_002,,,,,806,99,905,
res_b_003,,,,,806,99,905,
res_b_004,,,,,806,99,905,
res_b_005,,,,,806,99,905,
res_b_006,,,,,806,99,905,
res_b_007,,,,,806,99,905,
res_b_008,,,,,806,99,905,
res_b_009,,,,,806,99,905,
res_b_010,,,,,806,99,905,
res_b_011,,,,,806,99,905,
res_b_012,,,,,806,99,905,
res_b_013,,,,,806,99,905,
res_b_014,,,,,806,99,905,
res_b_015,,,,,806,99,905,
res_b_016,,,,,806,99,905,
res_b_017,,,,,806,99,905,
res_b_018,,,,,806,99,905,
res_b_019,,,,,806,99,905,
res_b_020,,,,,806,99,905,
