qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,483869,114258,598127,
fc_b_001,,,,,1001,110,1111,
fc_b_002,,,,,1001,110,1111,
fc_b_003,,,,,1001,110,1111,
fc_b_004,,,,,1001,110,1111,
fc_b_005,,,,,1001,110,1111,
fc_b_006,,,,,1001,110,1111,
fc_b_007,,,,,1001,110,1111,
fc_b_008,,,,,1001,110,1111,
fc_b_009,,,,,1001,110,1111,
fc_b_010,,,,,1001,110,1111,
fc_b_011,,,,,1001,110,1111,
fc_b_012,,,,,1001,110,1111,
fc_b_013,,,,,1001,110,1111,
fc_b_014,,,,,1001,110,1111,
fc_b_015,,,,,1001,110,1111,
fc_b_016,,,,,1001,110,1111,
fc_b_017,,,,,1001,110,1111,
fc_b_018,,,,,1001,110,1111,
fc_b_019,,,,,1001,110,1111,
fc_b_020,,,,,1001,110,1111,
fin_b_001,,,,,1001,110,1111,
fin_b_002,,,,,1001,110,1111,
fin_b_003,,,,,1001,110,1111,
fin_b_004,,,,,1001,110,1111,
fin_b_005,,,,,1001,110,1111,
fin_b_006,,,,,1001,110,1111,
fin_b_007,,,,,1001,110,1111,
fin_b_008,,,,,1001,110,1111,
fin_b_009,,,,,1001,110,1111,
fin_b_010,,,,,1001,110,1111,
fin_b_011,,,,,1001,110,1111,
fin_b_012,,,,,1001,110,1111,
fin_b_013,,,,,1001,110,1111,
fin_b_014,,,,,1001,110,1111,
fin_b_015,,,,,1001,110,1111,
fin_b_016,,,,,1001,110,1111,
fin_b_017,,,,,1001,110,1111,
fin_b_018,,,,,1001,110,1111,
fin_b_019,,,,,1001,110,1111,
fin_b_020,,,,,1001,110,1111,
ins_b_001,333.20,,,,14615,6034,20649,
ins_b_002,BC,,,,16863,5164,22027,
ins_b_003,366.00,,,,15548,6799,22347,
ins_b_004,BCD,,,,21934,4672,26606,
ins_b_005,BD,,,,23240,4562,27802,
ins_b_006,BCD,,,,24897,3798,28695,
ins_b_007,BC,,,,20664,4234,24898,
ins_b_008,ACD,,,,24171,8696,32867,
ins_b_009,BCD,,,,23412,4580,27992,
ins_b_010,A,,,,24761,8141,32902,
ins_b_011,16.00,,,,11543,5882,17425,
ins_b_012,BCD,,,,24109,4297,28406,
ins_b_013,BD,,,,27689,4573,32262,
ins_b_014,ACD,,,,13516,3832,17348,
ins_b_015,AC,,,,21853,4106,25959,
ins_b_016,ABD,,,,20882,4139,25021,
ins_b_017,ABCD,,,,25892,4459,30351,
ins_b_018,60.00,,,,11958,5702,17660,
ins_b_019,211.50,,,,14576,6953,21529,
ins_b_020,ACD,,,,21681,4867,26548,
reg_b_001,,,,,1001,110,1111,
reg_b_003,,,,,1001,110,1111,
reg_b_004,,,,,1001,110,1111,
reg_b_005,,,,,1001,110,1111,
reg_b_007,,,,,1001,110,1111,
reg_b_008,,,,,1001,110,1111,
reg_b_009,,,,,1001,110,1111,
reg_b_013,,,,,1001,110,1111,
reg_b_014,,,,,1001,109,1110,
reg_b_015,,,,,1001,109,1110,
reg_b_016,,,,,1001,109,1110,
reg_b_017,,,,,1001,109,1110,
reg_b_018,,,,,1001,109,1110,
reg_b_020,,,,,1001,109,1110,
reg_b_021,,,,,1001,109,1110,
reg_b_023,,,,,1001,109,1110,
reg_b_024,,,,,1001,109,1110,
reg_b_025,,,,,1001,109,1110,
reg_b_026,,,,,1001,109,1110,
reg_b_027,,,,,1001,109,1110,
res_b_001,,,,,1001,109,1110,
res_b_002,,,,,1001,109,1110,
res_b_003,,,,,1001,109,1110,
res_b_004,,,,,1001,109,1110,
res_b_005,,,,,1001,109,1110,
res_b_006,,,,,1000,109,1109,
res_b_007,,,,,1000,109,1109,
res_b_008,,,,,1000,109,1109,
res_b_009,,,,,1000,109,1109,
res_b_010,,,,,1000,109,1109,
res_b_011,,,,,1000,109,1109,
res_b_012,,,,,1000,109,1109,
res_b_013,,,,,1000,109,1109,
res_b_014,,,,,1000,109,1109,
res_b_015,,,,,1000,109,1109,
res_b_016,,,,,1000,109,1109,
res_b_017,,,,,1000,109,1109,
res_b_018,,,,,1000,109,1109,
res_b_019,,,,,1000,109,1109,
res_b_020,,,,,1000,109,1109,
