qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,124266,33372,157638,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2387,1502,3889,
fc_b_002,ACD,,,,3990,432,4422,
fc_b_003,ABCD,,,,5751,624,6375,
fc_b_004,BC,,,,3990,432,4422,
fc_b_005,1468.47%,740.58%,,,6180,3671,9851,
fc_b_006,B,,,,5751,624,6375,
fc_b_007,BC,,,,3644,552,4196,
fc_b_008,ABC,,,,3644,552,4196,
fc_b_009,ABD,,,,3644,552,4196,
fc_b_010,BCD,,,,3903,1230,5133,
fc_b_011,ABC,,,,5751,624,6375,
fc_b_012,BCD,,,,4308,267,4575,
fc_b_013,A,,,,3146,1031,4177,
fc_b_014,14.41,,,,2680,1401,4081,
fc_b_015,CD,,,,3903,1230,5133,
fc_b_016,B,,,,3146,1031,4177,
fc_b_017,CD,,,,3903,1229,5132,
fc_b_018,ABD,,,,3990,431,4421,
fc_b_019,ABCD,,,,3146,1030,4176,
fc_b_020,2.30,,,,2250,1320,3570,
fin_b_001,,,,,1,0,1,
fin_b_002,,,,,1,0,1,
fin_b_003,,,,,1,0,1,
fin_b_004,,,,,1,0,1,
fin_b_005,,,,,1,0,1,
fin_b_006,,,,,1,0,1,
fin_b_007,,,,,1,0,1,
fin_b_008,,,,,1,0,1,
fin_b_009,,,,,1,0,1,
fin_b_010,,,,,1,0,1,
fin_b_011,,,,,1,0,1,
fin_b_012,,,,,1,0,1,
fin_b_013,,,,,1,0,1,
fin_b_014,,,,,1,0,1,
fin_b_015,,,,,1,0,1,
fin_b_016,,,,,1,0,1,
fin_b_017,,,,,1,0,1,
fin_b_018,,,,,1,0,1,
fin_b_019,,,,,1,0,1,
fin_b_020,,,,,1,0,1,
ins_b_001,,,,,1,0,1,
ins_b_002,,,,,1,0,1,
ins_b_003,,,,,1,0,1,
ins_b_004,,,,,0,0,0,
ins_b_005,,,,,0,0,0,
ins_b_006,,,,,0,0,0,
ins_b_007,,,,,0,0,0,
ins_b_008,,,,,0,0,0,
ins_b_009,,,,,0,0,0,
ins_b_010,,,,,0,0,0,
ins_b_011,,,,,0,0,0,
ins_b_012,,,,,0,0,0,
ins_b_013,,,,,0,0,0,
ins_b_014,,,,,0,0,0,
ins_b_015,,,,,0,0,0,
ins_b_016,,,,,0,0,0,
ins_b_017,,,,,0,0,0,
ins_b_018,,,,,0,0,0,
ins_b_019,,,,,0,0,0,
ins_b_020,,,,,0,0,0,
reg_b_001,AC,,,,2160,360,2520,
reg_b_003,2026年3月29日,,,,2556,1624,4180,
reg_b_004,2026年6月30日,,,,2634,1411,4045,
reg_b_005,BCD,,,,2018,310,2328,
reg_b_007,30.00,,,,2565,1386,3951,
reg_b_008,BC,,,,2018,310,2328,
reg_b_009,BC,,,,2160,360,2520,
reg_b_013,B,,,,2018,310,2328,
reg_b_014,99.25,,,,2362,1570,3932,
reg_b_015,AC,,,,2160,360,2520,
reg_b_016,2.00,,,,2681,1418,4099,
reg_b_017,AC,,,,2227,368,2595,
reg_b_018,2026年4月1日,,,,2698,1494,4192,
reg_b_020,B,,,,2085,318,2403,
reg_b_021,B,,,,2085,318,2403,
reg_b_023,AB,,,,2227,368,2595,
reg_b_024,B,,,,2085,318,2403,
reg_b_025,AC,,,,2227,368,2595,
reg_b_026,B,,,,2085,318,2403,
reg_b_027,BD,,,,2085,318,2403,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
