qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1005200,171394,1176594,
fc_b_001,,,,,1685,189,1874,
fc_b_002,,,,,1685,189,1874,
fc_b_003,,,,,1685,189,1874,
fc_b_004,,,,,1685,189,1874,
fc_b_005,,,,,1685,189,1874,
fc_b_006,,,,,1685,189,1874,
fc_b_007,B,,,,15407,3230,18637,
fc_b_008,,,,,1685,189,1874,
fc_b_009,ABD,,,,18882,1363,20245,
fc_b_010,,,,,1685,189,1874,
fc_b_011,,,,,1685,189,1874,
fc_b_012,,,,,1685,189,1874,
fc_b_013,,,,,1685,189,1874,
fc_b_014,,,,,1685,189,1874,
fc_b_015,,,,,1685,189,1874,
fc_b_016,C,,,,13964,1125,15089,
fc_b_017,BC,,,,20120,1253,21373,
fc_b_018,,,,,1685,189,1874,
fc_b_019,ABC,,,,35226,5229,40455,
fc_b_020,,,,,1685,189,1874,
fin_b_001,,,,,1685,189,1874,
fin_b_002,,,,,1685,189,1874,
fin_b_003,ABCD,,,,51587,7063,58650,
fin_b_004,AB,,,,71974,17409,89383,
fin_b_005,,,,,1685,189,1874,
fin_b_006,BC,,,,27475,5392,32867,
fin_b_007,ABD,,,,36451,5634,42085,
fin_b_008,,,,,1685,189,1874,
fin_b_009,,,,,1684,189,1873,
fin_b_010,,,,,1684,189,1873,
fin_b_011,,,,,1684,189,1873,
fin_b_012,AB,,,,40547,6194,46741,
fin_b_013,,,,,1684,189,1873,
fin_b_014,1.12,9.82,8.70,,26893,5298,32191,
fin_b_015,宁德时代>美的集团,19.75,,,24416,2884,27300,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,37644,12096,49740,
fin_b_017,,,,,1684,189,1873,
fin_b_018,,,,,1684,189,1873,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,26755,7101,33856,
fin_b_020,,,,,1684,189,1873,
ins_b_001,,,,,1684,189,1873,
ins_b_002,BC,,,,27232,5969,33201,
ins_b_003,366.00,,,,16543,5637,22180,
ins_b_004,BCD,,,,33039,6877,39916,
ins_b_005,BD,,,,30788,6752,37540,
ins_b_006,,,,,1684,189,1873,
ins_b_007,,,,,1684,189,1873,
ins_b_008,,,,,1684,189,1873,
ins_b_009,BCD,,,,34874,5287,40161,
ins_b_010,AB,,,,44385,8268,52653,
ins_b_011,,,,,1684,189,1873,
ins_b_012,BCD,,,,37762,4034,41796,
ins_b_013,,,,,1684,189,1873,
ins_b_014,ACD,,,,20367,4160,24527,
ins_b_015,,,,,1684,189,1873,
ins_b_016,ABD,,,,30683,4432,35115,
ins_b_017,ABCD,,,,38192,6610,44802,
ins_b_018,,,,,1684,189,1873,
ins_b_019,,,,,1684,189,1873,
ins_b_020,,,,,1684,189,1873,
reg_b_001,ACD,,,,29248,4487,33735,
reg_b_003,,,,,1684,189,1873,
reg_b_004,,,,,1684,189,1873,
reg_b_005,,,,,1684,189,1873,
reg_b_007,,,,,1684,189,1873,
reg_b_008,,,,,1684,189,1873,
reg_b_009,,,,,1684,189,1873,
reg_b_013,,,,,1684,189,1873,
reg_b_014,,,,,1684,189,1873,
reg_b_015,,,,,1684,188,1872,
reg_b_016,,,,,1684,188,1872,
reg_b_017,,,,,1684,188,1872,
reg_b_018,,,,,1684,188,1872,
reg_b_020,,,,,1684,188,1872,
reg_b_021,,,,,1684,188,1872,
reg_b_023,,,,,1684,188,1872,
reg_b_024,,,,,1684,188,1872,
reg_b_025,,,,,1684,188,1872,
reg_b_026,,,,,1684,188,1872,
reg_b_027,,,,,1684,188,1872,
res_b_001,,,,,1684,188,1872,
res_b_002,,,,,1684,188,1872,
res_b_003,,,,,1684,188,1872,
res_b_004,,,,,1684,188,1872,
res_b_005,,,,,1684,188,1872,
res_b_006,,,,,1684,188,1872,
res_b_007,,,,,1684,188,1872,
res_b_008,C,,,,24517,3222,27739,
res_b_009,,,,,1684,188,1872,
res_b_010,,,,,1684,188,1872,
res_b_011,,,,,1684,188,1872,
res_b_012,,,,,1684,188,1872,
res_b_013,A,,,,27718,4050,31768,
res_b_014,,,,,1684,188,1872,
res_b_015,,,,,1684,188,1872,
res_b_016,,,,,1684,188,1872,
res_b_017,,,,,1684,188,1872,
res_b_018,BCD,,,,41244,6758,48002,
res_b_019,,,,,1684,188,1872,
res_b_020,,,,,1684,188,1872,
