qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,187024,46452,233476,
fc_b_001,,,,,1,1,2,
fc_b_002,,,,,1,1,2,
fc_b_003,,,,,1,1,2,
fc_b_004,,,,,1,1,2,
fc_b_005,,,,,1,1,2,
fc_b_006,,,,,1,1,2,
fc_b_007,,,,,1,1,2,
fc_b_008,,,,,1,1,2,
fc_b_009,,,,,1,1,2,
fc_b_010,,,,,1,1,2,
fc_b_011,,,,,1,1,2,
fc_b_012,,,,,1,1,2,
fc_b_013,,,,,0,1,1,
fc_b_014,,,,,0,1,1,
fc_b_015,,,,,0,1,1,
fc_b_016,,,,,0,1,1,
fc_b_017,,,,,0,1,1,
fc_b_018,,,,,0,1,1,
fc_b_019,,,,,0,1,1,
fc_b_020,,,,,0,1,1,
fin_b_001,ACD,,,,3936,643,4579,
fin_b_002,BCD,,,,3936,643,4579,
fin_b_003,ABCD,,,,3936,643,4579,
fin_b_004,AB,,,,3936,643,4579,
fin_b_005,ACD,,,,5050,831,5881,
fin_b_006,ABC,,,,3936,642,4578,
fin_b_007,BD,,,,3936,642,4578,
fin_b_008,AC,,,,18899,2501,21400,
fin_b_009,C,,,,11163,2220,13383,
fin_b_010,ABCD,,,,3936,642,4578,
fin_b_011,ABC,,,,5050,830,5880,
fin_b_012,AB,,,,16444,2327,18771,
fin_b_013,40.05,10.10,,,8342,4025,12367,
fin_b_014,1.39,10.31,8.92,,7057,2587,9644,
fin_b_015,宁德时代>美的集团,25.11,,,5873,1706,7579,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,6774,1775,8549,
fin_b_017,1049321.98,0.08,,,2398,1554,3952,
fin_b_018,2.58,7.65,,,4448,1502,5950,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,5356,1769,7125,
fin_b_020,112.33,112.31,0.02,,4259,1936,6195,
ins_b_001,333.20,,,,3696,1729,5425,
ins_b_002,B,,,,2417,533,2950,
ins_b_003,322.00,,,,2356,1752,4108,
ins_b_004,C,,,,2417,533,2950,
ins_b_005,B,,,,6910,526,7436,
ins_b_006,BCD,,,,2417,533,2950,
ins_b_007,C,,,,2417,533,2950,
ins_b_008,ABCD,,,,2417,533,2950,
ins_b_009,BCD,,,,2365,523,2888,
ins_b_010,B,,,,2365,523,2888,
ins_b_011,16.00,,,,1737,1523,3260,
ins_b_012,BD,,,,2365,523,2888,
ins_b_013,BD,,,,2417,533,2950,
ins_b_014,ACD,,,,2417,533,2950,
ins_b_015,AC,,,,2365,523,2888,
ins_b_016,AB,,,,2365,523,2888,
ins_b_017,A,,,,6940,933,7873,
ins_b_018,60.00,,,,1916,1484,3400,
ins_b_019,211.50,,,,3683,1555,5238,
ins_b_020,ACD,,,,2365,523,2888,
reg_b_001,,,,,0,0,0,
reg_b_003,,,,,0,0,0,
reg_b_004,,,,,0,0,0,
reg_b_005,,,,,0,0,0,
reg_b_007,,,,,0,0,0,
reg_b_008,,,,,0,0,0,
reg_b_009,,,,,0,0,0,
reg_b_013,,,,,0,0,0,
reg_b_014,,,,,0,0,0,
reg_b_015,,,,,0,0,0,
reg_b_016,,,,,0,0,0,
reg_b_017,,,,,0,0,0,
reg_b_018,,,,,0,0,0,
reg_b_020,,,,,0,0,0,
reg_b_021,,,,,0,0,0,
reg_b_023,,,,,0,0,0,
reg_b_024,,,,,0,0,0,
reg_b_025,,,,,0,0,0,
reg_b_026,,,,,0,0,0,
reg_b_027,,,,,0,0,0,
res_b_001,,,,,0,0,0,
res_b_002,,,,,0,0,0,
res_b_003,,,,,0,0,0,
res_b_004,,,,,0,0,0,
res_b_005,,,,,0,0,0,
res_b_006,,,,,0,0,0,
res_b_007,,,,,0,0,0,
res_b_008,,,,,0,0,0,
res_b_009,,,,,0,0,0,
res_b_010,,,,,0,0,0,
res_b_011,,,,,0,0,0,
res_b_012,,,,,0,0,0,
res_b_013,,,,,0,0,0,
res_b_014,,,,,0,0,0,
res_b_015,,,,,0,0,0,
res_b_016,,,,,0,0,0,
res_b_017,,,,,0,0,0,
res_b_018,,,,,0,0,0,
res_b_019,,,,,0,0,0,
res_b_020,,,,,0,0,0,
