qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,187991,50573,238564,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2387,1354,3741,
fc_b_002,ACD,,,,3990,546,4536,
fc_b_003,ABCD,,,,5751,587,6338,
fc_b_004,ABC,,,,3990,546,4536,
fc_b_005,1468.47%,740.58%,,,5945,3459,9404,
fc_b_006,B,,,,5751,587,6338,
fc_b_007,BC,,,,3644,715,4359,
fc_b_008,ABC,,,,3644,715,4359,
fc_b_009,ABD,,,,3644,715,4359,
fc_b_010,BCD,,,,3903,1386,5289,
fc_b_011,ABC,,,,5751,587,6338,
fc_b_012,BCD,,,,4308,267,4575,
fc_b_013,B,,,,3146,1084,4230,
fc_b_014,14.41,,,,2680,1382,4062,
fc_b_015,CD,,,,3903,1386,5289,
fc_b_016,D,,,,3146,1084,4230,
fc_b_017,CD,,,,3903,1386,5289,
fc_b_018,ABD,,,,3990,546,4536,
fc_b_019,ABCD,,,,3146,1084,4230,
fc_b_020,2.30,,,,2250,1406,3656,
fin_b_001,,,,,1,1,2,
fin_b_002,,,,,1,1,2,
fin_b_003,,,,,1,1,2,
fin_b_004,,,,,1,1,2,
fin_b_005,,,,,1,1,2,
fin_b_006,,,,,1,1,2,
fin_b_007,,,,,1,1,2,
fin_b_008,,,,,1,0,1,
fin_b_009,,,,,1,0,1,
fin_b_010,,,,,1,0,1,
fin_b_011,,,,,1,0,1,
fin_b_012,,,,,1,0,1,
fin_b_013,,,,,1,0,1,
fin_b_014,,,,,1,0,1,
fin_b_015,,,,,1,0,1,
fin_b_016,,,,,1,0,1,
fin_b_017,,,,,1,0,1,
fin_b_018,,,,,1,0,1,
fin_b_019,,,,,1,0,1,
fin_b_020,,,,,1,0,1,
ins_b_001,,,,,1,0,1,
ins_b_002,,,,,1,0,1,
ins_b_003,,,,,1,0,1,
ins_b_004,,,,,1,0,1,
ins_b_005,,,,,1,0,1,
ins_b_006,,,,,1,0,1,
ins_b_007,,,,,1,0,1,
ins_b_008,,,,,1,0,1,
ins_b_009,,,,,1,0,1,
ins_b_010,,,,,1,0,1,
ins_b_011,,,,,1,0,1,
ins_b_012,,,,,1,0,1,
ins_b_013,,,,,1,0,1,
ins_b_014,,,,,1,0,1,
ins_b_015,,,,,1,0,1,
ins_b_016,,,,,1,0,1,
ins_b_017,,,,,1,0,1,
ins_b_018,,,,,1,0,1,
ins_b_019,,,,,1,0,1,
ins_b_020,,,,,1,0,1,
reg_b_001,AC,,,,2161,385,2546,
reg_b_003,2026年3月30日,,,,2557,1419,3976,
reg_b_004,2026年6月30日,,,,2635,1483,4118,
reg_b_005,BCD,,,,1985,539,2524,
reg_b_007,30.00,,,,2565,1359,3924,
reg_b_008,B,,,,1985,539,2524,
reg_b_009,BC,,,,2160,385,2545,
reg_b_013,B,,,,1985,539,2524,
reg_b_014,99.25,,,,2362,1505,3867,
reg_b_015,AC,,,,2160,385,2545,
reg_b_016,2.00,,,,2776,1421,4197,
reg_b_017,AC,,,,2227,391,2618,
reg_b_018,2026年4月1日,,,,2698,1593,4291,
reg_b_020,B,,,,2052,545,2597,
reg_b_021,B,,,,2052,545,2597,
reg_b_023,AB,,,,2227,391,2618,
reg_b_024,B,,,,2052,545,2597,
reg_b_025,AC,,,,2227,391,2618,
reg_b_026,B,,,,2052,545,2597,
reg_b_027,BD,,,,2052,545,2597,
res_b_001,AB,,,,3214,636,3850,
res_b_002,AC,,,,3245,442,3687,
res_b_003,AB,,,,3245,442,3687,
res_b_004,BCD,,,,3214,636,3850,
res_b_005,22.19,,,,2467,1598,4065,
res_b_006,AB,,,,3214,636,3850,
res_b_007,61.98,,,,2246,1475,3721,
res_b_008,A,,,,3214,636,3850,
res_b_009,ABC,,,,5540,968,6508,
res_b_010,AC,,,,3245,442,3687,
res_b_011,BC,,,,3214,636,3850,
res_b_012,67.10,,,,2184,1629,3813,
res_b_013,AB,,,,3214,636,3850,
res_b_014,CD,,,,3245,442,3687,
res_b_015,B,,,,3245,442,3687,
res_b_016,BD,,,,3214,636,3850,
res_b_017,AC,,,,3245,442,3687,
res_b_018,ACD,,,,3245,442,3687,
res_b_019,AB,,,,3214,636,3850,
res_b_020,BD,,,,3245,442,3687,
