qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,392807,107728,500535,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2387,1370,3757,
fc_b_002,ACD,,,,3990,517,4507,
fc_b_003,ABCD,,,,5751,625,6376,
fc_b_004,ABC,,,,3990,517,4507,
fc_b_005,1468.47%,740.58%,,,6086,3597,9683,
fc_b_006,B,,,,5751,625,6376,
fc_b_007,ABC,,,,3644,456,4100,
fc_b_008,ABC,,,,3644,456,4100,
fc_b_009,ABD,,,,3644,456,4100,
fc_b_010,BCD,,,,3903,1043,4946,
fc_b_011,ABC,,,,5751,625,6376,
fc_b_012,BCD,,,,5127,276,5403,
fc_b_013,A,,,,3146,918,4064,
fc_b_014,14.41,,,,2680,1359,4039,
fc_b_015,CD,,,,3903,1043,4946,
fc_b_016,D,,,,3146,918,4064,
fc_b_017,C,,,,3903,1043,4946,
fc_b_018,ABD,,,,3990,517,4507,
fc_b_019,ABCD,,,,3146,918,4064,
fc_b_020,2.30,,,,2250,1523,3773,
fin_b_001,ACD,,,,3937,667,4604,
fin_b_002,BCD,,,,3937,667,4604,
fin_b_003,AD,,,,3937,667,4604,
fin_b_004,AB,,,,3937,667,4604,
fin_b_005,ACD,,,,5051,1045,6096,
fin_b_006,D,,,,3937,667,4604,
fin_b_007,BD,,,,3937,667,4604,
fin_b_008,AC,,,,20981,2752,23733,
fin_b_009,C,,,,11164,4621,15785,
fin_b_010,ACD,,,,3937,667,4604,
fin_b_011,ABC,,,,5051,1045,6096,
fin_b_012,AB,,,,21267,3001,24268,
fin_b_013,16.83,3.69,,,3284,1774,5058,
fin_b_014,,,,,15444,5613,21057,
fin_b_015,宁德时代>美的集团,25.11,,,5874,3749,9623,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,11113,2082,13195,
fin_b_017,1049321.98,0.08,,,2399,1638,4037,
fin_b_018,2.58,7.65,,,4449,1497,5946,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,5357,2605,7962,
fin_b_020,1123.23,112.31,1010.92,,5124,1713,6837,
ins_b_001,333.20,,,,3697,1524,5221,
ins_b_002,B,,,,2418,612,3030,
ins_b_003,322.00,,,,5169,5183,10352,
ins_b_004,CD,,,,2418,612,3030,
ins_b_005,BD,,,,2366,480,2846,
ins_b_006,B,,,,2418,612,3030,
ins_b_007,C,,,,2418,612,3030,
ins_b_008,A,,,,2418,612,3030,
ins_b_009,BCD,,,,2366,480,2846,
ins_b_010,B,,,,2366,480,2846,
ins_b_011,16.00,,,,1738,1644,3382,
ins_b_012,BD,,,,2366,480,2846,
ins_b_013,B,,,,2418,612,3030,
ins_b_014,A,,,,2418,612,3030,
ins_b_015,AC,,,,2366,480,2846,
ins_b_016,AB,,,,2366,480,2846,
ins_b_017,A,,,,6941,1012,7953,
ins_b_018,60.00,,,,1917,1428,3345,
ins_b_019,211.50,,,,3684,1563,5247,
ins_b_020,ACD,,,,2366,479,2845,
reg_b_001,AC,,,,2161,347,2508,
reg_b_003,2026年3月30日,,,,6129,3433,9562,
reg_b_004,2026年6月30日,,,,2635,1469,4104,
reg_b_005,BCD,,,,2077,381,2458,
reg_b_007,30.00,,,,2566,1398,3964,
reg_b_008,BC,,,,2077,381,2458,
reg_b_009,BC,,,,2161,347,2508,
reg_b_013,B,,,,2077,381,2458,
reg_b_014,99.25,,,,2363,2343,4706,
reg_b_015,AC,,,,2161,347,2508,
reg_b_016,2.00,,,,2777,1403,4180,
reg_b_017,AC,,,,2228,353,2581,
reg_b_018,2026年4月1日,,,,2699,1508,4207,
reg_b_020,B,,,,2144,387,2531,
reg_b_021,B,,,,2144,387,2531,
reg_b_023,AB,,,,2228,353,2581,
reg_b_024,B,,,,2144,387,2531,
reg_b_025,AC,,,,2228,353,2581,
reg_b_026,B,,,,2144,387,2531,
reg_b_027,BD,,,,2144,387,2531,
res_b_001,AB,,,,3215,472,3687,
res_b_002,AC,,,,3099,575,3674,
res_b_003,AB,,,,3099,575,3674,
res_b_004,BCD,,,,3215,472,3687,
res_b_005,22.19,,,,2467,1586,4053,
res_b_006,AB,,,,3098,575,3673,
res_b_007,61.98,,,,2246,1477,3723,
res_b_008,AC,,,,3214,472,3686,
res_b_009,ABC,,,,5540,1176,6716,
res_b_010,AC,,,,3098,575,3673,
res_b_011,BC,,,,3214,472,3686,
res_b_012,67.10,,,,2184,1778,3962,
res_b_013,AB,,,,3214,472,3686,
res_b_014,CD,,,,3098,575,3673,
res_b_015,BD,,,,3098,575,3673,
res_b_016,BD,,,,3214,472,3686,
res_b_017,AC,,,,3098,575,3673,
res_b_018,CD,,,,3098,575,3673,
res_b_019,AB,,,,3214,472,3686,
res_b_020,BD,,,,3214,472,3686,
