qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1020213,213465,1233678,
fc_b_001,,,,,1685,189,1874,
fc_b_002,,,,,1685,189,1874,
fc_b_003,,,,,1685,189,1874,
fc_b_004,,,,,1685,189,1874,
fc_b_005,,,,,1685,189,1874,
fc_b_006,,,,,1685,189,1874,
fc_b_007,B,,,,15407,3426,18833,
fc_b_008,,,,,1685,189,1874,
fc_b_009,ABD,,,,18882,1301,20183,
fc_b_010,,,,,1685,189,1874,
fc_b_011,,,,,1685,189,1874,
fc_b_012,,,,,1685,189,1874,
fc_b_013,,,,,1685,189,1874,
fc_b_014,,,,,1685,189,1874,
fc_b_015,,,,,1685,189,1874,
fc_b_016,C,,,,13964,1017,14981,
fc_b_017,BC,,,,20120,1286,21406,
fc_b_018,,,,,1685,189,1874,
fc_b_019,ABCD,,,,24621,1124,25745,
fc_b_020,,,,,1685,189,1874,
fin_b_001,,,,,1685,189,1874,
fin_b_002,,,,,1685,189,1874,
fin_b_003,ABCD,,,,51338,7980,59318,
fin_b_004,A,,,,50675,8070,58745,
fin_b_005,,,,,1685,189,1874,
fin_b_006,BC,,,,27253,7616,34869,
fin_b_007,ABD,,,,36226,7883,44109,
fin_b_008,,,,,1685,189,1874,
fin_b_009,,,,,1684,189,1873,
fin_b_010,,,,,1684,189,1873,
fin_b_011,,,,,1684,189,1873,
fin_b_012,ABCD,,,,67751,19396,87147,
fin_b_013,,,,,1684,189,1873,
fin_b_014,1.12,9.82,8.70,,38870,11447,50317,
fin_b_015,宁德时代>美的集团,19.75,,,24246,4358,28604,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,26037,8048,34085,
fin_b_017,,,,,1684,189,1873,
fin_b_018,,,,,1684,189,1873,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,26597,7397,33994,
fin_b_020,,,,,1684,189,1873,
ins_b_001,,,,,1684,189,1873,
ins_b_002,BC,,,,26740,7757,34497,
ins_b_003,366.00,,,,16907,7049,23956,
ins_b_004,BCD,,,,34215,7251,41466,
ins_b_005,BD,,,,48023,15088,63111,
ins_b_006,,,,,1684,188,1872,
ins_b_007,,,,,1684,188,1872,
ins_b_008,,,,,1684,188,1872,
ins_b_009,BCD,,,,34796,7171,41967,
ins_b_010,A,,,,46789,14571,61360,
ins_b_011,,,,,1684,188,1872,
ins_b_012,BCD,,,,35689,6222,41911,
ins_b_013,,,,,1684,188,1872,
ins_b_014,ACD,,,,21378,5783,27161,
ins_b_015,,,,,1684,188,1872,
ins_b_016,ABD,,,,31619,6373,37992,
ins_b_017,ABCD,,,,38870,7106,45976,
ins_b_018,,,,,1684,188,1872,
ins_b_019,,,,,1684,188,1872,
ins_b_020,,,,,1684,188,1872,
reg_b_001,ACD,,,,29248,9449,38697,
reg_b_003,,,,,1684,188,1872,
reg_b_004,,,,,1684,188,1872,
reg_b_005,,,,,1684,188,1872,
reg_b_007,,,,,1684,188,1872,
reg_b_008,,,,,1684,188,1872,
reg_b_009,,,,,1684,188,1872,
reg_b_013,,,,,1684,188,1872,
reg_b_014,,,,,1684,188,1872,
reg_b_015,,,,,1684,188,1872,
reg_b_016,,,,,1684,188,1872,
reg_b_017,,,,,1684,188,1872,
reg_b_018,,,,,1684,188,1872,
reg_b_020,,,,,1684,188,1872,
reg_b_021,,,,,1684,188,1872,
reg_b_023,,,,,1684,188,1872,
reg_b_024,,,,,1684,188,1872,
reg_b_025,,,,,1684,188,1872,
reg_b_026,,,,,1684,188,1872,
reg_b_027,,,,,1684,188,1872,
res_b_001,,,,,1684,188,1872,
res_b_002,,,,,1684,188,1872,
res_b_003,,,,,1684,188,1872,
res_b_004,,,,,1684,188,1872,
res_b_005,,,,,1684,188,1872,
res_b_006,,,,,1684,188,1872,
res_b_007,,,,,1684,188,1872,
res_b_008,C,,,,23723,3061,26784,
res_b_009,,,,,1684,188,1872,
res_b_010,,,,,1684,188,1872,
res_b_011,,,,,1684,188,1872,
res_b_012,,,,,1684,188,1872,
res_b_013,A,,,,27718,2288,30006,
res_b_014,,,,,1684,188,1872,
res_b_015,,,,,1684,188,1872,
res_b_016,,,,,1684,188,1872,
res_b_017,,,,,1684,188,1872,
res_b_018,CD,,,,41244,10384,51628,
res_b_019,,,,,1684,188,1872,
res_b_020,,,,,1684,188,1872,
