qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,187830,50903,238733,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2387,1436,3823,
fc_b_002,AC,,,,3990,1016,5006,
fc_b_003,ABCD,,,,5751,541,6292,
fc_b_004,ABC,,,,3990,1016,5006,
fc_b_005,1468.47%,740.58%,,,6092,3308,9400,
fc_b_006,B,,,,5751,541,6292,
fc_b_007,BC,,,,3644,675,4319,
fc_b_008,ABC,,,,3644,675,4319,
fc_b_009,ABD,,,,3644,675,4319,
fc_b_010,BCD,,,,3903,933,4836,
fc_b_011,ABC,,,,5751,541,6292,
fc_b_012,BCD,,,,4308,267,4575,
fc_b_013,A,,,,3146,1451,4597,
fc_b_014,14.41,,,,2680,1386,4066,
fc_b_015,CD,,,,3903,933,4836,
fc_b_016,A,,,,3146,1451,4597,
fc_b_017,C,,,,3903,933,4836,
fc_b_018,ABD,,,,3990,1016,5006,
fc_b_019,ABCD,,,,3146,1451,4597,
fc_b_020,2.30,,,,2250,1798,4048,
fin_b_001,,,,,1,1,2,
fin_b_002,,,,,1,1,2,
fin_b_003,,,,,1,1,2,
fin_b_004,,,,,1,1,2,
fin_b_005,,,,,1,1,2,
fin_b_006,,,,,1,0,1,
fin_b_007,,,,,1,0,1,
fin_b_008,,,,,1,0,1,
fin_b_009,,,,,1,0,1,
fin_b_010,,,,,1,0,1,
fin_b_011,,,,,1,0,1,
fin_b_012,,,,,1,0,1,
fin_b_013,,,,,1,0,1,
fin_b_014,,,,,1,0,1,
fin_b_015,,,,,1,0,1,
fin_b_016,,,,,1,0,1,
fin_b_017,,,,,1,0,1,
fin_b_018,,,,,1,0,1,
fin_b_019,,,,,1,0,1,
fin_b_020,,,,,1,0,1,
ins_b_001,,,,,1,0,1,
ins_b_002,,,,,1,0,1,
ins_b_003,,,,,1,0,1,
ins_b_004,,,,,1,0,1,
ins_b_005,,,,,1,0,1,
ins_b_006,,,,,1,0,1,
ins_b_007,,,,,1,0,1,
ins_b_008,,,,,1,0,1,
ins_b_009,,,,,1,0,1,
ins_b_010,,,,,1,0,1,
ins_b_011,,,,,1,0,1,
ins_b_012,,,,,1,0,1,
ins_b_013,,,,,1,0,1,
ins_b_014,,,,,1,0,1,
ins_b_015,,,,,1,0,1,
ins_b_016,,,,,1,0,1,
ins_b_017,,,,,1,0,1,
ins_b_018,,,,,1,0,1,
ins_b_019,,,,,1,0,1,
ins_b_020,,,,,1,0,1,
reg_b_001,AC,,,,2161,385,2546,
reg_b_003,2026年3月30日,,,,2557,1439,3996,
reg_b_004,2026年6月30日,,,,2635,1412,4047,
reg_b_005,BCD,,,,1972,419,2391,
reg_b_007,30.00,,,,2566,1350,3916,
reg_b_008,B,,,,1972,419,2391,
reg_b_009,BC,,,,2161,385,2546,
reg_b_013,B,,,,1971,419,2390,
reg_b_014,99.25,,,,2362,2155,4517,
reg_b_015,AC,,,,2160,385,2545,
reg_b_016,2.00,,,,2776,1397,4173,
reg_b_017,AC,,,,2227,394,2621,
reg_b_018,2026年4月1日,,,,2698,1404,4102,
reg_b_020,B,,,,2038,428,2466,
reg_b_021,B,,,,2038,428,2466,
reg_b_023,AB,,,,2227,394,2621,
reg_b_024,B,,,,2038,428,2466,
reg_b_025,AC,,,,2227,394,2621,
reg_b_026,B,,,,2038,428,2466,
reg_b_027,BD,,,,2038,428,2466,
res_b_001,AB,,,,3189,576,3765,
res_b_002,AD,,,,3245,441,3686,
res_b_003,AB,,,,3245,441,3686,
res_b_004,BCD,,,,3189,576,3765,
res_b_005,22.19,,,,2467,1562,4029,
res_b_006,A,,,,3189,576,3765,
res_b_007,61.98,,,,2246,1537,3783,
res_b_008,AC,,,,3189,576,3765,
res_b_009,ABC,,,,5540,1081,6621,
res_b_010,AC,,,,3245,441,3686,
res_b_011,B,,,,3189,576,3765,
res_b_012,67.10,,,,2184,1648,3832,
res_b_013,ABC,,,,3189,576,3765,
res_b_014,CD,,,,3245,441,3686,
res_b_015,B,,,,3245,441,3686,
res_b_016,BD,,,,3189,576,3765,
res_b_017,AC,,,,3245,441,3686,
res_b_018,CD,,,,3245,441,3686,
res_b_019,AB,,,,3189,576,3765,
res_b_020,BD,,,,3245,441,3686,
