qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,1741534,484051,2225585
fc_b_001,5.55%,5.36%,7.68%,7.35%,19021,5622,24643
fc_b_002,ACD,,,,15225,4017,19242
fc_b_003,ABCD,,,,15080,3970,19050
fc_b_004,ABC,,,,11305,2208,13513
fc_b_005,1468.47%,740.58%,,,17411,6258,23669
fc_b_006,B,,,,12093,2409,14502
fc_b_007,BC,,,,27463,4742,32205
fc_b_008,ABC,,,,12142,2409,14551
fc_b_009,ABD,,,,23152,4170,27322
fc_b_010,BCD,,,,12981,3111,16092
fc_b_011,ABC,,,,15499,4079,19578
fc_b_012,BCD,,,,15128,3236,18364
fc_b_013,B,,,,11220,2208,13428
fc_b_014,14.41,,,,22100,4990,27090
fc_b_015,CD,,,,12979,3110,16089
fc_b_016,A,,,,25576,4810,30386
fc_b_017,BC,,,,16444,4207,20651
fc_b_018,ABD,,,,15568,3735,19303
fc_b_019,ABCD,,,,35216,8425,43641
fc_b_020,2.30,,,,17433,5551,22984
fin_b_001,ACD,,,,14973,3486,18459
fin_b_002,BCD,,,,14958,3486,18444
fin_b_003,ABCD,,,,18343,3305,21648
fin_b_004,AB,,,,17325,5267,22592
fin_b_005,ACD,,,,25413,4615,30028
fin_b_006,ABC,,,,21331,7257,28588
fin_b_007,ABD,,,,18899,4659,23558
fin_b_008,AC,,,,18689,4998,23687
fin_b_009,BCD,,,,18376,3305,21681
fin_b_010,AD,,,,17339,5245,22584
fin_b_011,BC,,,,23988,4613,28601
fin_b_012,D,,,,34987,10317,45304
fin_b_013,40.05,10.10,,,23784,7191,30975
fin_b_014,1.12,9.82,8.69,,34430,11699,46129
fin_b_015,宁德时代>美的集团,19.75,,,21755,5255,27010
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,27360,6899,34259
fin_b_017,1049321.98,0.08,,,20158,6456,26614
fin_b_018,2.73,7.22,,,16842,6637,23479
fin_b_019,,,,,34265,14493,48758
fin_b_020,112.32,112.31,0.01,,20746,6732,27478
ins_b_001,333.20,,,,25900,6076,31976
ins_b_002,BC,,,,15432,4353,19785
ins_b_003,366.00,,,,37915,11144,49059
ins_b_004,BCD,,,,20834,4434,25268
ins_b_005,D,,,,24547,6862,31409
ins_b_006,BD,,,,20122,3687,23809
ins_b_007,C,,,,20473,4386,24859
ins_b_008,ABCD,,,,17937,4378,22315
ins_b_009,BCD,,,,22969,4327,27296
ins_b_010,AB,,,,19657,3706,23363
ins_b_011,16.00,,,,18404,5136,23540
ins_b_012,BC,,,,18396,4223,22619
ins_b_013,BD,,,,19188,3833,23021
ins_b_014,ACD,,,,12360,4182,16542
ins_b_015,AC,,,,21646,4239,25885
ins_b_016,ABD,,,,20473,3580,24053
ins_b_017,ABCD,,,,19775,4263,24038
ins_b_018,60.00,,,,18505,4112,22617
ins_b_019,211.50,,,,25931,6382,32313
ins_b_020,ACD,,,,24803,6844,31647
reg_b_001,ACD,,,,9234,1613,10847
reg_b_003,20260330.00,,,,7789,7404,15193
reg_b_004,20260630.00,,,,9719,12272,21991
reg_b_005,BCD,,,,11888,633,12521
reg_b_007,30.00,,,,7787,4580,12367
reg_b_008,BC,,,,11286,703,11989
reg_b_009,BC,,,,5104,691,5795
reg_b_013,B,,,,5393,452,5845
reg_b_014,99.25,,,,9710,5331,15041
reg_b_015,AC,,,,8019,1616,9635
reg_b_016,2.00,,,,7075,5959,13034
reg_b_017,AC,,,,5120,691,5811
reg_b_018,20260401.00,,,,9910,12459,22369
reg_b_020,B,,,,5455,452,5907
reg_b_021,B,,,,8743,661,9404
reg_b_023,AB,,,,4962,691,5653
reg_b_024,B,,,,12937,868,13805
reg_b_025,AC,,,,12374,4376,16750
reg_b_026,B,,,,9644,781,10425
reg_b_027,BD,,,,9073,675,9748
res_b_001,AB,,,,14707,3435,18142
res_b_002,AC,,,,14994,4467,19461
res_b_003,AB,,,,16634,4258,20892
res_b_004,BCD,,,,15697,4487,20184
res_b_005,22.19,,,,19469,7599,27068
res_b_006,AB,,,,22327,5976,28303
res_b_007,61.98,,,,17607,5495,23102
res_b_008,C,,,,15739,4357,20096
res_b_009,ABC,,,,13118,4349,17467
res_b_010,AC,,,,17709,4354,22063
res_b_011,BC,,,,12605,3368,15973
res_b_012,67.05,,,,20379,17790,38169
res_b_013,AB,,,,22896,7270,30166
res_b_014,CD,,,,17554,4402,21956
res_b_015,BD,,,,18136,4303,22439
res_b_016,BD,,,,16291,4129,20420
res_b_017,AC,,,,16502,4403,20905
res_b_018,ACD,,,,19137,7217,26354
res_b_019,AB,,,,14682,3435,18117
res_b_020,BD,,,,21865,6720,28585
