qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,1399263,294006,1693269
fc_b_001,5.55%,5.36%,7.68%,7.35%,12663,2990,15653
fc_b_002,ACD,,,,11942,2348,14290
fc_b_003,ABCD,,,,11602,2636,14238
fc_b_004,ABC,,,,14354,2678,17032
fc_b_005,1468.47%,740.58%,,,11917,3477,15394
fc_b_006,B,,,,15388,2926,18314
fc_b_007,B,,,,15402,2926,18328
fc_b_008,ABCD,,,,31048,5431,36479
fc_b_009,ABD,,,,16266,2838,19104
fc_b_010,BCD,,,,16178,3510,19688
fc_b_011,ABC,,,,12903,2594,15497
fc_b_012,BCD,,,,12177,1982,14159
fc_b_013,B,,,,14270,2678,16948
fc_b_014,14.41,,,,13216,3369,16585
fc_b_015,CD,,,,16177,3510,19687
fc_b_016,B,,,,14282,2674,16956
fc_b_017,BC,,,,15507,3244,18751
fc_b_018,ABD,,,,11726,2215,13941
fc_b_019,ABCD,,,,15509,3244,18753
fc_b_020,23.01,,,,12131,3354,15485
fin_b_001,ACD,,,,18080,3597,21677
fin_b_002,BCD,,,,18065,3597,21662
fin_b_003,ABCD,,,,21268,3656,24924
fin_b_004,AB,,,,36139,7306,43445
fin_b_005,ACD,,,,16664,3009,19673
fin_b_006,ABC,,,,12510,2897,15407
fin_b_007,ABD,,,,12637,2926,15563
fin_b_008,AC,,,,12523,3118,15641
fin_b_009,BCD,,,,21301,3656,24957
fin_b_010,ACD,,,,36145,6536,42681
fin_b_011,BC,,,,16165,3089,19254
fin_b_012,C,,,,20159,5382,25541
fin_b_013,40.05,10.10,,,14001,3816,17817
fin_b_014,1.12,9.82,8.69,,13434,3945,17379
fin_b_015,宁德时代>美的集团,19.75,,,12692,3655,16347
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,16091,3610,19701
fin_b_017,1049321.98,0.08,,,12211,3615,15826
fin_b_018,2.58,7.65,,,12055,3446,15501
fin_b_019,宁德时代>美的集团>比亚迪,1.29,,,14230,3630,17860
fin_b_020,112.32,112.31,0.01,,12154,3921,16075
ins_b_001,333.20,,,,15603,3631,19234
ins_b_002,BC,,,,13274,2855,16129
ins_b_003,366.00,,,,16178,3687,19865
ins_b_004,BCD,,,,15227,2795,18022
ins_b_005,BD,,,,14940,2855,17795
ins_b_006,BCD,,,,14527,2870,17397
ins_b_007,C,,,,12701,2952,15653
ins_b_008,BCD,,,,14392,2697,17089
ins_b_009,BCD,,,,15072,2849,17921
ins_b_010,AB,,,,14150,2872,17022
ins_b_011,16.00,,,,12172,3559,15731
ins_b_012,BC,,,,20337,3915,24252
ins_b_013,BD,,,,14265,2054,16319
ins_b_014,ACD,,,,10707,2390,13097
ins_b_015,AC,,,,14340,2818,17158
ins_b_016,ABD,,,,14145,2821,16966
ins_b_017,ABCD,,,,14716,2838,17554
ins_b_018,60.00,,,,12212,2939,15151
ins_b_019,211.50,,,,15722,3368,19090
ins_b_020,ACD,,,,14700,2839,17539
reg_b_001,ACD,,,,9899,802,10701
reg_b_003,20260330.00,,,,7782,3149,10931
reg_b_004,630.00,,,,7552,3394,10946
reg_b_005,BCD,,,,11180,653,11833
reg_b_007,30.00,,,,7822,2720,10542
reg_b_008,BC,,,,11472,708,12180
reg_b_009,BC,,,,8257,1011,9268
reg_b_013,B,,,,8546,753,9299
reg_b_014,99.25,,,,8762,2973,11735
reg_b_015,AC,,,,9201,1155,10356
reg_b_016,2.00,,,,7555,3217,10772
reg_b_017,AC,,,,8273,1011,9284
reg_b_018,4.01,,,,7700,4473,12173
reg_b_020,B,,,,8608,753,9361
reg_b_021,B,,,,9890,741,10631
reg_b_023,AB,,,,8115,1011,9126
reg_b_024,B,,,,11710,795,12505
reg_b_025,AC,,,,9172,751,9923
reg_b_026,B,,,,9540,778,10318
reg_b_027,BD,,,,10482,760,11242
res_b_001,AB,,,,17888,3769,21657
res_b_002,AC,,,,13102,3166,16268
res_b_003,AB,,,,13797,2652,16449
res_b_004,BCD,,,,13826,2671,16497
res_b_005,22.19,,,,12733,3483,16216
res_b_006,B,,,,16565,3706,20271
res_b_007,61.98,,,,11727,3351,15078
res_b_008,C,,,,13311,2621,15932
res_b_009,ABC,,,,13631,2691,16322
res_b_010,AC,,,,13909,2757,16666
res_b_011,BC,,,,16550,3706,20256
res_b_012,67.10,,,,11370,3651,15021
res_b_013,A,,,,14112,2984,17096
res_b_014,CD,,,,13251,2826,16077
res_b_015,BD,,,,14744,2685,17429
res_b_016,BD,,,,14323,2788,17111
res_b_017,AC,,,,13827,2603,16430
res_b_018,D,,,,13994,5198,19192
res_b_019,AB,,,,17863,3768,21631
res_b_020,D,,,,14660,2687,17347
