qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,509361,109513,618874
fc_b_001,5.55%,5.36%,7.68%,7.35%,3810,1597,5407
fc_b_002,ACD,,,,4672,660,5332
fc_b_003,ABCD,,,,5055,1036,6091
fc_b_004,ABC,,,,4672,660,5332
fc_b_005,1468.47%,740.58%,,,7656,3496,11152
fc_b_006,B,,,,5055,1036,6091
fc_b_007,BC,,,,5055,1036,6091
fc_b_008,AC,,,,5055,1036,6091
fc_b_009,BC,,,,5055,1036,6091
fc_b_010,BCD,,,,4672,660,5332
fc_b_011,ABC,,,,5055,1036,6091
fc_b_012,ABCD,,,,5055,1036,6091
fc_b_013,A,,,,4672,660,5332
fc_b_014,14.41,,,,4103,1477,5580
fc_b_015,CD,,,,4672,660,5332
fc_b_016,C,,,,5055,1036,6091
fc_b_017,BCD,,,,4672,660,5332
fc_b_018,AB,,,,4672,660,5332
fc_b_019,BC,,,,4672,660,5332
fc_b_020,2.30,,,,3673,1635,5308
fin_b_001,ACD,,,,5390,671,6061
fin_b_002,BCD,,,,5390,671,6061
fin_b_003,AD,,,,5390,671,6061
fin_b_004,AB,,,,5390,671,6061
fin_b_005,ACD,,,,6487,884,7371
fin_b_006,A,,,,10785,1071,11856
fin_b_007,BD,,,,5390,671,6061
fin_b_008,A,,,,6487,884,7371
fin_b_009,BCD,,,,5390,671,6061
fin_b_010,ACD,,,,5390,671,6061
fin_b_011,ABC,,,,6487,884,7371
fin_b_012,A,,,,11175,886,12061
fin_b_013,40.05,10.10,,,8060,3827,11887
fin_b_014,-1.68,10.31,11.99,,11272,7190,18462
fin_b_015,宁德时代>美的集团,17.10,,,8330,3777,12107
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,5940,1640,7580
fin_b_017,1049321.98,0.08,,,3622,1682,5304
fin_b_018,2.58,7.65,,,3778,1520,5298
fin_b_019,宁德时代>美的集团>比亚迪,1.10,,,8400,6498,14898
fin_b_020,112.32,112.31,0.01,,4906,1792,6698
ins_b_001,333.20,,,,8018,1718,9736
ins_b_002,BC,,,,5440,468,5908
ins_b_003,348.00,,,,6678,1750,8428
ins_b_004,BCD,,,,5440,468,5908
ins_b_005,B,,,,5371,533,5904
ins_b_006,BCD,,,,5440,468,5908
ins_b_007,BC,,,,5440,468,5908
ins_b_008,ABCD,,,,5440,468,5908
ins_b_009,B,,,,5371,533,5904
ins_b_010,B,,,,5371,533,5904
ins_b_011,16.00,,,,4678,1567,6245
ins_b_012,BCD,,,,5371,533,5904
ins_b_013,BD,,,,5440,468,5908
ins_b_014,D,,,,5440,468,5908
ins_b_015,AC,,,,5371,533,5904
ins_b_016,ABD,,,,5371,533,5904
ins_b_017,ABC,,,,5440,468,5908
ins_b_018,60.00,,,,4857,1568,6425
ins_b_019,211.50,,,,8005,1722,9727
ins_b_020,ACD,,,,5371,533,5904
reg_b_001,AC,,,,3608,534,4142
reg_b_003,2026年3月30日,,,,3980,1465,5445
reg_b_004,2026年6月30日,,,,4058,1642,5700
reg_b_005,BCD,,,,3423,480,3903
reg_b_007,30.00,,,,3989,1462,5451
reg_b_008,BC,,,,3423,480,3903
reg_b_009,BC,,,,3608,534,4142
reg_b_013,B,,,,3423,480,3903
reg_b_014,99.25,,,,3786,1567,5353
reg_b_015,AC,,,,3608,534,4142
reg_b_016,2.00,,,,4200,1605,5805
reg_b_017,AC,,,,3675,542,4217
reg_b_018,2026年4月1日,,,,4122,1848,5970
reg_b_020,B,,,,3490,487,3977
reg_b_021,B,,,,3489,487,3976
reg_b_023,AB,,,,3674,541,4215
reg_b_024,B,,,,3489,487,3976
reg_b_025,AC,,,,3674,541,4215
reg_b_026,B,,,,3489,487,3976
reg_b_027,BD,,,,3489,487,3976
res_b_001,AB,,,,4668,795,5463
res_b_002,CD,,,,4551,640,5191
res_b_003,AB,,,,4551,640,5191
res_b_004,BCD,,,,4668,795,5463
res_b_005,22.19,,,,3890,2188,6078
res_b_006,AB,,,,4551,640,5191
res_b_007,61.98,,,,3669,1609,5278
res_b_008,A,,,,4668,795,5463
res_b_009,ABC,,,,6876,833,7709
res_b_010,AC,,,,4551,640,5191
res_b_011,BC,,,,4668,795,5463
res_b_012,67.10,,,,3607,1908,5515
res_b_013,ABC,,,,4668,795,5463
res_b_014,CD,,,,4551,640,5191
res_b_015,BD,,,,4551,640,5191
res_b_016,BD,,,,4668,795,5463
res_b_017,AC,,,,4551,640,5191
res_b_018,CD,,,,4551,640,5191
res_b_019,ABC,,,,4668,795,5463
res_b_020,B,,,,4668,795,5463
