qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,418694,123194,541888,
fc_b_001,5.55%,5.36%,7.68%,7.35%,2387,1373,3760,
fc_b_002,ACD,,,,3968,588,4556,
fc_b_003,ABCD,,,,5729,495,6224,
fc_b_004,ABC,,,,3968,588,4556,
fc_b_005,1468.47%,740.58%,,,6092,2701,8793,
fc_b_006,B,,,,5729,495,6224,
fc_b_007,ABC,,,,3622,768,4390,
fc_b_008,ABC,,,,3622,768,4390,
fc_b_009,ABD,,,,3622,768,4390,
fc_b_010,BCD,,,,3881,1554,5435,
fc_b_011,ABC,,,,5729,495,6224,
fc_b_012,BCD,,,,4241,267,4508,
fc_b_013,A,,,,3124,955,4079,
fc_b_014,14.41,,,,2680,1105,3785,
fc_b_015,CD,,,,3881,1554,5435,
fc_b_016,B,,,,3124,955,4079,
fc_b_017,C,,,,3881,1554,5435,
fc_b_018,ABD,,,,3968,588,4556,
fc_b_019,ABCD,,,,3124,955,4079,
fc_b_020,2.30,,,,2250,1062,3312,
fin_b_001,ACD,,,,3928,694,4622,
fin_b_002,BCD,,,,3928,694,4622,
fin_b_003,AD,,,,3928,694,4622,
fin_b_004,AB,,,,3928,694,4622,
fin_b_005,AC,,,,5034,768,5802,
fin_b_006,A,,,,9390,1094,10484,
fin_b_007,BD,,,,3928,694,4622,
fin_b_008,AC,,,,16029,2859,18888,
fin_b_009,C,,,,17128,7869,24997,
fin_b_010,AD,,,,3928,694,4622,
fin_b_011,ABC,,,,5034,768,5802,
fin_b_012,AB,,,,51909,17182,69091,
fin_b_013,40.05,10.10,,,7045,3545,10590,
fin_b_014,0.22,9.79,9.57,,9896,4744,14640,
fin_b_015,宁德时代>美的集团,16.87,,,7258,5502,12760,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,4517,1830,6347,
fin_b_017,1049322.04,0.08,,,2199,1588,3787,
fin_b_018,2.58,7.65,,,2355,1425,3780,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,7067,4044,11111,
fin_b_020,112.32,112.31,0.01,,3483,2134,5617,
ins_b_001,333.20,,,,3697,1596,5293,
ins_b_002,ABCD,,,,2409,624,3033,
ins_b_003,322.00,,,,5169,4677,9846,
ins_b_004,ABCD,,,,2409,624,3033,
ins_b_005,ABCD,,,,2356,509,2865,
ins_b_006,BCD,,,,2409,624,3033,
ins_b_007,C,,,,2409,624,3033,
ins_b_008,ABCD,,,,2409,624,3033,
ins_b_009,ABCD,,,,2356,509,2865,
ins_b_010,B,,,,2356,509,2865,
ins_b_011,16.00,,,,1738,1110,2848,
ins_b_012,BD,,,,2356,509,2865,
ins_b_013,BD,,,,2409,624,3033,
ins_b_014,AC,,,,6892,627,7519,
ins_b_015,AC,,,,2356,509,2865,
ins_b_016,AB,,,,2356,509,2865,
ins_b_017,A,,,,6865,1024,7889,
ins_b_018,60.00,,,,1917,850,2767,
ins_b_019,211.50,,,,3684,1510,5194,
ins_b_020,AC,,,,2356,509,2865,
reg_b_001,AC,,,,2150,353,2503,
reg_b_003,2026年3月30日,,,,2557,1613,4170,
reg_b_004,2026年6月30日,,,,2635,1058,3693,
reg_b_005,BCD,,,,1961,395,2356,
reg_b_007,30.00,,,,2566,818,3384,
reg_b_008,B,,,,1961,395,2356,
reg_b_009,BC,,,,2150,353,2503,
reg_b_013,B,,,,1961,395,2356,
reg_b_014,99.25,,,,2363,1889,4252,
reg_b_015,AC,,,,2150,353,2503,
reg_b_016,2.00,,,,2777,1233,4010,
reg_b_017,AC,,,,2217,362,2579,
reg_b_018,2026年4月1日,,,,2699,1046,3745,
reg_b_020,B,,,,2028,404,2432,
reg_b_021,B,,,,2028,403,2431,
reg_b_023,AB,,,,2217,361,2578,
reg_b_024,B,,,,2028,403,2431,
reg_b_025,AC,,,,2217,361,2578,
reg_b_026,B,,,,2028,403,2431,
reg_b_027,BD,,,,2028,403,2431,
res_b_001,AB,,,,3157,526,3683,
res_b_002,AC,,,,3176,411,3587,
res_b_003,AB,,,,3176,411,3587,
res_b_004,BD,,,,3176,411,3587,
res_b_005,22.19,,,,2468,1429,3897,
res_b_006,A,,,,3157,526,3683,
res_b_007,61.98,,,,2247,1161,3408,
res_b_008,C,,,,3157,526,3683,
res_b_009,ABC,,,,4976,689,5665,
res_b_010,AC,,,,3176,411,3587,
res_b_011,B,,,,3157,526,3683,
res_b_012,67.05,,,,2184,1613,3797,
res_b_013,AB,,,,3156,526,3682,
res_b_014,CD,,,,3156,526,3682,
res_b_015,BD,,,,3175,411,3586,
res_b_016,BD,,,,3156,526,3682,
res_b_017,AC,,,,3175,411,3586,
res_b_018,ACD,,,,3175,411,3586,
res_b_019,AB,,,,3156,526,3682,
res_b_020,BD,,,,3175,411,3586,
