qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1280205,231322,1511527,
fc_b_001,5.55%,5.36%,7.68%,7.35%,15088,3770,18858,
fc_b_002,ACD,,,,8833,349,9182,
fc_b_003,ACD,,,,9122,1605,10727,
fc_b_004,ABC,,,,9256,356,9612,
fc_b_005,1468.47%,740.58%,,,14578,4254,18832,
fc_b_006,B,,,,11164,555,11719,
fc_b_007,BC,,,,11670,774,12444,
fc_b_008,ABC,,,,11563,519,12082,
fc_b_009,ABD,,,,12130,417,12547,
fc_b_010,BCD,,,,9156,383,9539,
fc_b_011,ABC,,,,10194,358,10552,
fc_b_012,BCD,,,,9283,243,9526,
fc_b_013,A,,,,7884,151,8035,
fc_b_014,14.41,,,,16310,4527,20837,
fc_b_015,CD,,,,9542,353,9895,
fc_b_016,C,,,,9227,323,9550,
fc_b_017,BC,,,,9552,428,9980,
fc_b_018,ABD,,,,8451,352,8803,
fc_b_019,ABCD,,,,11604,346,11950,
fc_b_020,2.30,,,,18575,4877,23452,
fin_b_001,ACD,,,,10560,2245,12805,
fin_b_002,BCD,,,,14424,2051,16475,
fin_b_003,ABCD,,,,17678,2518,20196,
fin_b_004,ABC,,,,56246,13358,69604,
fin_b_005,ACD,,,,18117,2055,20172,
fin_b_006,BC,,,,8476,2075,10551,
fin_b_007,ABD,,,,12702,2012,14714,
fin_b_008,AC,,,,19905,2101,22006,
fin_b_009,BCD,,,,14099,2001,16100,
fin_b_010,BD,,,,17612,3261,20873,
fin_b_011,ABC,,,,20558,2163,22721,
fin_b_012,AB,,,,14510,2069,16579,
fin_b_013,40.05,10.10,,,23363,5474,28837,
fin_b_014,1.12,9.82,8.70,,26613,5316,31929,
fin_b_015,宁德时代>美的集团,19.75,,,25652,3543,29195,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,35913,5880,41793,
fin_b_017,1049321.98,0.08,,,16133,5205,21338,
fin_b_018,2.58,7.65,,,19145,3755,22900,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,28293,5451,33744,
fin_b_020,112.32,112.31,0.01,,25196,10801,35997,
ins_b_001,333.20,,,,19250,5222,24472,
ins_b_002,BC,,,,9470,1933,11403,
ins_b_003,366.00,,,,20829,5617,26446,
ins_b_004,BCD,,,,11225,1943,13168,
ins_b_005,BD,,,,11334,1970,13304,
ins_b_006,BCD,,,,14802,1921,16723,
ins_b_007,BC,,,,10397,1927,12324,
ins_b_008,ABCD,,,,10329,1830,12159,
ins_b_009,BCD,,,,11956,2098,14054,
ins_b_010,AB,,,,11214,1945,13159,
ins_b_011,16.00,,,,17197,9378,26575,
ins_b_012,BCD,,,,12782,1761,14543,
ins_b_013,BD,,,,15192,1956,17148,
ins_b_014,ACD,,,,7185,1905,9090,
ins_b_015,AC,,,,11150,1852,13002,
ins_b_016,ABD,,,,10646,1927,12573,
ins_b_017,ABCD,,,,12357,1907,14264,
ins_b_018,60.00,,,,12151,4851,17002,
ins_b_019,211.50,,,,19361,5230,24591,
ins_b_020,ACD,,,,11557,2028,13585,
reg_b_001,ACD,,,,6757,453,7210,
reg_b_003,2026年3月30日,,,,7690,4805,12495,
reg_b_004,2026年6月30日,,,,6887,4811,11698,
reg_b_005,BCD,,,,8018,359,8377,
reg_b_007,30.00,,,,7637,4726,12363,
reg_b_008,BC,,,,8174,335,8509,
reg_b_009,BC,,,,7124,467,7591,
reg_b_013,B,,,,6403,360,6763,
reg_b_014,99.25,,,,9567,4517,14084,
reg_b_015,AC,,,,6013,702,6715,
reg_b_016,2.00,,,,7036,4736,11772,
reg_b_017,AC,,,,7108,438,7546,
reg_b_018,2026年4月1日,,,,7342,5335,12677,
reg_b_020,B,,,,6009,353,6362,
reg_b_021,B,,,,6735,394,7129,
reg_b_023,AB,,,,5353,642,5995,
reg_b_024,B,,,,8322,505,8827,
reg_b_025,AC,,,,5990,481,6471,
reg_b_026,B,,,,6373,454,6827,
reg_b_027,BD,,,,7497,511,8008,
res_b_001,AB,,,,12640,616,13256,
res_b_002,AC,,,,11901,755,12656,
res_b_003,AB,,,,10931,440,11371,
res_b_004,BCD,,,,11389,575,11964,
res_b_005,22.19%,,,,12680,6738,19418,
res_b_006,AB,,,,12071,814,12885,
res_b_007,61.98,,,,12218,3923,16141,
res_b_008,C,,,,11036,558,11594,
res_b_009,ABC,,,,10441,1140,11581,
res_b_010,AC,,,,10474,881,11355,
res_b_011,BC,,,,11372,693,12065,
res_b_012,67.10,,,,11831,5703,17534,
res_b_013,AB,,,,11173,658,11831,
res_b_014,C,,,,11282,1313,12595,
res_b_015,BD,,,,12030,738,12768,
res_b_016,BD,,,,12784,577,13361,
res_b_017,AC,,,,10324,577,10901,
res_b_018,CD,,,,10333,597,10930,
res_b_019,AB,,,,11040,647,11687,
res_b_020,BD,,,,11459,520,11979,
