qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens,reasoning
summary,,,,,1238353,220461,1458814,
fc_b_001,5.55%,5.36%,7.68%,7.35%,15088,3942,19030,
fc_b_002,ACD,,,,8291,391,8682,
fc_b_003,ACD,,,,9122,548,9670,
fc_b_004,ABC,,,,8618,398,9016,
fc_b_005,1468.47%,740.58%,,,14578,5306,19884,
fc_b_006,B,,,,10410,542,10952,
fc_b_007,BC,,,,10441,1331,11772,
fc_b_008,ABC,,,,10717,673,11390,
fc_b_009,ABD,,,,11240,389,11629,
fc_b_010,BCD,,,,8529,368,8897,
fc_b_011,ABC,,,,9480,374,9854,
fc_b_012,BCD,,,,9283,243,9526,
fc_b_013,A,,,,7553,181,7734,
fc_b_014,14.41,,,,16310,4811,21121,
fc_b_015,CD,,,,9542,351,9893,
fc_b_016,C,,,,8122,299,8421,
fc_b_017,BC,,,,9552,369,9921,
fc_b_018,ABD,,,,8504,310,8814,
fc_b_019,ABCD,,,,11604,344,11948,
fc_b_020,2.30,,,,14701,4869,19570,
fin_b_001,ACD,,,,10560,2355,12915,
fin_b_002,BCD,,,,13779,2576,16355,
fin_b_003,ABCD,,,,17678,2173,19851,
fin_b_004,AB,,,,29961,5184,35145,
fin_b_005,ACD,,,,17632,2036,19668,
fin_b_006,BC,,,,7900,2040,9940,
fin_b_007,ABD,,,,12702,2040,14742,
fin_b_008,A,,,,19905,2140,22045,
fin_b_009,BCD,,,,12990,2171,15161,
fin_b_010,A,,,,16071,2899,18970,
fin_b_011,ABC,,,,20558,2137,22695,
fin_b_012,AB,,,,14510,2014,16524,
fin_b_013,40.05,10.10,,,23363,5826,29189,
fin_b_014,1.12,9.82,8.70,,39463,8649,48112,
fin_b_015,宁德时代>美的集团,19.75,,,38026,6645,44671,
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,35913,5865,41778,
fin_b_017,1049321.98,0.08,,,16133,3674,19807,
fin_b_018,2.58,7.65,,,19145,3811,22956,
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,28293,5904,34197,
fin_b_020,112.32,112.31,0.01,,17101,5994,23095,
ins_b_001,333.20,,,,19250,5241,24491,
ins_b_002,BC,,,,9435,1956,11391,
ins_b_003,366.00,,,,20829,5922,26751,
ins_b_004,BCD,,,,10513,2110,12623,
ins_b_005,BD,,,,10818,1932,12750,
ins_b_006,BCD,,,,13383,1928,15311,
ins_b_007,BC,,,,9784,1961,11745,
ins_b_008,ABCD,,,,9225,1913,11138,
ins_b_009,BCD,,,,11303,1934,13237,
ins_b_010,AB,,,,9979,1809,11788,
ins_b_011,16.00,,,,11954,4971,16925,
ins_b_012,BCD,,,,11771,1925,13696,
ins_b_013,BD,,,,13608,1914,15522,
ins_b_014,ACD,,,,7185,1901,9086,
ins_b_015,AC,,,,10284,1837,12121,
ins_b_016,ABD,,,,10046,1909,11955,
ins_b_017,ABCD,,,,11640,1863,13503,
ins_b_018,60.00,,,,12151,4667,16818,
ins_b_019,211.50,,,,19361,5193,24554,
ins_b_020,ACD,,,,10748,1971,12719,
reg_b_001,ACD,,,,6757,448,7205,
reg_b_003,2026年3月30日,,,,7690,4693,12383,
reg_b_004,2026年6月30日,,,,6887,4844,11731,
reg_b_005,BCD,,,,8018,363,8381,
reg_b_007,30.00,,,,7637,4756,12393,
reg_b_008,BC,,,,8174,348,8522,
reg_b_009,BC,,,,7124,464,7588,
reg_b_013,B,,,,6403,326,6729,
reg_b_014,99.25,,,,9567,4740,14307,
reg_b_015,AC,,,,6013,670,6683,
reg_b_016,2.00,,,,7036,4743,11779,
reg_b_017,AC,,,,7108,480,7588,
reg_b_018,2026年4月1日,,,,7342,4972,12314,
reg_b_020,B,,,,6009,379,6388,
reg_b_021,B,,,,6735,386,7121,
reg_b_023,AB,,,,5353,615,5968,
reg_b_024,B,,,,8596,389,8985,
reg_b_025,AC,,,,5990,471,6461,
reg_b_026,B,,,,6373,422,6795,
reg_b_027,BD,,,,7497,471,7968,
res_b_001,AB,,,,12640,607,13247,
res_b_002,AC,,,,11901,607,12508,
res_b_003,AB,,,,10931,552,11483,
res_b_004,BCD,,,,11389,808,12197,
res_b_005,22.19%,,,,12680,5586,18266,
res_b_006,AB,,,,12071,655,12726,
res_b_007,61.98,,,,12218,3773,15991,
res_b_008,C,,,,11036,618,11654,
res_b_009,ABC,,,,10441,987,11428,
res_b_010,AC,,,,10474,805,11279,
res_b_011,BC,,,,11372,579,11951,
res_b_012,67.10,,,,11831,5676,17507,
res_b_013,AB,,,,11173,609,11782,
res_b_014,C,,,,11282,2948,14230,
res_b_015,BD,,,,12030,523,12553,
res_b_016,BD,,,,12784,577,13361,
res_b_017,AC,,,,10324,623,10947,
res_b_018,CD,,,,10333,598,10931,
res_b_019,AB,,,,11040,774,11814,
res_b_020,BD,,,,11459,547,12006,
