qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,2146300,565221,2711521
fc_b_001,5.55%,5.36%,7.68%,7.35%,22342,5290,27632
fc_b_002,ACD,,,,18341,4411,22752
fc_b_003,ABCD,,,,17436,4310,21746
fc_b_004,ABC,,,,20241,4507,24748
fc_b_005,1468.47%,740.58%,,,20999,7005,28004
fc_b_006,B,,,,21753,4312,26065
fc_b_007,BC,,,,26261,4524,30785
fc_b_008,ABC,,,,26508,7380,33888
fc_b_009,ABD,,,,32277,6581,38858
fc_b_010,BCD,,,,19302,4209,23511
fc_b_011,ABC,,,,17777,4403,22180
fc_b_012,BCD,,,,18046,4121,22167
fc_b_013,B,,,,22195,4481,26676
fc_b_014,14.41,,,,25409,6442,31851
fc_b_015,CD,,,,20450,4507,24957
fc_b_016,A,,,,26897,9147,36044
fc_b_017,BC,,,,19624,4459,24083
fc_b_018,ABD,,,,18381,4233,22614
fc_b_019,ABCD,,,,31846,9018,40864
fc_b_020,2.30,,,,20754,6018,26772
fin_b_001,ACD,,,,22079,5208,27287
fin_b_002,BCD,,,,28721,8235,36956
fin_b_003,ABCD,,,,27402,5168,32570
fin_b_004,AD,,,,46661,10841,57502
fin_b_005,ACD,,,,26842,4761,31603
fin_b_006,BC,,,,23778,7753,31531
fin_b_007,ABD,,,,21440,4716,26156
fin_b_008,AC,,,,21256,5399,26655
fin_b_009,BCD,,,,25112,4821,29933
fin_b_010,AD,,,,31384,8260,39644
fin_b_011,BC,,,,26022,5132,31154
fin_b_012,ABCD,,,,22328,4813,27141
fin_b_013,40.05,10.10,,,26987,7620,34607
fin_b_014,1.12,9.82,8.69,,37658,14976,52634
fin_b_015,宁德时代>美的集团,19.75,,,25072,5433,30505
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,76.92,,,30783,7029,37812
fin_b_017,1049321.98,0.08,,,23171,6779,29950
fin_b_018,2.73,7.22,,,27730,12365,40095
fin_b_019,比亚迪>宁德时代>美的集团,1.01,,,38023,18042,56065
fin_b_020,112.32,112.31,0.01,,23719,7044,30763
ins_b_001,333.20,,,,29641,6406,36047
ins_b_002,BC,,,,21628,4727,26355
ins_b_003,366.00,,,,41950,11461,53411
ins_b_004,BCD,,,,26489,7427,33916
ins_b_005,D,,,,27256,7247,34503
ins_b_006,BCD,,,,23149,4807,27956
ins_b_007,C,,,,23338,4779,28117
ins_b_008,ABCD,,,,21820,4469,26289
ins_b_009,BCD,,,,24578,4542,29120
ins_b_010,AB,,,,22266,4220,26486
ins_b_011,16.00,,,,21667,5251,26918
ins_b_012,BC,,,,21649,3952,25601
ins_b_013,BD,,,,21573,4368,25941
ins_b_014,ACD,,,,14901,4391,19292
ins_b_015,AC,,,,23461,4213,27674
ins_b_016,ABD,,,,24442,4089,28531
ins_b_017,ABC,,,,27740,6826,34566
ins_b_018,60.00,,,,21768,4683,26451
ins_b_019,211.50,,,,29672,6047,35719
ins_b_020,ACD,,,,22276,4789,27065
reg_b_001,ACD,,,,11915,2125,14040
reg_b_003,20260330.00,,,,14162,15232,29394
reg_b_004,20260630.00,,,,12872,9077,21949
reg_b_005,BCD,,,,14905,882,15787
reg_b_007,30.00,,,,10940,5618,16558
reg_b_008,BC,,,,13967,1057,15024
reg_b_009,BC,,,,12239,1174,13413
reg_b_013,B,,,,11509,898,12407
reg_b_014,99.25,,,,12863,5044,17907
reg_b_015,AC,,,,10700,1514,12214
reg_b_016,2.00,,,,10228,5381,15609
reg_b_017,AC,,,,12102,1174,13276
reg_b_018,4.01,,,,10267,11622,21889
reg_b_020,B,,,,11276,818,12094
reg_b_021,B,,,,11424,996,12420
reg_b_023,AB,,,,9977,1158,11135
reg_b_024,B,,,,15271,1170,16441
reg_b_025,AC,,,,14831,4197,19028
reg_b_026,B,,,,11781,1141,12922
reg_b_027,BD,,,,11754,1013,12767
res_b_001,AB,,,,21164,4701,25865
res_b_002,AC,,,,19358,5249,24607
res_b_003,AB,,,,16254,4688,20942
res_b_004,BCD,,,,17953,4719,22672
res_b_005,22.19,,,,22622,7254,29876
res_b_006,AB,,,,19366,4659,24025
res_b_007,61.98,,,,20760,6529,27289
res_b_008,C,,,,18984,4641,23625
res_b_009,ABC,,,,15799,4460,20259
res_b_010,AC,,,,18177,4586,22763
res_b_011,BC,,,,18423,4700,23123
res_b_012,67.10,,,,23532,18123,41655
res_b_013,AB,,,,26548,7996,34544
res_b_014,CD,,,,18837,4650,23487
res_b_015,BD,,,,20550,4671,25221
res_b_016,BD,,,,20675,4681,25356
res_b_017,AC,,,,19611,4788,24399
res_b_018,D,,,,25945,8046,33991
res_b_019,AB,,,,18178,4855,23033
res_b_020,BD,,,,24310,7487,31797
